a|◊:b:o|m:b|	เ:อ|บ:อ|ม:บ:์|
a|i|	เ:อ|ไ:อ|
a|i:d|a|n|	ไ:อ|ด|ั|น|
a|i:d|e:◊|m|e:m:o|i|r|	เ:อ|ด|เ|ม:ม|ม:ั|ว|ร:์|
a|i:d|s|	เ:อ|ด|ส:์|
a|i|g:u:i|l:l:e|	เ|อ|ก:ี|ย:์|
a|i:k:e|n|s|	เ:อ|ค:ิ|น|ส:์|
a|i:k:i|n|s|	ไ:อ|ค|ิ:น|ส:์|
a|i:l|e:e|n|	เ:อ|ล|ี|น|
a|i:l|e|s|	ไ:อ|ล|์|ส|
a|i:l|e|s|b:u|r:y|	เ:อ|ล|ิ|ส:แ|บ|ร:ี:่|
a|i|l|s:a|	เ:อ|อ:ิ|ล|ซ:่:า|
a|i:m:e|	เ:อ|ม|
a|i:n|	เ:อ|น|
a|i:n:e|s|	เ:อ|น|ส:์|
a|i:n|l|e:y|	เ:อ|น|ล|ี:ย:์|
a|i:n|s|l|i|e|	เ:อ|น|ส|ล|ี|่|
a|i:n|s|w:o|r|t:h|	เ:อ|น|ส|เ:ว:ิ|ร:์|ท|
a:i|r|	แ|อ:ร:์|
a:i|r|◊:b:u|s|	แ|อ:ร:์|บ:ั|ส|
a:i|r|◊:c|o|n|d|i|t:i:o|n|	แ|อ:ร:์|ค|อ|น|ด|ิ|ช:ั|น|
a:i|r|◊:c|o|n|d|i|t:i:o|n|i:n:g|	แ|อ:ร:์|ค|อ|น|ด|ิ|ช:ั|น:น|ิ:ง|
a:i|r|◊:h:o|s|t:e|s:s|	แ|อ:ร:์|โ:ฮ|ส:เ|ต|ส|
a|i:r:◊|m:a:i|l|	แ:อ|ร:์|เ:ม|ล:์|
a:i|r|b:a|g|	แ|อ:ร:์|แ:บ:๊|ก|
a:i|r|b|r|u|s:h|	แ|อ:ร:์|บ|ร|ั|ช|
a:i|r|b|u|s|	แ|อ:ร:์|บ|ั|ส|
a:i|r|c|r|a|f|t|	แ|อ:ร:์|ค|ร|า|ฟ|ต:์|
a|i|r:e|d|a:l:e|	เ:อ|เ|ร|เ:ด|ล|
a|i:r|e:y|	เ:อ|ร|ี:ย:์|
a|i:r|i|s|	เ:อ|ร|ิ|ส|
a:i|r|l|i|e|	แ|อ:ร:์|ล|ี|่|
a:i|r|l|i:n|e|	แ|อ:ร:์|ไ:ล|น|์|
a:i|r|p|o|r|t|	แ|อ:ร:์|พ|อ|ร:์|ต|
a|i:r|y|	เ:อ|ร|ี:่|
a:i|r|y|	แ|อ:ร|ี|
a|i:s|l|e:y|	ไ:อ|ส|ล|ี:ย:์|
a:i:t|c:h:i|s|o|n|	เ:อ|ช:ี|ส|ั|น|
a|i:t|k|e|n|	ไ:อ|ต|์:เ:ค|ิ|น|
a|i:t|k:e|n|	ไ:อ|ท|์:เ:ก|น|
a|i:t:o|f:f|	ไ:อ|ท:อ|ฟ:ฟ:์|
a|i|t|r:e|	เ|อ|ท|ร:ี:่|
a|i|y|a|r|	ไ:อ|อ|ี|อ:า|ร:์|
a|j|a|n|t|a|	อ|ช|ั|น|ต|า|
a|j:a|x|	เ:อ|แ:จ:๊|ก:ส:์|
a|k|b|a|r|	อ:ั|ก|บ|า|ร:์|
a|k|e|l|e:y|	เ:อ:อ|ค|ี|ล|ี:ย:์|
a|k|e:n|s|i|d|e|	เ:อ|เ:ค|น|ไ|ซ|ด|์|
a|k:e|r|	แ:อ|เ:ค:อ|ร:์|
a|k:e|r|m|a|n|	แ:อ|เ:ค:อ|ร:์|เ:ม|ิ:่|น|
a|k:e|r|s|	เ:อ|เ:ค:ิ|ร:์|ส|
a|k|i|n|	อ|ค|ิ|น|
a|k|i|n|s|	อ|ค|ิ|น|ส:์|
a|k|r|o|y:d|	แ:อ:็|ก|ร|อ|ย:ด:์|
a|k|s|t|	แ:อ:็|ก|ส|ต:์|
a:l|◊:j:a|z|e:e|r|a|	อ:ั:ล|จ:า|ซ|ี|ร|า|
a|l:◊|q|u|e|i:d|a|	อ:ั|ล|ก|อ:อ|ิ|ด|ะ|
a:l|-:s:a|d|a|t|,|◊|a|n|w|a|r|	อ:ั:ล|ซ:า|ด|ั|ต|,:◊|อ|ั|น|ว|า|ร:์|
a|l|a|b|a|m|a|	แ:อ|ล|ะ|แ|บ|ม|า|
a|l:a|b|a:n|d|i:t|e|	อ:ะ|ล:า:แ|บ|น|ไ:ด|ต|์|
a|l|a|b|a|s|t:e|r|	อ:ะ|ล|า|บ|า|ส|เ:ต:อ|ร:์|
a|l|a|b|a|s|t:e|r|	อ:ะ|ล|า|บ|า|ส|เ:ท:อ|ร:์|
a|l|a|b|a|s|t|r|o|n|	อ:ะ|ล|า|บ|า|ส|ต|ร|อ|น|
a|l|a|c:h|l|o|r|	อ:ะ|ล|า|ค|ล|อ|ร:์|
a|l:a|g|a|p:p|a|	แ:อ|เ:ล:อ|ก|า|ป|้:า|
a|l:a:i|n|	แ:อ|เ:ล|น|
a|l|a|n|	แ:อ|ล|ั|น|
a|l|a|n|s|o|n|	แ:อ|ล|ั|น|ส|ั|น|
a|l|a|r|	อ:ะ|ล|า|ร:์|
a|l:a|r|c|o|n|	เ:อ:ิ|ล:ล:า|ร:์|ค|อ|น|
a|l|a|r|i|c|	แ:อ|ล|เ:ล:อ|ร|ิ|ก|
a|l|a|s|	อ:ะ|ล|า|ส|
a|l:a|s|d:a:i|r|	เ:อ|เ:ล:ิ|ส|แ:ด|ร:์|
a|l|a:s|k|a|	อ:ะ|แ:ล|ส|ก|า|
a|l|a:s|k|i|t|e|	อ:ะ|แ:ล|ส|ไ|ก|ต|์|
a|l:a|s|t:a:i|r|	แ:อ|เ:ล:ิ|ส|แ:ต|ร:์|
a|l|b:a|n|	อ:อ|ล|เ:บ:ิ|น|
a:l|b|a|n:e|s|e|	อ:ั:ล|บ|า:เ|น|ซ|ี|
a|l|b|a|n:i|a|	แ:อ|ล|เ|บ|เ:น:ี|ย|
a|l|b|a|n|y|	อ:อ|ล|บ|า|น|ี|
a|l|b|a:r:e|s|	แ:อ|ล|แ:บ|ร:ึ|ส|
a|l|b:e|d:o|m:e|t:e|r|	แ:อ|ล|บ|ิ:โ:ด|ม:ิ:เ|ต|อ:ร:์|
a|l|b|e:e|	แ:อ|ล|บ|ี|
a|l|b:e|m:a|r|l:e|	แ:อ|ล|เ:บ:อ|ม:า:เ|ร:ิ|ล|
a|l|b:e|n|	อ:อ|ล:์|เ:บ:ิ|น|
a:l|b|e|r|	อ:ั:ล|เ|บ|อ:ร:์|
a|l|b|e|r|	แ:อ|ล|เ|บ|อ:ร:์|
a|l|b|e|r|d:i|n:g|	แ:อ|ล|เ|บ|อ:ร:์|ด:ิ:่|ง|
a|l|b:e|r|i|c|	แ:อ|ล|เ:บ:อ|ร|ิ|ก|
a:l|b|e|r|s|,:◊:j|o|s|e:f|	อ:ั:ล|เ|บ|อ:ร:์|ส|,:◊|โ:ย|เ:ซ|ฟ|
a:l|b:e|r|t|	อ:ั:ล|เ:บ:ิ|ร:์|ต|
a:l|b:e|r|t|	อ:ั:ล|เ:บ:ิ|ร:์|ท|
a:l|b:e:r|t|	อ:ั:ล|แ:บ|ร:์|
a|l|b:e|r|t|	แ:อ|ล|เ:บ:ิ|ร:์|ต|
a:l|b:e|r|t|◊:b:a|n|d|u|r|a|	อ:ั:ล|เ:บ:ิ|ร:์|ต:◊|แ:บ|น|ด|ู|ร|า|
a|l|b|e|r|t|a|	แ:อ|ล|เ|บ|อ:ร:์|ต|า|
a|l|b|e|r|t|a|n|	แ:อ|ล|เ|บ|อ:ร:์|ต|ั|น|
a:l|b|e|r|t|i|n:a|	อ:ั:ล|เ|บ|อ:ร:์|ต|ี|น:่:า|
a|l|b|e|r|t|i:n:e|	แ:อ|ล|เ|บ|อ:ร:์|ต|ี:น|
a:l|b:e:r|t|i|n|i|,:◊|d:e|m|e:t|r|i:o|	อ:ั:ล|แ:บ|ร:์:ต|ี|น|ี|,:◊:เ|ด|เ:ม|ต|ร|ี:โ:อ|
a|l|b:e|r|t|s|o|n|	แ:อ|ล|เ:บ:ิ|ร:์|ต|ส|ั|น|
a|l|b|e|r|t:y|	เ:อ|ิ:ล|เ|บ|อ:ร:์|ต:ี:้|
a|l|b:e|r:y|	แ:อ|ล|เ:บ:อ|ร:ี:่|
a|l|b|i:n|	แ:อ|ล|บ:ี|น|
a|l|b|i:o|n|	แ:อ|ล|เ:บ|ี:่:ย|น|
a|l|b|i:t|e|	แ:อ|ล|ไ:บ|ต|์|
a|l|b:i|t|i|e|	แ:อ|ล|บ:ิ:ไ|ท|ต|์|
a|l|b|r:i|g:h:t|,:◊|m:a|d:e|l:e|i:n:e|◊|k:.|	อ:อ|ล|ไ:บ|ร|ต:์|◊|แ:ม:เ|ด|ล|ี:น|◊|เ:ค:.|
a|l|b|r:i|g:h:t|,:◊|m:a|d|e:l:e|i:n:e|◊|k:.|	อ:อ|ล|ไ:บ|ร|ต:์|◊|แ:ม:เ|ด|เ:ล|น|◊|เ:ค:.|
a|l|b|r|i|t:t:o|n|	แ:อ|ล|บ|ร|ิ|เ:ต|ิ:้:น|
a|l|b|r:o|	แ:อ|ล:โ|บ|ร|
a|l|b|u|	แ:อ|ล|บ|ู|
a:l|b|u|m|	อ:ั:ล|บ|ั|ม|
a:l|b|u|m|i|n|o|i:d|	อ:ั:ล|บ|ู|ม|ิ|น|อ|ย:ด:์|
a:l|c|a|l:a|	อ:ั:ล|ค|า|ล:่:า|
a|l|c|a:n|	แ|ล|แ:ค|น|
a:l|c|a|t|r:a|z|	อ:ั:ล|ค|า|แ:ท|ร|ซ|
a|l|c:h|	แ:อ|ล:์|ช|
a|l|c:o|c:k|	เ:อ|ิ:ล|ค:็:อ|ก|
a|l|c|o|h|o|l|	แ:อ|ล|ก|อ|ฮ|อ|ล:์|
a|l|c|o|h|o|l|i|s:m|	แ:อ|ล|ก|อ|ฮ|อ|ล|ิ|ซ:ึ:ม|
a|l|c:o|r|n|	แ:อ|ล|เ:ค:ิ|ร:์|น|
a|l|c|o|s|o:l|	แ:อ|ล|ก|อ|โ:ซ|ล|
a|l|c|o|t|t|	อ:อ|ล|ค|อ|ต|ต:์|
a|l|c:o|t:t|	แ:อ|ล|ค:็:อ|ต|
a:l|c|r|e|t:e|	อ:ั:ล|ค|ร|ี|ต|
a:l|d:a|	อ:ั:ล|ด:้:า|
a:l|d|a|n|	อ:ั:ล|เ:ด|ิ:่|น|
a:l|d:e|n|	อ:ั:ล|เ:ด:ิ|น|
a|l|d:e|r|	อ:อ|ล|เ:ด:อ|ร:์|
a|l|d:e|r|m:a|n|	อ:อ|ล|เ:ด:อ|ร:์|เ:ม:ิ|น|
a|l|d:e|r|s|	อ:อ|ล|เ:ด:ิ|ร:์|ส|
a|l|d:e|r|s|o|n|	อ:อ|ล|เ:ด:อ|ร:์|ส|ั|น|
a|l|d:e|r|t|o:n|	อ:อ|ล|เ:ด:อ|ร:์|เ:ต|ิ:้:น|
a|l|d|i:n:g|t|o|n|	อ:อ|ล|ด|ิ:ง|ต|ั|น|
a:l|d|i:n:g|t|o:n|	อ:ั:ล|ด|ิ:ง|เ:ต|ิ:้:น|
a:l|d|i|s|	อ:ั:ล|ด|ิ|ส|
a:l|d:o|	อ:ั:ล|โ:ด:้|
a|l|d:o:u|s|	อ:อ|ล|ด:ั|ส|
a|l|d|r|e:d|	แ:อ|ล|เ:ด:ิ|ร:์|ด|
a|l|d|r|i|d:g:e|	อ:อ|ล|ด|ร|ิ|จ|
a:l|d|w:o|r|t:h|	อ:ั:ล|ด:์|เ:ว:ิ|ร:์|ท|
a|l:e|	เ:อ|ล|
a|l:e|c|	อ:ะ|เ:ล:็|ก|
a|l:e|c:k|	เ:อ:อ|เ:ล:็|ก|
a|l|e:n:e|	อ|ล|ี:น|
a|l:e|p:h|	อ:ะ:เ|ล|ฟ|
a|l:e|p:h|	อ:ะ|เ:ล:็|ฟ|
a|l:e|r|s|	เ:อ:อ|เ:ล:ิ|ร:์|ส|
a|l:e|t:h|a|	อ:อ|เ:ล:อ|ท|่:า|
a|l:e|u|t|i|a:n|	อ:า|ล|ิ:ว|เ:ช|ี:ย|น|
a|l:e|u|t|i|a:n|◊:l:o|w|	อ:ะ|ล|ู|เ:ช|ี:ย|น|โ:ล|ว:์|
a|l:e|x|	อ:ะ|เ:ล:็|ก:ซ:์|
a|l:e|x|	อ:า|เ:ล:็|ก:ซ:์|
a|l:e|x|	อ:า|แ:ล:็|ก:ซ:์|
a|l:e|x:a|	อ|เ:ล:็|ก:ซ:า|
a|l:e|x:a|n|d:e|r|s|o|n|	แ:อ|เ:ล:ิ|ก:แ:ซ|น|เ:ด:อ|ร:์|ส|ั|น|
a|l:e|x:a|n|d|r|a|	อ:ะ|เ:ล:็|ก:ซ:า|น|ด|ร|า|
a|l:e|x:a|n|d|r:i|a|	อ:ะ|เ:ล:็|ก:ซ:า|น|เ:ด|ร|ี:ย|
a|l:e|x:a|n|d|r|i|a:n|	อ:ะ|เ:ล:็|ก:ซ:า|น|เ:ด|ร|ี:ย|น|
a|l:e|x:a|n|d|r|i|n:a|	แ:อ|เ:ล:ิ|ก:แ:ซ|น|ด|ร|ี|น:่:า|
a|l:e|x:a|n|d|r|i:n:e|	อ:ะ|เ:ล:็|ก:ซ:ั|น|ด|ร|ี:น|
a|l:e|x:a|n|d|r|i:t|e|	อ:ะ|เ:ล:็|ก:ซ:า|น|ไ:ด|ร|ต|์|
a|l:e|x|i|a|	อ|เ:ล:็|ก:เ:ซ|ี|ย|
a|l:e|x|i|o:u|	แ:อ:เ|ล|็:ก|ซ|ู|
a|l|e|x|o|p:o:u|l:o|s|	แ:อ|ล|ิ|ก:ซ|อ:เ|ป:อ|ล|ิ:ส|
a|l|e:y|	เ:อ|ล|ี:ย:์|
a|l|f|	แ:อ|ล:์|ฟ|
a:l|f|a|l|f|a|	อ:ั:ล|ฟ|ั|ล|ฟ|า|
a:l|f|a|n:o|	อ:ั:ล|ฟ|า|โ:น:่|
a|l:f|a|t|o|x:i|n|	แ:อ|ฟ|ล:า|ท|อ|ก:ซ:ิ|น|
a:l|f|i:e|r:i|	อ:ั:ล|ฟ|ี|ร:ี:่|
a|l|f|i|s|o|l|s|	แ:อ|ล|ฟ|ิ|ซ|อ|ล|ส:์|
a|l|f|o|n|s|e|	แ:อ|ล|ฟ|อ|น|ส|์|
a|l|f:o|r|d|	แ:อ|ล|เ:ฟ:ิ|ร:์|ด|
a:l|f|r|e:d|	อ:ั:ล|เ:ฟ|ร|ด|
a|l|f|r|e:d|	อ:า|ล|เ:ฟ|ร|ด|
a|l|f|r|e:d|	แ:อ|ล|เ:ฟ|ร|ด|
a:l|g:a:e|	อ:ั:ล|จ:ี|
a:l|g|a:l:◊|b|l|o:o:m|	อ:ั:ล|ก|ั:ล|บ|ล|ู:ม|
a:l|g|a|r|	อ:ั:ล|ก|า|ร:์|
a|l|g:e|r|	แ:อ|ล|เ:จ:อ|ร:์|
a|l|g:e|r:i|a|	แ:อ|ล|จ:ี:เ|ร|ี:ย|
a:l|g:e|r|n|o|n|	อ:ั:ล|เ:จ:อ|ร:์|น|อ|น|
a|l|g:e|r|n|o|n|	แ:อ|ล|เ:จ:อ|ร:์|น|อ|น|
a|l|g:e|r|n:o|n|	แ:อ|ล|เ:จ:อ|ร:์|เ:น:ิ|น|
a|l|g|i|e|	อ:อ|ล|ก|ี|่|
a|l|g|i:e|r:s|	แ:อ|ล|เ:จ|ี|ย:ร:์|
a:l|g|o|l|	อ:ั:ล|ก|อ|ล|
a|l|g:o|m:a|	แ:อ|ล:โ|ก|ม:่:า|
a|l|g|o:m|a|n|	แ:อ|ล:โ|ก|ม|ั|น|
a|l|g|o|n|k|i|a:n|	แ:อ|ล|ก|อ|ง|เ:ค|ี:ย|น|
a:l|g|o|n|k|i|n|	อ:ั:ล|ก|อ|น|ก|ิ|น|
a|l|i|	อ:า|ล|ี|
a|l|i|,|◊:m|u|h:a|m:m|a|d|	อ:า|ล|ี|,:◊|ม|ุ|ฮ:ั:ม|ม|ั|ด|
a|l|i|c:e|	อ:า|ล|ี|ซ|
a|l:i|c:e|	อ:า|ล:ี:เ|ช|
a|l|i|c:e|	อ:า|ล|ี|เ:ซ:อ|
a|l|i|c:e|	แ:อ|ล|ิ|ซ|
a|l|i|c|i|a|	อ|ล|ิ|เ:ซ|ี|ย|
a|l|i|c:k|	เ:อ:อ|ล|ิ|ก|
a|l|i|c|y:c|l|i|c|	แ:อ|ล|ิ|ไ:ซ|ค|ล|ิ|ก|
a|l|i|d|a:d:e|	อ:ะ|ล|ิ|เ:ด|ด|
a|l|i|e:n|	เ:อ|เ:ล|ี:ย|น|
a|l:i|e:n|	เ:อ|เ:ล:ี|่:ย:น|
a|l:i|n|e|	เ:อ:ิ|ล:ไ:ล|น|์|
a|l:i|n:g|	เ:อ:อ|ล:ิ:่|ง|
a|l|i|n|s|k:y|	เ:อ:อ|ล|ิ|น|ส|ก:ี:้|
a|l:i|o|t:o|	อ:ั|ล:ล:ี|โ:อ|โ:ต:้|
a|l|i|p:h:a|t|i|c|	อ:ะ|ล|ิ|ฟ:า|ท|ิ|ก|
a|l|i|p:h:a|t|i|c|	แ:อ|ล|ิ|แ:ฟ|ต|ิ|ก|
a|l|i|p:h:a|t|i|c|◊:h:y|d|r|o|x|y:◊|a|c|i:d:s|	อ:ะ|ล|ิ|ฟ:า|ท|ิ|ก|ไ:ฮ|ด|ร|อ|ก:ซ|ี|แ:อ|ซ|ิ:ด|
a|l|i|q:u|o|t|	อ:ะ|ล|ิ|ค|ว:อ|ด|
a|l|i|s|o|n|	แ:อ|ล|ิ|ส|ั|น|
a|l|i|s|t:a:i|r|	แ:อ|ล|ิ|ส|เ:ท|อ:ร:์|
a|l|i|s|t:e|r|	แ:อ|ล|ิ|ส|เ:ท:อ|ร:์|
a|l|i|x|	แ:อ|ล|ิ|ก:ซ:์|
a|l|k|a|l|i|	แ:อ|ล|ค|า|ไ|ล|
a|l|k|a|l|i|c|	แ:อ|ล|ค|า|ล|ิ|ก|
a:l|k|a|l|i:n|e|	อ:ั:ล|ค|า|ไ:ล|น|์|
a|l|k|a|l|i:n:e|	แ:อ|ล|ค|า|ไ|ล|
a|l|k|a|l|i:n|e|	แ:อ|ล|ค|า|ไ:ล|น|์|
a:l|k|a|l|o|i:d|	อ:ั:ล|ค|า|ล|อ|ย:ด:์|
a|l|k|a|l|o|i:d|	แ:อ|ล|ค|า|ล|อ|ย:ด:์|
a|l|k|a:n:e|	แ:อ|ล|เ:ค|น|
a|l|k|e:n:e|	แ:อ|ล|ค|ี:น|
a|l|k|y:l:◊|b|e|n|z|e:n:e|◊:s:u|l|f:o|n|a:t:e|	แ:อ|ล|ค|ิ:ล|เ|บ|น|ซ|ี:น|ซ:ั|ล|โ:ฟ:เ|น|ด|
a|l|k|y:l:◊|s|u|l|f|a:t:e|	แ:อ|ล|ค|ิ:ล|ซ|ั|ล|เ:ฟ|ต|
a|l|k|y:n|e|	แ:อ|ล|ไ:ค|น|์|
a|l:l:a|i:n|	อ|เ:ล|น|
a|l|l|a|n|	แ:อ|ล|ล|ั|น|
a|l|l|a|n|i:t|e|	แ:อ|ล|ล|า|ไ:น|ต|์|
a|l:l:a|n|s|o|n|	เ:อ:อ|เ:ล|ิ:น|ส|ั|น|
a|l|l:a|r|d|	แ:อ|ล|เ:ล:ิ|ร:์|ด|
a|l|l|a|w:a|y|	เ:อ|ิ:ล|เ:ล|อ:เ|ว|ย:์|
a:l:l|c:h|i:n|	อ:อ|ค|ิ:้:น|
a|l|l:e|g:h|e:n|y|	แ:อ|ล:เ:ล|เ|ก|น|ี|
a|l|l|e|l:o|m|o|r|p:h|	แ:อ|ล|ล|ี|ล:โ:ล|ม|อ|ร:์|ฟ|
a|l|l:e|l:o|m|o|r|p:h|	แ:อ|ล|ล|ี:โ:ล|ม|อ|ร:์|ฟ|
a:l|l|e:n|	อ:ั:ล|เ:ล|น|
a|l|l|e:n|	แ:อ|ล|เ:ล|น|
a|l|l:e|n|b:y|	แ:อ|ล|เ:ล:ิ|น|บ:ี:้|
a|l|l:e|n|d|a:l:e|	แ:อ|เ|ล|ิ:น|เ:ด|ล|
a|l|l:e|n|d|o:e|r|f:e|r|	แ:อ|ล|ล|ิ:น|ด|ู|ร:์|เ:ฟ:อ|ร:์|
a|l|l:e|r|	อ:อ|ล|เ:ล:อ|ร:์|
a|l|l:e|r|s|	อ:อ|ล|เ:ล:ิ|ร:์|ส|
a|l|l:e|r|t|o:n|	แ:อ|ล|เ:ล:อ|ร:์|เ:ต|ิ:้:น|
a|l|l:e|y|	แ:อ|ล|ล:ี:่|ย:์|
a|l|l:e|y:n:e|	แ:อ|เ|ล|น|
a|l:l|g:a:i|e|r|	แ:อ|ล|ไ:ก|เ:อ|อ:ร:์|
a|l:l|g:o:o|d|	อ:อ|ล|ก:ู|๊:ด|
a|l:l|i|e|s|	แ:อ|ล|ไ|ล|ส:์|
a|l|l|i|n|	เ:อ|ิ:ล|ล|ิ|น|
a|l:l|i:n:g|	อ|ล|ิ:ง|
a|l|l|i|n|g:h:a|m|	อ:อ|ล|ล|ิ|ง|แ:ฮ|ม|
a|l|l|i|n|s|o|n|	แ:อ|ล|ล|ิ|น|ส|ั|น|
a|l|l|i|s|	แ:อ|ล|ล|ิ|ส|
a|l|l|i|s|o|n|	แ:อ|ล|ล|ิ|ส|ั|น|
a|l|l|i|s|t:o|n|	แ:อ|ล|ล|ิ|ส|ต:้:อ|น|
a|l:l|m|a:n|d|	อ:อ|ล|แ:ม|น|ด:์|
a|l:l|o|	แ:อ|ล|โ:ล|
a|l|l:o|p:h|a:n:e|	แ:อ|ล|โ:ล:เ|ฟ|น|
a|l|l|o|t|	เ:อ|ิ:ล|ล|ั|ต|
a|l|l|o:t:t|	แ:อ|เ|อ|ิ:ต|
a:l|l:o|w:a|y|,:◊|l|a:w|r|e:n|c|e|	อ:ั:ล|โ:ล:เ|ว|ย|์:,:◊|ล|อ:ว:์|เ:ร|น|ซ|์|
a|l:l|o:y|	อ:ั|ล|ล:อ:ย|
a|l:l|o:y|	แ:อ|ล|ล:อ:ย|
a|l:l|p|o|r|t|	อ:อ|ล|พ|อ|ร:์|ต|
a|l:l|s|o|p|	อ:อ|ล|ซ|อ|ป|
a|l:l|s:t|o:n|	อ:อ|ล|ส:เ:ต|ิ:้:น|
a|l|l|u:m|	แ:อ|ล|เ:ล|ิ:่:ม|
a|l:l|w:o:o|d|	อ:อ|ล|ว:ู|ด|
a|l|l|w|o|r|t:h|y|	อ:อ|ล|เ|ว|อ|ร:์|ท|ี:่|
a:l:l|w:r:i|g:h:t|	อ:อ|ไ:ร|ต:์|
a|l|l|y|n|	แ:อ|ล|ล|ิ|น|
a|l|m|	อ:ั|ล:์|ม|
a:l|m|a|	อ:ั:ล|ม|า|
a:l|m|a|◊|a|t|a|	อ:ั:ล|ม|า|อ|า|ต|า|
a|l|m:a|n|	แ:อ|ล|เ:ม:ิ|น|
a|l|m|a|n|d|i:t|e|	แ:อ|ล|ม|ั|น|ไ:ด|ต|์|
a:l|m|a|n|z|a|	อ:ั:ล|ม|อ|น|ซ|า|
a:l|m|a|r|i|c|	อ:ั:ล|ม|า|ร|ิ|ก|
a:l|m|e:n|	อ:ั:ล|เ:ม|น|
a|l|m:e|r|	อ:อ|ล|เ:ม:อ|ร:์|
a:l|m|i|r:a|	อ:ั:ล|ม|ี|ร:่:า|
a:l|m:o|n|	อ:ั:ล|เ:ม:ิ|น|
a:l|m|o|n:d|	อ:ั:ล|ม|อ|น:ด:์|
a:l|m|o|n:d|	อ:ั:ล|ม|ั|น:ด:์|
a|l|m:u|s|	แ:อ|ล|เ:ม:ิ|ส|
a|l|m|w|i|n:d|	อ:า|ล:์|ม|ว|ิ|น:ด:์|
a|l|n|w|i|c:k|	แ:อ|ล|น:์|ว|ิ|ก|
a|l|o|i:s|	อ|ล|อ|ย:ส:์|
a|l|o:n:s|o|	อ:ะ|ล|อ:น|โ:ซ|
a|l|o|r|	อ:ะ|ล|อ|ร:์|
a:l|o:y|s|i|a|	อ:ั:ล|ล:อ:ย|เ:ซ|ี|ย|
a|l|p|	แ:อ|ล|ป:์|
a|l|p:a|s:s|	แ:อ|ล|เ:พ:ิ|ส|
a|l|p:e|r|i|n|	แ:อ|ล|เ:ป:อ|ร|ิ|น|
a|l|p:e|r|s|	แ:อ|ล|เ:พ:ิ|ร:์|ส|
a|l|p:e|r|t|	แ:อ|ล|เ:พ:ิ|ร:์|ต|
a:l|p:h:a|	อ:ั:ล|ฟ:า|
a|l|p:h:a|	แ:อ|ล|ฟ:า|
a|l|p:h:a|n:d|	แ:อ|ล|แ:ฟ|น:ด:์|
a|l|p:h|o|n|s|e|	แ:อ|ล|ฟ|อ|น|ส|์|
a|l|p:h|o|n|s:o|	แ:อ|ล|ฟ|อ|น|โ:ซ:่|
a|l|p:h|o|n|s:u|s|	แ:อ|ล|ฟ|อ|น|เ:ซ:ิ|ส|
a:l|p|i|n|	อ:ั:ล|พ|ิ|น|
a:l|p|i:n|e|	อ:ั:ล|ไ:พ|น|์|
a|l|p|i:n|e|	แ:อ|ล|ไ:พ|น|์|
a|l|p|o|r|t|	แ:อ|ล|พ|อ|ร:์|ต|
a|l|p|s|	แ:อ|ล|ป|์|
a:l|s|a|c:e|	อ:ั:ล|ซ|า|ซ|
a:l|s:a|t|i|a:n|	อ:ั:ล|เ:ซ:เ|ช|ี:ย|น|
a|l|s:a|t|i|a:n|	แ:อ|ล|เ:ซ:เ|ช|ี:ย|น|
a|l|s|d|o|r|f|	แ:อ|ล|ส:์|ด|อ|ร:์|ฟ|
a|l|s:i|k:e:◊|c|l|o:v:e|r|	อ:ั:ล|ไ|ซ|ค:์|โ:ค|ล|เ:ว|อ:ร:์|
a|l|s|i|p|	แ:อ|ล|ซ|ิ|ป|
a|l|s|o|p|	แ:อ|ล|ซ|อ|ป|
a|l|s:t|o:n|	อ:อ|ล|ส:เ:ต|ิ:้:น|
a:l|t|	อ:ั:ล|ต:์|
a:l|t|a|m|i|r|a|	อ:ั:ล|ต|า|ม|ี|ร|า|
a|l|t|a|m|o:n|t|	อ:อ|ล|เ:ต|อ|เ:ม|ิ:่:น|ต:์|
a|l|t|e:n|	อ:อ|ล|เ:ท|ิ:่:น|
a|l|t:e|r|	อ:อ|ล|เ:ต:อ|ร:์|
a|l|t:e|r|m|a|n|	อ:อ|ล|เ:ต:อ|ร:์|เ:ม|ิ:่|น|
a|l|t:e|r|n|a:t|i|v:e|	อ:อ|ล|เ:ท:อ|ร:์|เ:น|ท|ิ|ฟ|
a|l|t|h|a:u|s|	แ:อ|ล|เ|ฮ|า|ส:์|
a|l|t|h:o|u:s:e|	อ|อ|ต|เ:ฮ:า|ส:์|
a|l|t|i|m:e|t:e|r|	แ:อ|ล|ท|ิ|ม:ิ:เ|ต|อ:ร:์|
a:l|t|i|p|l|a|n:o|	อ:ั:ล|ต|ิ|ป|ล:า|โ|น|
a:l|t|i|p:l|a|n:o|	อ:ั:ล|ท|ิ|พ:ล:า|โ|น|
a|l|t|i|t:h:e|r|m|a|l|	แ:อ|ล|ต|ิ|เ:ท|อ:ร:์|ม|อ|ล|
a|l|t|i|t|u:d:e|	แ:อ|ล|ท|ิ|จ:ู|ด|
a|l|t|m:a|n|	อ:อ|ล:์|ต|เ:ม:ิ|น|
a|l|t|m:e:y|e|r|	แ:อ|ล|ต:์|ไ:ม|เ:อ|อ:ร:์|
a:l|t:o|b:e|l:l|i|	อ:ั:ล|โ:ต:เ|บ|ล|ี:่|
a|l|t:o:c|u|m|u|l|u|s|	แ:อ|ล|โ:ต|ค:ิ:ว|ม|ู|ล|ั|ส|
