a:'|m|a|r|i:e|	ಅ|ಮ|ಾ|ರ|ೀ|
a|c:h|y|u|t|r|a|y|	ಅ|ಚ|್|ಯ:ು|ತ|ರ|ಾ|ಯ|
a:c|r|o|p|o|l|i|s|	ಆ|ರ:್|ಕ:ೋ|ಪ|ೊ|ಲ|ೀ|ಸ:್|
m|u|s|e|u|m|	ಮ:್|ಯ:ೂ|ಸ|ಿ|ಯ|ಂ|
a|c|t|i:o|n|s|	ಆ|ಕ|್|ಷ|ನ:್|ಸ:್|
s|e|m|i|c:o|n|d:u|c|t:o|r|	ಸ|ೆ|ಮ|ಿ|ಕ|ಂ|ಡ|ಕ:್|ಟ|ರ:್|
a|c|t:o|n|	ಏ|ಕ:್|ಟ|ನ:್|
a|c|t|r|e:s|s|	ಆ|ಕ:್|ಟ:್|ರ|ೆ|ಸ:್|
a|c|t|u|n|	ಆ|ಕ:್|ಟ|ು|ನ:್|
k:a|u|a|	ಕ|ಾ|ವ:ಾ|
a|d:a|a|	ಅ|ದ|ಾ|
a|d:a|i|r|	ಅ|ಡ|ೈ|ರ:್|
a|d:a|m|	ಆ|ದ|ಂ|
b|a|c:h|e|r|	ಬ:್|ಯ:ಾ|ಚ|ರ|್|
a|d:a|r|s:h|i|	ಆ|ದ|ರ:್|ಶ|ಿ|
a|d|a|w|i|	ಅ|ದ|ಾ|ವ|ಿ|
a:d|b|u|l|	ಅ|ಬ:್|ದ:ು|ಲ:್|
q|a|w|i|	ಕ|ಾ|ವ|ಿ|
a|d|d|i|s|	ಅ|ಡ:್|ಡ|ಿ|ಸ:್|
a|b|a|b|a|	ಅ|ಬ|ಾ|ಬ|ಾ|
a|d:d|i|s:o|n|	ಆ|ಡ|ಿ|ಸ|ನ:್|
a|d:d|o|	ಅ|ಡ|ೋ|
e|l|e|ph:a|n|t|	ಎ|ಲ|ಿ|ಫ|ೆ:ಂ|ಟ:್|
a|d|e|l|e|	ಅ|ಡ|ೀ|ಲ|್|
a|d|e|l|i:e|	ಅ|ಡ|ೆ|ಲ|ೀ|
a|d|e|r|y|n|	ಏ|ಡ|ೆ|ರ|ಿ|ನ:್|
a|d|e|s|h|	ಆ|ದ|ೇ|ಶ|್|
a|d|g:a|o|n|	ಅ|ದ|ಗ|ಾ:ಂ|ವ:್|
b|u|z|u|r|g|	ಬ|ು|ಜ|ು|ರ:್|ಗ:್|
a|d:h|e:e|r:a|a|	ಅ|ಧ|ೀ|ರ|ಾ|
a|d:h|i|k|a|r|	ಅ|ಧ|ಿ|ಕ|ಾ|ರ:್|
a|d:h|i|k|a|r|i|	ಅ|ಧ|ಿ|ಕ|ಾ|ರ|ಿ|
a|d:h|i|w:a|r|	ಅ|ಧ|ಿ|ವ|ರ:್|
a|d:h|o|k|s:h|a:j|	ಅ|ಧ|ೋ|ಕ:್|ಷ|ಜ|
a|d|i|d|a|s|	ಆ|ಡ|ಿ|ಡ|ಾ|ಸ:್|
a|d|i|l|a|b|a|d|	ಅ|ದ|ಿ|ಲ|ಾ|ಬ|ಾ|ದ:್|
a|d|i|m|o:o|r|t|i|	ಆ|ದ|ಿ|ಮ|ೂ|ರ:್|ತ|ಿ|
a|d|i|m|u|r|t|i|	ಆ|ದ|ಿ|ಮ|ೂ|ರ:್|ತ|ಿ|
a|d|i|n:a|a|r|a|y:a|n|	ಆ|ದ|ಿ|ನ|ಾ|ರ|ಾ|ಯ|ಣ|
a|d|i|p|u|r|	ಆ|ದ|ಿ|ಪ|ು|ರ:್|
a|d|i|s:h|r|e:e|	ಆ|ದ|ಿ|ಶ|್:ರ|ೀ|
a|d|i|s|h|v:a|r|	ಆ|ದ|ೀ|ಶ|್|ವ|ರ:್|
a|d|i|t|y|	ಆ|ದ|ಿ|ತ:್|ಯ|
a|d|i|t|y:a|a|	ಆ|ದ|ಿ|ತ:್|ಯ|ಾ|
a|d|i|t|y|a|p|u|r|	ಆ|ದ|ಿ|ತ:್|ಯ|ಾ|ಪ|ು|ರ:್|
a|d|i|t|y:a|v:a|r|d|h:a|n|	ಆ|ದ|ಿ|ತ:್|ಯ|ವ|ರ:್|ಧ|ನ|್|
a|d|l|a|b|s|	ಆ:ಡ|್:‌|ಲ:್|ಯ:ಾ|ಬ|್|
f|i|l|m|s|	ಫ|ಿ|ಲ:್|ಮ:್|ಸ:್|
a|d|o|l|f|	ಅ|ಡ|ಾ|ಲ:್|ಫ:್|
h|i|t|l:e|r|	ಹ|ಿ|ಟ:್|ಲ|ರ:್|
a|d|o|l|f|o|	ಆ|ಡ|ಾ|ಲ:್|ಫ|ೋ|
a|d|o|l|ph|	ಅ|ಡ|ಾ|ಲ:್|ಫ:್|
a|d|o|n|i|a|	ಅ|ಡ|ೋ|ನ|ಿ|ಯ:ಾ|
a|d|o|n|i|s|	ಅ|ಡ|ೋ|ನ|ಿ|ಸ:್|
a|d|o|r|a|	ಅ|ಡ|ೋ|ರ|ಾ|
a|d|r|i|a|n|	ಅ|ಡ:್|ರ|ಿ|ಯ:ಾ|ನ:್|
k:u|i|p:e|r|	ಕ|ೀ|ಪ|ರ:್|
a|d|r|i|a|n|o|	ಅ|ಡ:್|ರ|ಿ|ಯ:ಾ|ನ|ೊ|
a|d|r|i|a|t|i|c|	ಆ|ಡ:್|ರ|ಿ|ಯ:ಾ|ಟ|ಿ|ಕ:್|
a|d|r|i:e|n:n|e|	ಎ|ಡ:್|ರ|ೀ|ನ|್|
a|d|v:a|a|k|i|	ಅ|ದ:್|ವ|ಾ|ಕ|ೀ|
a|d|v:a|y|	ಅ|ದ:್|ವ|ೇ|
a|d|v|e|n|t|	ಆ|ಡ:್|ವ|ೆ|ಂ|ಟ:್|
a|d|w:a|a|k|e:e|	ಅ|ದ:್|ವ|ಾ|ಕ|ೀ|
a|d|w:a|i|t|	ಅ|ದ:್|ವ|ೈ|ತ:್|
a|d|w|a|k|e:e|	ಅ|ದ:್|ವ|ಾ|ಕ|ೀ|
a|d|y:a|n|	ಆ|ದ:್|ಯ|ನ:್|
a:e|r|o|b|i|c|s|	ಏ|ರ|ೋ|ಬ|ಿ|ಕ:್|ಸ:್|
a:e|r|o|n|a|	ಏ|ರ|ೋ|ನ|ಾ|
a:e|t|n|a|	ಏ|ಟ:್|ನ|ಾ|
a|f:a|d:a|l|	ಅ|ಫ|ದ|ಲ:್|
a|f|a|f|	ಅ|ಫ|ಾ|ಫ:್|
a|f|a|f|u|r|a|	ಅ|ಫ|ಾ|ಫ|ು|ರ|ಾ|
a|f:a|s:a|a|n:a|a|	ಅ|ಫ|ಸ|ಾ|ನ|ಾ|
a|f:a|s|a|n|a|	ಅ|ಫ|ಸ|ಾ|ನ|ಾ|
a|f|d:a|l|	ಅ|ಫ:್|ದ|ಲ:್|
a|f|i|f|	ಅ|ಫ|ೀ|ಫ:್|
a|f|l|a|t|o:o|n|	ಅ|ಫ|ಲ|ಾ|ತ|ೂ|ನ:್|
a:u|r:a|t|	ಔ|ರ|ತ:್|
a|f|r|a|	ಅ|ಫ:್|ರ|ಾ|
a|f|r|o|z|e|	ಅ|ಫ:್|ರ|ೋ|ಜ|್|
a|f|s|a|n|a|	ಅ|ಫ:್|ಸ|ಾ|ನ|ಾ|
a|f|t|a|b|	ಅ|ಫ:್|ತ|ಾ|ಬ:್|
a|f|t|e|k|	ಅ|ಫ:್|ಟ|ೆ|ಕ:್|
i|n|f|o|s|y|s|	ಇ|ನ:್|ಫ|ೋ|ಸ|ಿ|ಸ:್|
a|g:a|a:t|h:a|	ಅ|ಗ|ಾ|ಥ|
a|g:a|a|t:h|a:a|	ಅ|ಗ|ಾ|ಥ|ಾ|
a|g:a|m|	ಆ|ಗ|ಮ:್|
a|g|a|p|e|	ಅ|ಗ|ಾ|ಪ|ೆ|
a|g:a|r|	ಅ|ಗ|ರ:್|
t|u|m|	ತ|ು|ಮ:್|
h|o|t|e|	ಹ|ೋ|ತ|ೆ|
a|g:a|r|t:a|l|a|	ಅ|ಗ|ರ:್|ತ|ಲ|ಾ|
a|g:a|s|t|i|	ಅ|ಗ|ಸ:್|ತ|ಿ|
a|g:a|t:h|a:a|	ಅ|ಗ|ಥ|ಾ|
a|g:a|t|o|n|	ಅ|ಗ|ಟ|ಾ|ನ:್|
f|o|r|t|	ಫ|ೋ|ರ:್|ಟ:್|
a|g:e|n|t|	ಏ|ಜ|ೆ:ಂ|ಟ:್|
v|i|n|o|d|	ವ|ಿ|ನ|ೋ|ದ:್|
a|g:h|a:r|r|	ಅ|ಗ|ರ|್|
a|g|h|w|a|n|p|u|r|	ಅ|ಗ|್|ವ|ಾ|ನ:್|‌:ಪ|ು|ರ:್|
a|g|n|e:e|p:a|t|h|	ಅ|ಗ:್|ನ|ಿ|ಪ|ಥ|್|
a|g|n|i|	ಅ|ಗ:್|ನ|ಿ|
c:h|a:k|r|a|	ಚ|ಕ|್|ರ|
m|o|r|c:h|a|	ಮ|ೋ|ರ:್|ಚ|ಾ|
p|r|e|m|	ಪ:್|ರ|ೇ|ಮ:್|
r|e|k:h|a|	ರ|ೇ|ಖ|ಾ|
a|g|n|i|j|	ಅ|ಗ:್|ನ|ಿ|ಜ:್|
a|g|n|i|j:a|	ಅ|ಗ:್|ನ|ಿ|ಜ|
a|g|n|i|k|u|m:a|a|r|	ಅ|ಗ:್|ನ|ಿ|ಕ|ು|ಮ|ಾ|ರ:್|
a|g|o|r|o|t|	ಅ|ಗ|ೊ|ರ|ೊ|ಟ:್|
a|g|o|s|h|	ಆ|ಗ|ೋ|ಶ|್|
a|g|o|s|t|i|n|o|	ಅ|ಗ|ೋ|ಸ:್|ಟ|ಿ|ನ|ೋ|
a|g|r|a|	ಆ|ಗ:್|ರ|ಾ|
a|g|r:a|p|o:o|j|y|	ಅ|ಗ:್|ರ|ಪ|ೂ|ಜ:್|ಯ|
a|g|r|a|w|a|l|	ಅ|ಗ|ರ:್|‌|ವ|ಾ|ಲ:್|
a|g|r|i|m:a|a|	ಅ|ಗ:್|ರ|ಿ|ಮ|ಾ|
a|h:a|l|y|a|	ಅ|ಹ|ಲ:್|ಯ|ಾ|
a|h:a|m:a|d|	ಅ|ಹ|ಮ|ದ:್|
a|h|i|l|y:a|a|	ಅ|ಹ|ಿ|ಲ:್|ಯ|ಾ|
a|h|i|n|d|r:a|	ಅ|ಹ|ೀ|ಂ|ದ:್|ರ|
a|h|i|n|s|a|	ಅ|ಹ|ಿ:ಂ|ನ:್|ಸ|ಾ|
a|h|l:a|a|d|i|t|	ಆ|ಹ:್|ಲ|ಾ|ದ|ಿ|ತ:್|
a|h|l|a|d|i|t|	ಆ|ಹ:್|ಲ|ಾ|ದ|ಿ|ತ:್|
a|h|l:a|m|	ಅ|ಹ:್|ಲ|ಮ:್|
a|h|m:a|d|	ಅ|ಹ|ಮ|ದ:್|
a|l|	ಅ|ಲ:್|
a|r|a|b|i|	ಅ|ರ|ಾ|ಬ|ಿ|
d:a|r|q|a|w|i|	ದ|ರ:್|ಖ|ಾ|ವ|ಿ|
b:a|k|k|a|i|	ಬ|ಕ:್|ಕ|ಾ|ಯ:್|
k|u|n|t|i|	ಕ|ು|ಂ|ತ|ಿ|
a|h|m:a|d|g|a|r|h|	ಅ|ಹ|ಮ|ದ|್:‌|ಗ|ಢ|್|
a|h|m:a|d|n|a:g|a|r|	ಅ|ಹ|ಮ|ದ:್|‌:ನ|ಗ|ರ|್|
a|h|m:e|d|	ಅ|ಹ|ಮ|ದ:್|
b|u|n|i|	ಬ|ು|ನ|ಿ|
a|r|	ಅ|ರ:್|
r|i|f|a|i|	ರ|ಿ|ಫ|ಾ|ಯ:್|
y|e|s|e|v|i|	ಯ|ೆ|ಸ|ೆ|ವ|ಿ|
a|h|m:e|d|a|b|a|d|	ಅ|ಹ:್|ಮ|ದ|ಾ|ಬ|ಾ|ದ:್|
a|h|n|a|f|	ಅ|ಹ:್|ನ|ಾ|ತ:್|
a|h|o|b|i|l:a|m|	ಅ|ಹ|ೋ|ಬ|ಿ|ಲ|ಂ|
a|h|s|a|n|	ಅ|ಹ:್|ಸ|ಾ|ನ:್|
a|h|w:a|h|n:e|e|	ಅ|ಹ:್|ವ|ಾ|ನ|ೆ|
a|h|w|a|s|	ಅ|ಹ:್|ವ|ಾ|ಸ:್|
a|h|z|a|b|	ಅ|ಹ:್|ಜ|ಾ|ಬ:್|
a:i|l|e:e|n|	ಐ|ಲ|ೀ|ನ:್|
a:i|m|e:e|	ಏ|ಮ|ೀ|
a:i|n|s|l|e:y|	ಐ|ನ:್|‌:ಸ|್:ಲ|ಿ|
a:i|n|s|l|i:e|	ಐ|ನ:್|‌:ಸ|್:ಲ|ಿ|
a:i|r|	ಏ|ರ:್|
f|r|a|n|c|e|	ಫ:್|ರ|ಾ|ನ:್|ಸ|್|
g|r|o:u|p|	ಗ:್|ರ|ೂ|ಪ:್|
m:a|i|l|	ಮ|ೇ|ಲ:್|
i|n|d|i|a|	ಇ|ಂ|ಡ|ಿ|ಯ:ಾ|
a:i|r|e|l|l|	ಏ|ರ|ೆ|ಲ|್|
a:i|s|i|n|	ಐ|ಸ|ಿ|ನ:್|
s:e|i|k|i|	ಸ|ೈ|ಕ|ಿ|
a:i|s|l|i|n|n|	ಐ|ಸ:್|ಲ|ಿ|ನ|್|
a:i|t|h:a|l|	ಐ|ತ|ಲ|್|
a|j:a|a|d|	ಆ|ಜ|ಾ|ದ:್|
a|j:a|a|t:a|s:h|a:t|r|u|	ಅ|ಜ|ಾ|ತ|ಶ|ತ|್:ರ|ು|
a|j:a|a|t|s|h:a|t|r|u|	ಅ|ಜ|ಾ|ತ:್|‌|ಶ|ತ:್|ರ|ು|
a|j:a|m|i|l|	ಅ|ಜ|ಮ|ಿ|ಳ:್|
a|j:a|n|t|a|	ಅ|ಜ|ಂ|ತ|ಾ|
e|l|l|o|r|a|	ಎ|ಲ:್|ಲ|ೋ|ರ|ಾ|
a|j:a|r|	ಅ|ಜ|ರ:್|
a|j:a|r:a|d:a|a:h|	ಅ|ಜ|ರ|ದ|ಾ|
a|j|a|t|s|h:a|t|r|u|	ಅ|ಜ|ಾ|ತ:್|‌|ಶ|ತ:್|ರ|ು|
a|j:a|y|	ಅ|ಜ|ಯ:್|
j:a|d|e|j|a|	ಜ|ಡ|ೇ|ಜ|ಾ|
a|j|e:e|b|	ಅ|ಜ|ೀ|ಬ:್|
i|t|t|e|f|a|q|	ಇ|ತ:್|ತ|ೆ|ಫ|ಾ|ಕ:್|
l:a|d|k|i|	ಲ|ಡ|ಕ|ಿ|
a|j|e:e|b:a|a:h|	ಅ|ಜ|ೀ|ಬ|ಾ|
a|j|e|n|d|r:a|	ಅ|ಜ|ೇ|ಂ|ದ:್|ರ|
a|j|g|a|i|n|	ಅ|ಜ|್:‌|ಗ|ೈ|ನ:್|
a|j|i|r|	ಅ|ಜ|ಿ|ರ:್|
a|s|o|m|	ಅ|ಸ|ೋ|ಮ:್|
a|j|i|s|h|	ಅ|ಜ|ೀ|ಶ|್|
a|j|i|t|a|a:b|h|	ಅ|ಜ|ಿ|ತ|ಾ|ಭ|್|
a|j|i|t|e|s|h|	ಅ|ಜ|ಿ|ತ|ೇ|ಶ|್|
a|j|l:a|h|	ಅ|ಜ:ಿ|ಲ|ಾ|
a|j|m:a|l|	ಅ|ಜ:್|ಮ|ಲ:್|
a|j|m|a|n|i|	ಅ|ಜ:್|ಮ|ಾ|ನ|ಿ|
a|j|m|e|r|	ಆ|ಜ:್|ಮ|ೆ|ರ:್|
a|j|n:a|b|i|	ಅ|ಜ|ನ|ಬ|ಿ|
s:a|a|y|a|	ಸ|ಾ|ಯ|ಾ|
a|j|o:o|b|a|	ಅ|ಜ|ೂ|ಬ|ಾ|
a|j|r:a|d:a|a:h|	ಅ|ಜ:್|ರ|ದ|ಾ|
a|j|r:a|d:a|h|	ಅ|ಜ:್|ರ|ದ|ಾ|
a|j|w:a|a|d|	ಅ|ಜ:್|ವ|ಾ|ಡ:್|
a|j|w:a|d|	ಅ|ಜ:್|ವ|ಡ:್|
a|k:a|a|r|	ಆ|ಕ|ಾ|ರ:್|
a|k:a|l|g|a:d|i|y|a|	ಅ|ಕ|ಲ:್|‌:ಗ|ಡ|ಿ|ಯ|ಾ|
a|k:a|l|k|o|t|	ಅ|ಕ|ಲ:್|ಕ|ೋ|ಟ:್|
r|o:a|d|	ರ|ೋ|ಡ:್|
a|k:a|l|m:a|n|d|	ಅ|ಕ|ಲ:್|ಮ|ಂ|ದ:್|
a|k:a|l|m|a:s|h|	ಅ|ಕ|ಲ:್|ಮ|ಶ|್|
a|k:a|r|	ಆ|ಕ|ರ:್|
a|k:a|r|s|h:a|n|	ಆ|ಕ|ರ|್|ಷ|ಣ:್|
a|k|a:s|h|	ಆ|ಕ:ಾ|ಶ|್|
p:a|r|i|	ಪ|ರ|ಿ|
a|k|a:s|h:a|	ಆ|ಕ|ಾ|ಶ|
a|k|a|s:h|i|	ಅ|ಕ|ಾ|ಶ|ಿ|
k:a|i|k|y|o|	ಕ|ೈ|ಕ:್|ಯ|ೊ|
a|k|b:a|r|p|u|r|	ಅ|ಕ|ಬ|ರ|ಪ|ು|ರ:್|
a|k|e:e|l|	ಅ|ಕ|ೀ|ಲ:್|
a|k|e|l|e|	ಅ|ಕ|ೇ|ಲ|ೆ|
h:u|m|	ಹ|ಮ:್|
a|k:h|a:n|d|	ಅ|ಖ|ಂ|ಡ:್|
s:a|u|b:h|a|g|y:a|w:a|t|i|	ಸ|ೌ|ಭ|ಾ|ಗ:್|ಯ|ವ|ತ|ಿ|
a|k|h|f|a:s|h|	ಅ|ಖ|್|ಫ:ಾ|ಶ|್|
a|k:h|i|l|	ಅ|ಖ|ಿ|ಲ:್|
a|k:h|l|a|a|q|	ಅ|ಖ|್|‌|ಲ:ಾ|ಕ:್|
a|k:h|r|i|	ಆ|ಖ|ರ|ೀ|
a|k|h|t:a|r|	ಅ|ಖ|್|ತ|ರ:್|
a|k|i|	ಅ|ಕ|ಿ|
a|k|i|l|	ಅ|ಕ|ಿ|ಲ:್|
a|k|i|l|a|	ಅ|ಕ|ಿ|ಲ|ಾ|
d:a|i|l|y|	ಡ|ೈ|ಲ|ಿ|
a|k|i|r|a|	ಅ|ಕ|ಿ|ರ|ಾ|
a|k|m:a|a|l|	ಅ|ಕ:್|ಮ|ಾ|ಲ:್|
a|k|m:a|l|	ಅ|ಕ:್|ಮ|ಲ:್|
a|k|o|l|a|	ಅ|ಕ|ೋ|ಲ|ಾ|
a|k|o|l|n|e|r|	ಅ|ಕ|ೋ|ಲ:್|ನ|ೇ|ರ:್|
a|k|o|s|o|m|b|o|	ಅ|ಕ|ೋ|ಸ|ೋ|ಂ|ಬ|ೋ|
d|a|m|	ಡ:್|ಯ:ಾ|ಮ:್|
a|k|r:a|m|	ಅ|ಕ:್|ರ|ಮ:್|
k:h|a|n|	ಖ|ಾ|ನ:್|
r|a|z|a|	ರ|ಾ|ಜ|ಾ|
a|k|s:h|a|y|	ಅ|ಕ:್|ಷ|ಯ|್|
a|k|s:h|i|t|	ಅ|ಕ:್|ಷ|ಿ|ತ:್|
a|k|s:h|i|t:a|	ಅ|ಕ:್|ಷ|ಿ|ತ|
a|k|s:h|i|t:a|a|	ಅ|ಕ:್|ಷ|ಿ|ತ|ಾ|
a|k|u|l|	ಅ|ಕ|ು|ಲ:್|
a|k|u|t:a|g:a|w|a|	ಅ|ಕ|ು|ಟ|ಗ|ವ|ಾ|
a|k|z|o|	ಏ|ಕ:್|ಜ|ೋ|
n|o|b|e|l|	ನ|ೊ|ಬ|ೆ|ಲ:್|
g:h|a:z|a|l|i|	ಗ|ಜ|ಾ|ಲ|ಿ|
p:a|c|i|n|o|	ಪ|ಸ|ಿ|ನ|ೋ|
s:a|h|a|r|i|a|r|	ಸ|ಹ|ಾ|ರ|ಿ|ಯ|ರ:್|
a|l|a|	ಅ|ಲ|ಾ|
a|l|a|b|a|m|a|	ಅ|ಲ|ಾ|ಬ|ಾ|ಮ|ಾ|
a|l:a|d|d|i|n|	ಅ|ಲ|ಾ|ದ|ೀ|ನ:್|
k:n|o:w|l|e|d:g|e|	ನ|ಾ|ಲ:ೆ|ಡ:್|ಜ|್|
s|y|s|t:e|m|s|	ಸ|ಿ|ಸ:್|ಟ|ಮ:್|ಸ:್|
l|i|m|i|t|e|d|	ಲ|ಿ|ಮ|ಿ|ಟ|ೆ|ಡ:್|
a|l:a|i|n|	ಅ|ಲ|ೆ|ನ:್|
a|l:a|i|n|a|	ಅ|ಲ|ೈ|ನ|ಾ|
a|l:a|k|a|	ಅ|ಲ|ಕ|ಾ|
a|l:a|k|h|	ಅ|ಲ|ಖ|್|
n|i|r:a|n|j:a|n|	ನ|ಿ|ರ|ಂ|ಜ|ನ:್|
a|l:a|m|	ಆ|ಲ|ಮ:್|
a|r|a|	ಅ|ರ|ಾ|
b|e|t|i|	ಬ|ೇ|ಟ|ಿ|
a|l:a|m:a|t|t|i|	ಆ|ಲ|ಮ|ಟ:್|ಟ|ಿ|
a|l|a|m|g|i|r|	ಅ|ಲ|್|ಮ|ಗ|ಿ|ರ:್|
k:a|b|i|r|	ಕ|ಬ|ಿ|ರ:್|
a|l:a|m|n:a|g:a|r|	ಅ|ಲ|ಂ|ನ|ಗ|ರ:್|
a|l:a|n|	‌:ಅ|ಲ|ನ:್|
i:g|g|l|e|s|d:e|n|	ಇ|ಗ:್|ಲ:ೆ|ಸ|್:‌|ಡ|ನ:್|
m|u|l|l|a|l:l|y|	ಮ|ು|ಲ:್|ಲ|ಾ|ಲ|ಿ|
t:u|r|n:e|r|	ಟ|ರ:್|ನ|ರ:್|
a|l|a|n|a|	ಅ|ಲ|ಾ|ನ|ಾ|
a|l|a|n:n|i|s|	ಅ|ಲ|ಾ|ನ|ಿ|ಸ:್|
a|l|a|p|	ಆ|ಲ|ಾ|ಪ:್|
a|l:a|r|i|c|e|	ಅ|ಲ|ರ|ಿ|ಸ|್|
a|l|a|s|t:a|i|r|	ಅ|ಲ|ಾ|ಸ:್|ಟ|ೇ|ರ:್|
c|o:o|k|	ಕ|ು|ಕ:್|
a|l:a|u|r|a|	ಅ|ಲ|ಾ|ರ|ಾ|
a|l:a|y|n|a|	ಅ|ಲ|ೇ|ನ|ಾ|
a|l|b:a|t|r:o|s|s|	ಅ|ಲ:್|ಬ|ಟ:್|ರ|ಾ|ಸ:್|
a|l|b|e|l|a|	ಅ|ಲ:್|ಬ|ೇ|ಲ|ಾ|
m:a|s|t|a|n|a|	ಮ|ಸ:್|ತ|ಾ|ನ|ಾ|
a|l|b|e|l|i|	ಅ|ಲ:್|ಬ|ೇ|ಲ|ೀ|
a|l|b:e|r|t|	ಅ|ಲ:್|ಬ|ರ:್|ಟ:್|
m|e|d:a|l|	ಮ|ೆ|ಡ|ಲ:್|
p|i|n|t|o|	ಪ|ಿ|ಂ|ಟ|ೊ|
k|o|	ಕ|ೊ|
g|u|s|s|a|	ಗ|ು|ಸ:್|ಸ|ಾ|
k|y|o:n|	ಕ:್|ಯ|ು|
a|t|a|	ಆ|ತ|ಾ|
h:a|i|	ಹ|ೈ|
a|l|b|i|o|n|	ಅ|ಲ:್|ಬ|ಿ|ಯ|ನ:್|
a|l|b|o|r|a|n|	ಅ|ಲ:್|ಬ|ೊ|ರ|ಾ|ನ:್|
a|l|c|o|a|	ಅ|ಲ:್|ಕ|ೋ|ವ:ಾ|
a|l|d|a|n|	ಅ|ಲ:್|ಡ|ಾ|ನ:್|
a|l|d|o|n|a|	ಅ|ಲ:್|ಡ|ೋ|ನ|ಾ|
a|l|e:e|m:a|h|	ಅ|ಲ|ೀ|ಮ|ಾ|
a|l|e|m|b|i|c|	ಅ|ಲ|ೆ|ಂ|ಬ|ಿ|ಕ:್|
a|l|e|s|t:e|r|	ಆ|ಲ|ಿ|ಸ:್|ಟ|ರ:್|
m|a|r|e|g|w|e|d|e|	ಮ|ಾ|ರ|್|ಗ:್|ವ|ೆ|ಡ|ೆ|
a|l|e|u|t|i|a|n|	ಅ|ಲ:್|ಯ|ು|ಟ|ಿ|ಯ|ನ:್|
a|l|e|x|a|n|d:e|r|	ಅ|ಲ|ೆ|ಕ:್|ಸ:ಾ|ಂ|ಡ|ರ:್|
g|r:e|a|t|	ಗ:್|ರ|ೇ|ಟ:್|
a|l|e|x|a|n|d|r|e|	ಅ|ಲ|ೆ|ಕ:್|ಸ:ಾ|ಂ|ಡ|ರ|್|
d|u|m|a|s|	ಡ:್|ಯ:ೂ|ಮ|ಾ|ಸ:್|
a|l|e|x|a|v|i|e|r|	ಅ|ಲ|ೆ|ಕ:್|ಸ:ೇ|ವ|ಿ|ಯ|ರ:್|
a|l|e|x|i|a|	ಅ|ಲ|ೆ|ಕ:್|ಸ:ಿ|ಯ:ಾ|
a|l|f|a|	ಆ|ಲ:್|ಫ|ಾ|
l|a|v:a|l|	ಲ|ಾ|ವ|ಲ:್|
a|l|f|o|n|s|o|	ಅ|ಲ:್|ಫ|ೋ|ನ:್|ಸ|ೋ|
a|l|f|r|e|d|	ಅ|ಲ:್|ಫ:್|ರ|ೆ|ಡ:್|
l|u|s|e|n|o|	ಲ|ು|ಸ|ೆ|ನ|ೊ|
t|e|n:n|i|s:o|n|	ಟ|ೆ|ನ|ಿ|ಸ|ನ:್|
a|l|g:e|r|	ಆ|ಲ:್|ಗ|ರ:್|
h:i|s|s|	ಹ|ಿ|ಸ:್|
a|l|g:i|e|r|s|	ಅ|ಲ:್|ಜ|ೀ|ರ:್|ಸ:್|
a|l|h:a|a|d|	ಆ|ಲ:್|ಹ|ಾ|ದ:್|
a|l|i|	ಅ|ಲ|ಿ|
s:h|a:h|	ಶ|ಾ|
a|l|i|a|	ಅ|ಲ|ಿ|ಯ:ಾ|
b:a|d|a|	ಬ|ಡ|ಾ|
a|l|i|b|a|b|a|	ಅ|ಲ|ೀ|ಬ|ಾ|ಬ|ಾ|
a|l|i|b|a|g|h|	ಆ|ಲ|ಿ|ಬ|ಾ|ಗ|್|
a|l|i|b:a|u|g|	ಅ|ಲ|ಿ|ಬ|ಾ|ಗ:್|
a|l|i|m:a|a|	ಅ|ಲ|ಿ|ಮ|ಾ|
a|l|i|p|u|r|	ಅ|ಲ|ಿ|ಪ|ು|ರ:್|
d|u|a|r|	ದ|ು|ವ|ರ:್|
a|l|i|s:h|a:a|	ಅ|ಲ|ಿ|ಷ|ಾ|
a|l|i|y:a|h|	ಅ|ಲ|ಿ|ಯ|ಾ|
a|l|k:a|a|	ಅ|ಲ:್|ಕ|ಾ|
a|l|l|	ಆ|ಲ|್|
s:a|i|n|t|s|	ಸ|ೈ|ಂ|ಟ:್|ಸ:್|
l|u|t:h|e|r|a|n|	ಲ|ು|ಥ|ೆ|ರ|ಾ|ನ:್|
a|m|e|r|i|c|a|	ಅ|ಮ|ೆ|ರ|ಿ|ಕ|ಾ|
c|i|t|y|	ಸ|ಿ|ಟ|ಿ|
a|w|a|r|d|	ಅ|ವ|ಾ|ರ:್|ಡ:್|
a|l|l|a|h|a|b|a|d|	ಅ|ಲ:್|ಲ|ಾ|ಹ|ಾ|ಬ|ಾ|ದ:್|
b|a|n|k|	ಬ:್|ಯ:ಾ|ಂ|ಕ:್|
a|l|l|a|n|	ಅ|ಲ:್|ಲ|ಾ|ನ:್|
b|o|r|d:e|r|	ಬ|ಾ|ರ:್|ಡ|ರ:್|
g|r|e|e|n|s|p|a|n|	ಗ:್|ರ|ೀ|ನ:್|‌|ಸ:್|ಪ|ಾ|ನ:್|
a|l|l|a|u|d|i|n|	ಅ|ಲ|ಾ|ವ|ು|ದ:್|ದ:ೀ|ನ:್|
c:h|i|r|a|g|	ಚ|ಿ|ರ|ಾ|ಗ:್|
l:a|i|l|a|	ಲ|ೈ|ಲ|ಾ|
