a:a|	ஆ|
a|d|v:a|a|k|e:e|	அ|த:்|வ|ா|க|ீ|
a|d|v:a|i|t|	அ|த:்|வ|ை|த:்|
a|d|v|a|k|i|	அ|த:்|வ|ா|க|ி|
a|d|w:a|a|k|e:e|	அ|த:்|வ|ா|க|ீ|
a|d|w|a|k|e:e|	அ|த:்|வ|ா|க|ீ|
a:e|l|w|e|n|	ஏ|ல:்|வ|ி|ன:்|
a|e|o|n|	ஏ|ய:ி|ய:ா|ன:்|
a:e|r|o|n|a|	ஏ|ர|ோ|ன|ா|
a|f|a:r|o|z|e|	அ|ஃ:ப|ர|ோ|ஸ|்|
a|f|a:s|a|n|a|	அ|ஃ:ப|ஸ|ா|ன|ா|
a|f|a|s|a|n:a|a|	அ|ஃ:ப|ா|ஸ|ா|ன|ா|
a|f:a|s|a|r|a|	அ:ஃ|ப|ச|ா|ர|ா|
a|f|e|e|f|	அ|ஃ:ப|ீ|ஃ|ப:்|
a|f|g:h|a|n|i|	அ|ப:்|க|ா|ன|ி|
a|f|i|f|	அ|ஃ:ப|ீ:ஃ|ப:்|
a|f|j:a|l|	அ:ஃ|ப:்|ஜ|ல:்|
a|f|l|a:h|	அ|ஃ:ப|்:ல|ா|
a|f|l|a:t|o:o|n|	அ|ஃ:ப|்:ல|த|ூ|ன:்|
a|f|r|a|	அ|ஃ:ப|்:ர|ா|
a|f|s|a|n|a|	அ|ஃ:ப|்:ச|ா|ன|ா|
a|f|s|a|r|	அ|ஃ:ப|்:ச|ா|ர:்|
a|f|t:a|b|	அ:ஃ|ப:்|த|ப:்|
a|h|m|e|d|	அ|ஹ:்|ம|ெ|த:்|
a|g|a|m|	ஆ|க|ா|ம:்|
a|g:a|p|e|	அ|க|ப|ே|
a|g:a|r|k:a|r|	அ|க|ர:்|க|ர:்|
a|g:a|r|t|a|l|a|	அ|க|ர:்|ட|ா|ல|ா|
a|g:a|s|t|i|	அ|க|ஸ:்|த|ி|
a|g:a|s|t|y|a|	அ|க|ஸ:்|த|ி|ய:ா|
a|g|a|t:h|a|	அ|க|ா|த|ா|
a|g|a|t:o|n|	அ|க|ா|ட|ன:்|
a|g|e|	ஆ|க|ே|
a|g|g|i:e|	அ|க:்|க|ி|
a|g|i|n|c:o|u|r|t|	அ|க|ி|ன:்|க|ோ|ர:்|ட:்|
a|g|n|e:e|	அ|க:்|ன|ீ|
p:a|r|e:e|k|s:h|a|	ப|ர|ீ|க:்|ஷ|ா|
a|g|n|e|y|a|	அ|க:்|ன|ே|ய|ா|
a|g|n|i|	அ|க:்|ன|ி|
p|r|e|m|	ப:ி|ர|ே|ம:்|
r|e|k:h|a|	ர|ே|க|ா|
s|a|k|s:h|i|	ச|ா|க:்|ஷ|ி|
a|g|n|i|k:a|a|l|	அ|க:்|ன|ி|க|ா|ல:்|
a|g|n|i|k|u|m|a|r|	அ|க:்|ன|ி|க|ு|ம|ா|ர:்|
a|g|n|i|p|r:a|v|	அ|க:்|ன|ி|ப:்|ர|வ:்|
a|g|o|r|i|	அ|க|ோ|ர|ி|
k:h|a|s|	க|ா|ஸ:்|
a|g|r|a|	ஆ|க:்|ர|ா|
c:a|n|t|o|n|m|e|n|t|	க|ண:்|ட|ோ|ன:்|ம|ெ|ண:்|ட:்|
c|i|t|y|	ச|ி|ட:்|ட:ி|
r|o|a|d|	ர|ோ|ட|்|
a|g|r|e:e|m|e|n|t|	அ|க:்|ர|ீ|ம|ெ|ண:்|ட:்|
a|g|r|i|c|u|l|t|u|r:a|l|	அ|க:்|ர|ி|க:்|க|ல:்|ச|ூ|ர|ல:்|
b|a|n|k|	ப|ே|ங:்|க:்|
o|f|	ஆ|ப:்|
c:h|i|n|a|	ச|ை|ன|ா|
a|g|r|o|	ஆ|க:்|ர|ோ|
t|e|c:h|	ட:ெ|க|்|
f|o:o|d|s|	ஃ:ப|ு|ட:்|ஸ:்|
a|h|a|d|	அ|ஹ|ா|த:்|
a|h|a|g|g:a|r|	அ|ஹ|ா|க:்|க|ர:்|
a|h:a|l|y:a|p|u|r|	அ|ஹ|ல:்|ய|ப|ூ|ர:்|
a|h:a|n|k:a|a|r|	அ|ஹ|ங:்|க|ா|ர:்|
a|h|i|n|d|r|a|	அ|ஹ|ி|ந:்|த:ி|ர|ா|
a|h|i|s|t|a|	அ|ஹ|ி|ஸ:்|ட|ா|
a|h|l:a|a|d|i|t|	அ|ஹ:்|ல|ா|த|ி|த:்|
a|h|l|a|d|i|t|	அ|ஹ:்|ல|ா|த|ி|த:்|
a|h|l|a|m|	அ|ஹ:்|ல|ா|ம:்|
a|h|m|a|d|	அ|ஹ:்|ம|ா|த:்|
a|l|	அ|ல:்|
b|a|d|a|w|i|	ப|ா|த|ா|வ|ி|
a|h|m:a|d|n:a|g:a|r|	அ|ஹ:்|ம|த:்|ந|க|ர:்|
a|h|m:a|r|	அ|ஹ:்|ம|ர:்|
b|u|n|i|	ப|ு|ன|ி|
a|r|	அ|ர:்|
r|i|f|a|i|	ர|ி|ஃ:ப|்:ப|ை|
y|e|s|e|v|i|	ய|ெ|ஸ|ெ|வ|ி|
a|h|m|e|d|n:a|g:a|r|	அ|ஹ:்|ம|ெ|த:்|ந|க|ர:்|
a|h|r|a|u|r|a|	அ|ஹ:்|ர|வ|ு|ர|ா|
a|h|s:a|a|s|	அ|ஹ:்|ச|ா|ஸ:்|
a|h|s|a|n|	அ|ஹ:்|ச|ா|ன:்|
a:i|g:h|a|r|	ஐ|க|ா|ர:்|
a:i|m|e:e|	ஐ|ம|ீ|
a:i|n|e|	ஐ|ன|்|
a:i|r|l|i|a|	ஐ|ர:்|ல|ி|ய:ா|
a|i|s|h|b|a|g|h|	அ|ய:ி|ஸ|்|ப|ா|க|்|
a:i|s|h|w:a|r|y|a|	ஐ|ஷ|்|வ|ர:்|ய|ா|
a:i|s|l|i|n|	ஐ|ஸ:்|ல|ி|ன:்|
a:i|t|a|n|a|	ஐ|ட|ா|ன|ா|
a|i|t|b:a|a|r|	அ|ய:ி|த:்|ப|ா|ர:்|
a|i|x|t|r|o|n|	ஏ|க:்|ஸ:்|ட:ி|ர|ா|ன:்|
a|k|t|i:e|n|g|e|s|e|l|l|s:c|h|a|f|t|	ஏ|க:்|த|ி|ன:்|க|ெ|ஸ|ெ|ல|்|ஷ|ா|ப|்|ட:்|
a:i|y|e|	ஆ|ய|ே|
a|j:a|i|b|p|u|r|	அ|ஜ|ய|்|ப|ூ|ர:்|
a|j:a|n|t|a|	அ|ஜ|ந:்|த|ா|
e|l|l|o|r|a|	எ|ல:்|ல|ோ|ர|ா|
a|j:a|n|t:a|a|	அ|ஜ|ந:்|த|ா|
a|j:a|n|t|i|	அ|ஜ|ந:்|த|ி|
a|j|a|r:a|d|a|h|	அ|ஜ|ா|ர|த|ா|ஹ:்|
a|j|a|t|a|s:h|a|t|r|u|	அ|ஜ|ா|த|ா|ஷ|ா|த:்|ர|ூ|
a|j:a|w:a|a|d|	அ|ஜ|வ|ா|த:்|
a|j:a|y|	அ|ஜ|ய:்|
j:a|d|e|j|a|	ஜ|ட|ே|ஜ|ா|
a|j|e:e|b|	அ|ஜ|ீ|ப:்|
i|t|t|e|f|a|q|	இ|ட:்|ட|ே|ஃ|ப|க:்|
a|j|e:e|b:a|h|	அ|ஜ|ீ|ப|ா|
a|j|e:e|t|	அ|ஜ|ீ|த:்|
a|j|e|n|d|r|a|	அ|ஜ|ெ|ந:்|த:ி|ர|ா|
a|j|i|n|k|y|a|	ஆ|ஜ|ி|ங:்|க|ி|ய:ா|
a|j|i|r|	அ|ஜ|ி|ர:்|
a|s|o|m|	அ|ஸ|ோ|ம:்|
a|j|i|t|	அ|ஜ|ி|த:்|
a|j|m|a|n|i|	அ|ஜ:்|ம|ா|ன|ி|
a|j|o:o|b|a|	அ|ஜ|ூ|ப|ா|
k|u|d|r:a|t|	க|ு|த:்|ர|த:்|
a|k|a|a:s|h|	அ|க|ா|ஷ|்|
a|k:a|l|m:a|n|d|	அ|க|ல:்|ம|ந:்|த:்|
a|k:a|m:a|a|l|	அ|க|ம|ா|ல:்|
a|k:a|m|a|l|	அ|க|ம|ா|ல:்|
a|k:a|n:a|p|e|t|	அ|க|ன|ப|ே|ட:்|
a|k|a:s|h|	அ|க:ா|ஷ|்|
p|a|r|i|	ப|ா|ர|ி|
a|k|a|s:h|a|	அ|க|ா|ஷ|ா|
a|k|a|s:h|i|	அ|க|ா|ஷ|ி|
a|k|b:a|r|	அ|க:்|ப|ர:்|
a|k|e:e|l|	அ|க|ீ|ல:்|
a|k|e|l|a|	அ|க|ே|ல|ா|
a|k|e|l|e|	அ|க|ே|ல|ே|
h:u|m|	ஹ|ம:்|
t|u|m|	த|ு|ம:்|
a:k|h:a|n|d|	அ|க|ந:்|த:்|
s:a|u|b:h|a|g|y:a|w:a|t|i|	ச|ௌ|ப|ா|க:்|ய|வ|த|ி|
a|k:h|i|l|	அ|க|ி|ல:்|
a|k:h|i|l|a|	அ|க|ி|ல|ா|
a|k:h|i|l|e|s|h|	அ|க|ி|ல|ே|ஷ|்|
a|k|h|l:a|a|q|	அ|க|்|ல|ா|க:்|
a|k|h|t|i|y:a|a|r|	அ|க|்|த|ி|ய|ா|ர:்|
a|k|h|t|i|y:a|r|	அ|க|்|த|ி|ய|ர:்|
a|k|i|f|	அ|க|ி:ஃ|ப:்|
a|k|i|t|s|u|	அ|க|ி|ட:்|ஸ|ு|
m|a|r|u|	ம|ா|ர|ு|
a|k|m:a|a|l|	அ|க:்|ம|ா|ல:்|
a|k|m:a|l|	அ|க:்|ம|ல:்|
a|k|o|r|a|	அ|க|ோ|ர|ா|
a|k|r:a|m|	அ|க:்|ர|ம:்|
k:h|a|n|	க|ா|ன:்|
a|k|r|o|n|	அ|க:்|ர|ா|ன:்|
a|k|s|h|	அ|க:்|ஷ|்|
a|k|u|t:a|g|a|w|a|	அ|க|ூ|ட|க|ா|வ|ா|
p|r|i|z|e|	ப:்|ர|ை|ஸ|்|
a|l|a|	அ|ல|ா|
a|l:a|i|a|	அ|ல|ை|ய|
a|l:a|i|r|	அ|ல|ை|ர:்|
a|l|a|k|a|	அ|ல|ா|க|ா|
a|l:a|k|a|n:a|n|d|a|	அ|ல|க|ா|ன|ன:்|த|ா|
a|l:a|k|a|n:a|n|d:a|a|	அ|ல|க|ா|ன|ன:்|த|ா|
a|l:a|k|n:a|n|d|a|	அ|ல|க:்|ந|ந:்|த|ா|
a|l:a|k|n:a|n|d:a|a|	அ|ல|க:்|ன|ன:்|த|ா|
a|l:a|m|	ஆ|ல|ம:்|
a|r|a|	அ|ர|ா|
b|e|t|i|	ப|ே|ட:்|ட:ி|
a|l:a|m|a|t|t|i|	அ|ல|ம|ா|ட:்|ட|ி|
d|a|m|	ட|ே|ம:்|
a|l:a|m|e|d|a|	அ|ல|ம|ே|த|ா|
a|l:a|m|g|i|r|	அ|ல|ம:்|க|ி|ர:்|
a|l:a|m|n:a|g:a|r|	அ|ல|ம:்|ந|க|ர:்|
a|l:a|n|	அ|ல|ன:்|
b:u|t|c:h|e|r|	ப|ட|்|ச|ர:்|
c|o|n:n|o|l|l|y|	க|ோ|ன|ொ|ல:்|ல|ி|
i|g:g|l|e|s|d|e|n|	இ|க|்:ல|ெ|ஸ:்|ட|ெ|ன:்|
k:n|o:t|t|	ந|ா|ட:்|
t:h|o|m|s:o|n|	த|ா|ம:்|ச|ன:்|
w|e|l|l|s|	வ|ெ|ல|்|ஸ:்|
a|l:a|r|i|c|e|	அ|ல|ர|ி|ஸ|்|
a|l|a|s|k|a|	அ|ல|ா|ஸ:்|க|ா|
a|l|b:a|n|	அ|ல:்|ப|ன:்|
a|l|b|e|l|i|	அ|ல:்|ப|ே|ல|ி|
a|l|b:e|r|t|	அ|ல:்|ப|ர:்|ட:்|
e:i|n|s|t:e|i|n|	ஐ|ன:்|ஸ:்|ட|ி|ன:்|
g|o|r|e|	க|ோ|ர|்|
p|i|n|t|o|	ப|ி|ன:்|ட|ோ|
g|u|s|s|a|	க|ு|ஸ:்|ஸ|ா|
a|t|a|	அ|த|ா|
h:a|i|	ஹ|ை|
s|c:h|w|e|i|t|z:e|r|	ஸ|்|வ|ெ|ய:்|ட:்|ச|ர:்|
a|l|b|e|r|t|a|	அ|ல:்|ப|ெ|ர:்|ட|ா|
a|l|b:e|r|t|s:o|n|s|	ஆ|ல:்|ப|ர:்|ட:்|ச|ன:்|ஸ:்|
a|l|b|i:e|	அ|ல:்|ப|ீ|
m|o|r|k|e|l|	ம|ோ|ர:்|க|ெ|ல:்|
a|l|b|i|n|a|	அ|ல:்|ப|ி|ன|ா|
a|l|b|i|o|n|	அ|ல:்|ப|ி|ய:ா|ன:்|
a|l|b|o|r:a|n|	அ|ல:்|ப|ோ|ர|ன:்|
a|l|b|u|k|e|r|k|	அ|ல:்|ப|ூ|க|ெ|ர:்|க:்|
a|l|b:u|r|y|	அ|ல:்|ப|ர|ி|
a|l|c:a|n|	அ|ல:்|க|ன:்|
a|l|c:a|t|e|l|	அ|ல:்|க|ட:்|ட|ல:்|
a|l|d:a|n|	அ|ல:்|ட|ன:்|
a|l|d|o|n|	அ|ல:்|ட|ோ|ன:்|
a|l|d|o|n|a|	அ|ல:்|ட|ோ|ன|ா|
a|l|e|c|	அ|ல|ெ|க:்|
s|t|e|w:a|r|t|	ஸ:்|ட|ீ|வ|ர:்|ட:்|
a|l|e:e|m:a|a|	அ|ல|ீ|ம|ா|
a|l|e|g|r|i|a|s|	அ|ல|ெ|க:ி|ர|ி|ய|ஸ:்|
a|l|e|t:h|e|a|	அ|ல|ெ|த|ி|ய:ா|
a|l|e|x|	அ|ல:ெ|க:்|ஸ:்|
t:a|i|t|	ட|ை|ட:்|
a|l|e|x|a|n|d:e|r|	அ|ல|ெ|க:்|ச:ா|ண:்|ட|ர:்|
t:h|e|	த|ி|
g|r:e|a|t|	க:ி|ர|ே|ட:்|
a|l|e|x|a|n|d|r|e|	அ|ல|ெ|க:்|ச:ா|ண:்|ட|ர|்|
d|u|m|a|s|	ட|ு|ம|ா|ஸ:்|
a|l|e|x|a|n|d|r|i|a|	அ|ல|ெ|க:்|ஸ:ா|ன:்|ட:ி|ர|ி|ய:ா|
a|l|e|x|i|a|	அ|ல|ெ|க:்|ஸ:ி|ய:ா|
a|l|f|r|e|d|	அ|ல|்|ஃ:ப|ி:ர|ட:்|
h|i:t|c:h|c|o|c:k|	ஹ|ி|ச|்:க|ா|க|
l|u|s|e|n|o|	ல|ு|ச|ெ|ன|ோ|
t|e|n|n|i|s:o|n|	ட|ெ|ன:்|ன|ி|ச|ன:்|
a|l|g:a|w|a|n|	அ|ல:்|க|வ|ா|ன:்|
a|l|g:e|r|	ஆ|ல:்|க|ர:்|
h|i:s|s|	ஹ|ி|ஸ:்|
a|l|g|e|r|n|o|n|	அ|ல:்|க|ெ|ர:்|ன|ா|ன:்|
a|l|g|i|e|r|s|	அ|ல:்|ஜ|ி|ய|ர:்|ஸ:்|
a|l|h|a|d|	அ|ல:்|ஹ|ா|த:்|
h|u|j|w|i|r|i|	ஹ|ு|ஜ:்|வ|ி|ர|ி|
s:h|a:h|	ஷ|ா|
a|l|i|a|	அ|ல|ி|ய:ா|
b:a|d|a|	ப|ட|ா|
a|l|i|b|a|b|a|	அ|ல|ி|ப|ா|ப|ா|
a|l|i|b|a|g|h|	அ|ல|ி|ப|ா|க|்|
a|l|i|b:a|u|g|	அ|ல|ி|ப|ா|க:்|
a|l|i|c:a|n|t|e|	அ|ல|ி|க|ன:்|ட|ே|
a|l|i|c|e|	அ|ல|ீ|ஸ|்|
a|l|i|c|i|a|	அ|ல|ி|ஷ|ி|ய:ா|
a|l|i|f|	ஆ|ல|ி:ஃ|ப:்|
l:a|i|l|a|	ல|ை|ல|ா|
a|l|i|g:a|r|h|	அ|ல|ி|க|ர|்|
j:u|n|c|t:i|o|n|	ஜ|ங|்|ஷ|ன|்|
a|l|i|m|	அ|ல|ி|ம:்|
a|l|i|p|u|r|	அ|ல|ி|ப|ூ|ர:்|
d|u|a|r|	ட|ு|வ:ா|ர:்|
a|l|i|s|a|	அ|ல|ி|ஸ|ா|
a|l|i|s:o|n|	அ|ல|ீ|ச|ன:்|
a|l|i|w|a|l|	அ|ல|ி|வ|ா|ல:்|
a|l|i|y|a|r|	ஆ|ழ|ி|ய|ா|ர:்|
r|e|s:e|r|v|o|i|r|	ர|ி|ச|ர:்|வ|ா|ய|ர:்|
a|l:l|a:h|a|b|a|d|	அ|ல|ஹ|ா|ப|ா|த:்|
a|l|l:a|n|	ஆ|ல:்|ல|ன:்|
b|o|r|d:e|r|	ப|ா|ர:்|ட|ர:்|
a|l:l|a|u|d:d|i|n|	அ|ல|ா|வ:ு|த|ி|ன:்|
a|l:l|a|u|d|i|n|	அ|ல|ா|வ:ு|த|ி|ன:்|
b|e|t|a|	ப|ே|ட:்|ட:ா|
c:h|i|r|a|g|	ச|ி|ர|ா|க:்|
a|l|l|e|g:h|e|n|y|	அ|ல:்|ல|ே|க|ே|ன|ி|
a|l:l|e|m|a|n|d|e|	அ|ல|ெ|ம|ா|ன:்|ட|ெ|
a|l|l:e|n|	அ|ல:்|ல|ன:்|
a|l:l|e|n|d|a|l|e|	அ|ல|ெ|ன:்|ட|ே|ல|்|
a|l|l|i:e|	அ|ல:்|ல|ி|
a|l:l|y|s:o|n|	அ|ல|ி|ச|ன:்|
a|l|m|a|s|	அ|ல|ம|ா|ஸ:்|
a|l|n|a|v:a|r|	அ|ல:்|ன|ா|வ|ர:்|
a|l|o|a:r|a|k|h|	அ|ல|ோ|ர|ா|க|்|
a|l|o|k|	ஆ|ல|ோ|க:்|
a|l|o|y|s|i|u|s|	அ|ல|ோ|ய:்|ச|ி|ய|ஸ:்|
a|l|p|a|n:a|a|	அ|ல:்|ப|ா|ன|ா|
a|l|p|e|s|h|	அ|ல:்|ப|ே|ஷ|்|
v|a|d:h|e|r|	வ|ா|த|ெ|ர:்|
a|l|ph|a|	ஆ|ல:்|ஃ:ப|ா|
m|a:t|r|i|c|u|l|a|t:i|o|n|	ம:ெ|ட|்:ர|ி|க|ு|ல|ே|ஷ|ன|்|
h:i|g:h|e|r|	ஹ|ை|ய|ர:்|
s|e|c:o|n|d:a|r|y|	ச|ெ|க|ண:்|ட|ர|ி|
s|c:h|o:o|l|	ஸ:்|க|ூ|ல:்|
c:h|e|n|n:a|i|	ச|ெ|ன:்|ன|ை|
a|l|p|i|n|e|	அ|ல:்|ப|ை|ன|்|
a|l|s:a|t|i|a|	அ|ல:்|ச|ா|ஷ:ி|ய:ா|
a|l|s|t|o|m|	அ|ல:்|ஸ:்|ட|ா|ம:்|
a|l|t:a|a|f|	அ|ல:்|ட|ா:ஃ|ப:்|
a|l|t|a|f|	அ|ல:்|ட|ா:ஃ|ப:்|
a|l|t|a|i|	அ|ல:்|த|ா|ய:்|
a|l|t|e|s|s|a|	அ|ல:்|ட|ெ|ஸ:்|ஸ|ா|
a|l|u|a|b|a|r|i|	அ|ல|ு|வ:ா|ப|ா|ர|ி|
a|l|v|a|r|i|o|n|	அ|ல:்|வ|ா|ர|ி|ய:ா|ன:்|
a|l|v|i|n|	அ|ல:்|வ|ி|ன:்|
a|l|w|a|r|	ஆ|ழ:்|வ|ா|ர:்|
n:a|v:a|	ந|வ|
t|i|r|u|p|a|t|i|	த|ி|ர|ு|ப:்|ப|த|ி|
a|l|y|s:o|n|	அ|ல|ை|ச|ன:்|
a|m:a|a|n:a|a|t|h|	அ|ம|ா|ன|ா|த|்|
a|m:a|a|n|a|t|	அ|ம|ா|ந|ா|த:்|
a|m:a|a|n|d:a|a|	அ|ம|ா|ன:்|ட|ா|
a|m:a|d:e|u|s|	அ|ம|த|ே|ஸ:்|
a|m:a|h|	அ|ம|ா|
a|m:a|l|	அ|ம|ல:்|
s|i|l|v|a|	ச|ி|ல:்|வ|ா|
a|m:a|l|a|	அ|ம|ல|ா|
a|m|a|l|i|a|	அ|ம|ா|ல|ி|ய:ா|
a|m:a|l|s|a|d|	அ|ம|ல:்|ச|ா|த:்|
a|m|a|n:a|a|t|h|	அ|ம|ா|ன|ா|த|்|
a|m|a|n|a|t|h|	அ|ம|ா|ன|ா|த|்|
a|m|a|n|d|a|	அ|ம|ா|ண:்|ட|ா|
a|m:a|n|d|i|p|	அ|ம|ன:்|த|ி|ப:்|
a|m|a|n|i|	அ|ம|ா|ன|ி|
a|m:a|n|j|e:e|t|	அ|ம|ன:்|ஜ|ீ|த:்|
a|m:a|r|	அ|ம|ர:்|
a|n|t:h|o:n|y|	ஆ|ண:்|ட|ன|ி|
r:a|h|e|	ர|ஹ|ே|
y|e|h|	ய|ே|ஹ:்|
s:h|a:h|e:e|d|	ஷ|ஹ|ீ|த:்|
s|i|n:g|h|	ச|ி|ங|்|
r:a|t:h|o|d|	ர|த|ோ|ட:்|
a|m:a|r|a|	அ|ம|ர|ா|
a|m:a|r|a|n|t|a|	அ|ம|ர|ா|ன:்|ட|ா|
a|m:a|r|a|p|	அ|ம|ர:்|ர:ா|ப:்|
a|m:a|r|a:r|a|j|	அ|ம|ர:்|ர|ா|ஜ:்|
a|m|a|r|e:e|k|	அ|ம|ா|ர|ீ|க:்|
a|m|a|r|e:e|s|h|	அ|ம|ா|ர|ீ|ஷ|்|
a|m:a|r|e|s|h|	அ|ம|ர|ி|ஷ|்|
a|m:a|r|j|e:e|t|	அ|ம|ர:்|ஜ|ீ|த:்|
a|m:a|r|j|i|t|	அ|ம|ர:்|ஜ|ி|த:்|
a|m:a|r|k:a|n|t|	அ|ம|ர:்|க|ன:்|த:்|
a|m:a|r|n|a|t|h|	அ|ம|ர:்|ந|ா|த|்|
a|m:a|u|s|i|	அ|ம|ௌ|ஸ|ி|
a|m:a|y|	அ|ம|ே|
k:h|u|r|a|s|i|y|a|	க|ு|ர|ா|ஸ|ி|ய|ா|
a|m|a:z|o|n|i|a|	அ|ம|ஜ|ோ|ந|ி|ய:ா|
a|m|b|a|	அ|ம:்|ப|ா|
a|m|b|a|l|a|	அ|ம:்|ப|ா|ல|ா|
a|m|b|a|l|a|p|u|z:h|a|	அ|ம:்|ப|ா|ல|ா|ப|ு|ழ|ா|
a|m|b:a|r|	அ|ம:்|ப|ர:்|
a|m|b:a|r|d|e|k:a|r|	அ|ம:்|ப|ர:்|த|ே|க|ர:்|
a|m|b|e|d|k|a|r|n:a|g:a|r|	அ|ம:்|ப|ே|த:்|க|ா|ர:்|ந|க|ர:்|
a|m|b|i|k|a|	அ|ம:்|ப|ி|க|ா|
k:a|l|n|a|	க|ல:்|ன|ா|
a|m|b|o|d|a|l|a|	அ|ம:்|ப|ோ|ட|ா|ல|ா|
a|m|b|u|p|	அ|ம:்|ப|ு|ப:்|
a|m|b|u|r|	ஆ|ம:்|ப|ூ|ர:்|
a|m|e:e|n:a|a|	அ|ம|ீ|ன|ா|
a|m|e:e|r|	அ|ம|ீ|ர:்|
g:a|r|i|b|	க|ர|ி|ப:்|
z:a|d|i|	ஸ|த|ி|
a|m|e:e|r|i|	அ|ம|ீ|ர|ி|
g:a|r|e:e|b|i|	க|ர|ீ|ப|ி|
a|m|e:l|i:e|	அ|ம:ா|ல|ீ|
a|m|e|r|a|d|a|	அ|ம|ெ|ர|ா|த|ா|
h|e:s|s|	ஹ|ெ|ஸ:்|
a|m|e|r|i|c|a|n|	அ|ம|ெ|ர|ி|க:்|க|ன:்|
a|c:a|d|e|m|y|	அ|க|ா|ட|ம|ி|
a|r|t|s|	ஆ|ர:்|ட:்|ஸ:்|
a|n|d|	அ|ண:்|ட:்|
l|e|t|t:e|r|s|	ல|ெ|ட:்|ட|ர:்|ஸ:்|
f|i|c|t:i|o|n|	ப:ி|க:்|‌|ஷ|ன|்|
a|w|a|r|d|	அ|வ|ா|ர:்|ட:்|
e|x|p|r|e:s|s|	எ:க|்:ஸ|்:ப|ி:ர|ஸ|்|
i|n|t:e|r|n|a|t:i|o:n|a|l|	இ|ன:்|ட|ர:்|ந|ே|ஷ|ன|ல|்|
b:u|i|l|d:i|n|g|	ப|ி|ல:்|ட|ி|ங:்|
i|n|t|l|	இ|ன:்|ட|ல:்|
g|r:o|u|p|	க:ு|ர|ூ|ப:்|
w|a|r|	வ|ா|ர:்|
i|n|d|e|p|e|n|d|e|n|c|e|	இ|ன:்|ட|ி|ப|ெ|ன:்|ட|ெ|ன:்|ஸ|்|
a|m|e|r|i|c|i|u|m|	அ|ம|ெ|ர|ி|ஷ|ி|ய|ம:்|
a|m|e:y|	அ|ம|ே|
a|m|e|y|a|	அ|ம|ே|ய|ா|
a|m|g|u|r|i|	அ|ம:்|க|ு|ர|ி|
a|m|i|	அ|ம|ி|
a|m|i|n|	அ|ம|ி|ன:்|
a|m|i|n|u|l|	அ|ம|ி|ன|ு|ள:்|
i|s|l|a|m|	இ|ஸ:்|ல|ா|ம:்|
a|m|i|r|	அ|ம|ி|ர:்|
k:a|b|i|r|	க|ப|ி|ர:்|
a|m|i|t|	அ|ம|ி|த:்|
m|i|s:h|r|a|	ம|ி|ஷ|ர|ா|
a|m|i|t:a|a|b|h|	அ|ம|ி|த|ா|ப|்|
a|m|i|t|a|b|h|	அ|ம|ி|த|ா|ப|்|
c:h|a:u|d:h|a|r|i|	ச|ௌ|த|ா|ர|ி|
a|m|i|t|r|a|s:a|h|	அ|ம|ி|த:்|ர|ா|ச|ா|
a|m|m|a|	அ|ம:்|ம|ா|
a|m|m|a|n|	அ|ம:்|ம|ா|ன:்|
a|m|m|a|r:a|h|	அ|ம:்|ம|ா|ர|ா|
a|m|o|h|a|	அ|ம|ோ|ஹ|ா|
a|m|o|l:a|k|	அ|ம|ோ|ல|க:்|
a|m|o|l|i|k|	அ|ம|ோ|ல|ி|க:்|
a|m|o:o|l|y|a|	அ|ம|ூ|ல:்|ய|ா|
a|m|o|r|i|n|a|	அ|ம|ோ|ர|ி|ன|ா|
a|m|r:a|h|	அ|ம:்|ர|ா|
a|m|r|a|t:a|a|	அ|ம:்|ர|ா|த|ா|
a|m|r|a|v:a|t|i|	அ|ம|ர|ா|வ|த|ி|
a|m|r|e:e|k|	அ|ம:்|ர|ீ|க:்|
a|m|r|i|k|	அ|ம:்|ர|ி|க:்|
a|m|r|i|t|a|	அ|ம:்|ர|ி|த|ா|
p|r|e:e|t:a|m|	ப:்|ர|ீ|த|ம:்|
a|m|r|i|t|a|p|	அ|ம:்|ர|ி|த|ா|ப:்|
a|m|r|i|t|l|a|l|	அ|ம:்|ர|ி|த:்|ல|ா|ல:்|
n:a|g:a|r|	ந|க|ர:்|
a|m|r|i|t|s|a|r|	அ|ம:்|ர|ி|த:்|ச|ா|ர:்|
a|m|s|t:e|r|d|a|m|	ஆ|ம:்|ஸ:்|ட|ர:்|ட|ா|ம:்|
s:c|h:i|ph|o|l|	ஷ|ி|ப|ோ|ல:்|
a|m|u|	அ|ம|ு|
d|a|r|y|a|	த|ா|ர:்|ய|ா|
a|m|u|r|	அ|ம|ூ|ர:்|
a|m|u|r|t|	அ|ம|ு|ர:்|த:்|
a|m|y|	அ|ம|ி|
a|n|a|	அ|ன|ா|
a|n:a|a|d|i|	அ|ன|ா|த|ி|
a|n:a|a|d|y|a|	அ|ன|ட|்|ய|ா|
a|n:a|a|d|y:a|n|t|	அ|ன|ா|த:்|ய|ன:்|ட:்|
a|n:a|a|m|i|k|a|	அ|ன|ா|ம|ி|க:்|க:ா|
a|n:a|a|m|i|k|a|a|	அ|ன|ா|ம|ி|க:்|க|ா|
a|n|a|d|o|l|u|h|i|s|a|r|	அ|ன|ா|ட|ொ|ல|ு|ஹ|ி|ச|ா|ர:்|
a|n|a|d|y:a|n|t|	அ|ன|ா|த:்|ய|ன:்|ட:்|
