a|	এ|
a|m|a|l|	আ|ম|া|ল|
a|m:a|l|a|	অ|ম|ল|া|
a|m:a|l|c:h:a|n|d|r:a|	অ|ম|ল|চ|ন:্|দ:্|র|
a|m:a|l|e|n|d|u|	অ|ম|ল|ে|ন:্|দ|ু|
a|m:a|l|k|a|n|t|i|	অ|ম|ল|ক|া|ন:্|ত|ি|
a|m:a|l|k|u|m|a|r|	অ|ম|ল|ক|ু|ম|া|র|
a|m:a|l|s|a|d|	অ|ম|ল|স|ে|দ|
a|m:a|n|	অ|ম|ন|
a|m|a|n|d|a|	আ|ম|া|ন:্|ড|া|
a|m|a|n|u|l|l|a|	আ|ম|া|ন|উ|ল:্|ল|া|
a|m|a|n|u|r|	আ|ম|া|ন|ু|র|
a|m:a|r|	অ|ম|র|
a|m:a|r|a|	অ|ম|র|া|
a|m:a|r|a|b|a:t:i|	অ|ম|র|া|ব|ত:ী|
a|m:a|r|c:h:a|n|d|	অ|ম|র|চ:া|ঁ|দ|
a|m:a|r|d|i|p|	অ|ম|র|দ|ী|প|
a|m:a|r|e|n|d|u|	অ|ম|র|ে|ন:্|দ|ু|
a|m:a|r|e:s:h|	অ|ম|র|ে:শ|
a|m:a|r|e|s:h:w|a|r|	অ|ম|র|ে|শ|্:ব|র|
a|m:a|r|j|i|t|	অ|ম|র|জ|ি|ত|
a|m:a|r|k|r:i:s|h:n:a|	অ|ম|র|ক|ৃ:ষ|্:ণ|
a|m:a|r|n|a|t:h|	অ|ম|র|ন|া|থ|
a|m:a|r|p|u|r|a|	অ|ম|র|প|ু|র|া|
a|m:a|r|s:h:a|n|k:a|r|	অ|ম|র|শ|ং|ক|র|
a|m:a|r|t|y:a|	অ|ম|র:্|ত:্|য|
a|m:a|y|	অ|ম|য়|
a|m|a|z|i:n:g|	অ:্|য:া|ম:ে|জ|ি:ং|
a|m|a|z:o:n|	আ|ম|া|জ:ন|
a|m|a|z|o|n|i|a|	আ|ম|া|জ|ো|ন|ি|য়:া|
a|m|b|a|b|a:t:i|	অ|ম:্|ব|া|ব|ত:ী|
a|m|b|a|l|a|	আ|ম|ব|া|ল|া|
a|m|b|a|l|a|p|u|z|h|a|	আ|ম|ব|া|ল|া|প|ু|জ|হ|া|
a|m|b:a|r|	অ|ম:্|ব|র|
a|m|b|a|r|d|e|k|a|r|	আ|ম:্|ব|া|র|দ|ে|ক|া|র|
a|m|b|a|r|i|	আ|ম|ব|া|র|ী|
a|m|b:a|r|i|s:h|	অ|ম:্|ব|র|ী|শ|
a|m|b|a|s|a|m|u|d|r:a|m|	আ|ম|ব|া|স|া|ম|ু|দ:্|র|ম|
a|m|b|a|s:s:a|d:o|r|	অ:্|য:া|ম:্|ব:া|স:ে|ড|র|
a|m|b|a|t|u|r|a|i|	আ|ম|ব|া|ত|ু|র|া|ই|
a|m|b|e|k|a|r|	আ|ম:্|ব|ে|ক|া|র|
a|m|b|i|k|a|	অ|ম:্|ব|ি|ক|া|
a|m|b|i|y|a|k:h:a|t|u|n|	আ|ম:্|ব|ি|য|া|খ:া|ত|ু|ন|
a|m|b|l|i|y|a|s:a|n|	অ|ম|ব:্|ল|ি|য়|া|স|ন|
a|m|b|o|s|e|l|i|	অ:্|য:া|ম:্|ব:ো|স|ে|ল|ি|
a|m|b|r|i|s:h|	অ|ম:্|ব|র|ি|শ|
a|m|b|u|j|	অ|ম:্|ব|ু|জ|
a|m|b|u|j|a|	অ|ম:্|ব|ু|জ|া|
a|m|b|u|r|	আ|ম|ব|ু|র|
a|m|c|o|r|	আ|ম|ক|ো|র|
a|m|d|e|k:a|r|	আ|ম|্:ব|ে:দ|ক|র|
a|m|e|d|	আ|ম|ে|দ|
a|m|e|n|i|t|i|e:s|	এ|ম|ে|ন|ি|ট|ি|স|
a|m|e|r:a|d|a|	আ|ম|ে|র|ড|া|
a|m|e|r|i|c|a|	আ|ম|ে|র|ি|ক|া|
a|m|e|r|i|c|a|	আ|ম|ে|র|ি|ক|া:ন|
a|m|e|r|i|c|a|n|	আ|ম|ে|র|ি|ক|া|ন|
a|m|e|r|i|c|i|u|m|	অ:্|য:া|ম:ি|র|ি|স|ি|য়:া|ম|
a|m|e|r|i|s:o:u|r|c:e|b|e|r|g|e|n|	আ|ম|ে|র|ি|স:ো|র:্|স|ব|া|র:্|গ|ে|ন|
a|m|g:a|o|n|	আ|ম|গ|া|ঁ:ও|
a|m|h:e:r|s|t|	আ:র|্:ণ|হ:া|স:্|ট|
a|m|i|n|	আ|ম|ী|ন|
a|m|i|n|a|k:h:a|t|u|n|	আ|ম|ি|ন|া|খ:া|ত|ু|ন|
a|m|i|n|a|l|i|	আ|ম|ি|ন|আ|ল|ি|
a|m|i|n|u|l|	আ|ম|ি|ন|ু|ল|
a|m|i|r|	আ|ম|ি|র|
a|m|i|r|a|l|i|	আ|ম|ি|র|আ|ল|ি|
a|m|i|r|h|a|m|j|a|	আ|ম|ী|র|হ|া|ম|জ|া|
a|m|i|r|h|o|s|e|n|	আ|ম|ি|র|হ|ো|স|ে|ন|
a|m|i|r|u|l|h:a|k|	আ|ম|ি|র|ু|ল|হ|ক|
a|m|i|r|u|l|l|a|	আ|ম|ি|র|ু|ল:্|ল|া|
a|m|i|s:s|	আ|ম|ি|স|
a|m|i|t|	অ|ম|ি|ত|
a|m|i|t|a|	অ|ম|ি|ত|া|
a|m|i|t|a|b:h|	অ|ম|ি|ত|া|ভ|
a|m|i|t|a|b:h:a|	অ|ম|ি|ত|া|ভ|
a|m|i|t|a|r|a|n|i|	অ|ম|ি|ত|া|র|া|ণ|ী|
a|m|i|t|e:s:h|	অ|ম|ি|ত|ে:শ|
a|m|i|t|r:a|n|j:a|n|	অ|ম|ি|ত|র|ঞ:্|জ|ন|
a|m|i|u|	অ|ম|ি|উ|
a|m|i|y:a|r:a|n|j:a|n|	অ|ম|ি|য|র|ঞ:্|জ|ন|
a|m|j|a|d|	আ|ম|জ|া|দ|
a|m|l|a|k:h|u:r:d|	আ|ম|ল|া|খ|ু:দ|
a|m|l|i|	অ|ম|ল|ি|
a|m|m|a|s|a|n|d|r|a|	অ|ম:্|ম|া|স|া|ন|দ:্|র|া|
a|m:m:i|r|a|g|l|i|o|	আ|ম:ি|র|া|গ|ল|ি|ও|
a|m|o|d|i|n|i|	আ|ম|ো|দ|ি|ন|ী|
a|m|r|a|v:a|t|i|	অ|ম|র|া|ব|ত|ি|
a|m|r|e|	আ|ম:্|র|ে|
a|m|r|e|l|i|	আ|ম:্|র|ে|ল|ি|
a|m:r:i|t:a|	অ|ম:ৃ|ত|
a|m:r:i|t|s:a|r|	অ|ম:ৃ|ত|স|র|
a|m:r:i|t|v|e|l|	অ|ম:ৃ|ত|ভ|ে|ল|
a|m:r:i|t:y:e|	অ|ম:ৃ|ত|
a|m|r|o|h|a|	অ|ম|র|ো|হ|া|
a|m|s|t:e|r|d|a|m|	আ:র|্:ম|স:্|ট|া:র|ড|া|ম|
a|m|t|e|k|	অ:্|য:া|ম:ট|ে|ক|
a|m|u|l|	আ|ম|ু|ল|
a|m|u|r|	আ|ম|ু|র|
a|m|y|	অ:্|য:া|ম:ি|
a|m|z|a|d|	আ|ম|জ|া|দ|
a|n|a|d:a|b|a|l|a|	আ|ন|ন:্|দ|ব|া|ল|া|
a|n|a|d|o|l|u|h|i|s:a|r|	আ|ন|ো|দ|ো|ল|ু|হ|ি|স|র|
a|n|a|d|y|r|	আ|ন|া|দ|ি|র|
a|n|a|i|k|u|t|t|a|m|	আ|ন|া|ই|ক|ু|ট:্|ট|া|ম|
a|n:a|l|	অ|ন|ল|
a|n|a|m:a|t|	আ|ন|া|ম|ত|
a|n:a|n|d|	আ|ন|ন:্|দ|
a|n:a|n|d:a|g|o|p|a|l|	আ|ন|ন:্|দ|গ|ো|প|া|ল|
a|n:a|n|d:a|l|a|l|	আ|ন|ন:্|দ|ল|া|ল|
a|n:a|n|d|i|	আ|ন|ন:্|দ|ী|
a|n:a|n|d|p|u|r|	আ|ন|ন:্|দ|প|ু|র|
a|n:a|n|t:a|d|e|b:i|	অ|ন|ন:্|ত|দ|ে|ব|
a|n:a|n|t:a|k|u|m|a|r|	অ|ন|ন:্|ত|ক|ু|ম|া|র|
a|n:a|n|t|l|a|l|	অ|ন|ন:্|ত|ল|া|ল|
a|n|a|p:a:r|t|i|	আ|ন|া|প:া|ট|ি|
a|n|a|r|a|l|i|	আ|ন|া|র|আ|ল|ি|
a|n|a|r|j|a|n|	আ|ন|া|র|জ|া|ন|
a|n|a|r|k:a|l|i|	আ|ন|া|র|ক|ল|ী|
a|n|a|r|u|l|	আ|ন|া|র|ু|ল|
a|n|a|t:h|	অ|ন|া|থ|
a|n|a|t:h|n|a|t:h|	অ|ন|া|থ|ন|া|থ|
a|n|a|t|o:m:y|	অ:্|য:া|ন:া|ট|ম:ি|
a|n|b|i|k|a|	অ|ন:্|ব|ি|ক|া|
a|n|c|o|n|a|	আ|ন|ক|ো|ন|া|
a|n|d|a|m|a|n|	আ|ন:্|দ|া|ম|া|ন|
a|n|d|e|r|s:e|n|	অ|ন:্|ড|ে|র|স|ন|
a|n|d:e|r|s:o:n|	আ|ন:্|দ|া:র|স:ন|
a|n|d:h|r|a|	অ|ন:্|ধ|্:র|া|
a|n|d|r|e|a|	অ:্|য:া|ন:দ|্:র|ি:য়|া|
a|n|d|r|e|w|	আ|ন:্|ড|র|ি|ও|
a|n|d|r:e:w|	আ|ন:্|ড:্|র:ে|
a|n|d|r|e|w|s|	অ:্|য:া|ন:্|ড:্|র|ু|স|
a|n|d|r|o|s|	আ|ন|ড:্|র|ো|স|
a|n|d|y|	অ|ন:্|ড|ি|
a|n|d|y|	আ|ন:্|ড|ি|
a|n|e|s|a|b|e|g:a|m|	আ|ন|ে|স|া|ব|ে|গ|ম|
a|n|g:a|d|	অ|ঙ:্|গ|দ|
a|n|g:a|m|a|l|i|	অ|ঙ:্|গ|ম|া|ল|ি|
a|n|g:a|m|o|h:a|n|	অ:ন|ঙ:্|গ|ম|ো|হ|ন|
a|n|g:a|r|a|b|i|b|i|	আ|ঙ:্|গ|র|া|ব|ি|ব|ি|
a|n|g:e|l|	আ|ঙ:্|গ|ল:ে|
a|n|g|e|l:e|s|	অ:্|য:া|ঞ:্|জ:ে|ল|স|
a|n|g|i|o|t|e:c:h|	অ:্|য:া|ন:গ|ি|য়:ো|ট|ে:ক|
a|n:g|l:a|n:g|	আ|ং|ল|ং|
a|n|g|l|i|a|	আ|ঙ:্|গ|ল|ি|য়:া|
a|n|g|l|o|	অ:্|য:া|ং|ল|ো|
a|n|g|u|r|b|i|b|i|	আ|ঙ:্|গ|ু|র|ব|ি|ব|ি|
a|n|g|u|s|	আ|ঙ:্|গ|ু|স|
a|n|h|a|r|b|i|b|i|	আ|ন|হ|া|র:া|ব|ি|ব|ি|
a|n|i|	অ|ন|ি|
a|n|i|a|r|a|p|r|i|s|e|t|	আ|ন|ি|য়:া|র|া|প:্|র|ি|স|ে|ট|
a|n|i|b|a|l|a|	আ|ন|ি|ব|া|ল|া|
a|n|i|k|e|t|	অ|ন|ি|ক|ে|ত|
a|n|i|l|	অ|ন|ি|ল|
a|n|i|l|a|	অ|ন|ি|ল|া|
a|n|i|l|b:a|r:a|n|	অ|ন|ি|ল|ব|র|ণ|
a|n|i|l|k|r:i:s|h:n:a|	অ|ন|ি|ল|ক|ৃ:ষ|্:ণ|
a|n|i|l|k|u|m|a|r|	অ|ন|ী|ল|ক|ু|ম|া|র|
a|n|i|l|r:a|n|j:a|n|	অ|ন|ি|ল|র|ঞ:্|জ|ন|
a|n|i|m|a|	অ|ন|ি|ম|া|
a|n|i|m|a|r|a|n|i|	অ|ন|ি|ম|া|র|া|ণ|ী|
a|n|i|m:a|t:i:o|n|	অ:্|য:া|ন:ি|ম|ে:শ|ন|
a|n|i|n|d|i|t|a|	অ|ন|ি|ন:্|দ|ী|ত|া|
a|n|i|n|d:y:a|	অ|ন|ি|ন|্:দ|
a|n|i|r|b|a|n|	অ|ন|ি|র:্|ব|া|ন|
a|n|i|r|u|d|d:h:a|	অ|ন|ি|র|ু|দ:্|ধ|
a|n|i|r|u|d|h:a|	অ|ন|ি|র|ূ|দ:্|ধ|
a|n|i|s|a|k:h:a|t|u|n|	আ|ন|ি|স|া|খ:া|ত|ু|ন|
a|n|i|s:h|	অ|ন|ি|শ|
a|n|i|s:h:a|	আ|ন|ি|শ:া|
a|n|i|s:h:a|b|e|g:a|m|	আ|ন|ি|শ:া|ব|ে|গ|ম|
a|n|i|s|u|r|	আ|ন|ি|স|ু|র|
a|n|i|t|a|	অ|ন|ি|ত|া|
a|n|i|t|a|r|a|n|i|	অ|ন|ি|ত|া|র|া|ণ|ী|
a|n|j:a|l|i|	অ|ঞ:্|জ|ল|ি|
a|n|j:a|l|i|d|e|v|i|	অ|ঞ:্|জ|ল|ী|দ|ে|ব|ী|
a|n|j:a|l|i|r|a|n|i|	অ|ঞ:্|জ|ল|ী|র|া|ন|ী|
a|n|j:a|n|k|u|m|a|r|	অ|ঞ:্|জ|ন|ক|ু|ম|া|র|
a|n|j|a|r|	আ|ন|জ|া|র|
a|n|j:h:i|	আ|ন|জ:ি|
a|n|j|u|b|a|l|a|	অ|ঞ:্|জ|ু|ব|া|ল|া|
a|n|j|u|b|i|b|i|	আ|ন|জ|ু|ব|ি|ব|ি|
a|n|j|u|d|e|b|i|	অ|ঞ:্|জ|ু|দ|ে|ব|ী|
a|n|j|u|m|a|n|b|i|b|i|	অ|ঞ:্|জ|ু|ম|া|ন|ব|ি|ব|ি|
a|n|j|u|m|a|r|a|	অ|ঞ:্|জ|ু|ম|আ|র|া|
a|n|j|u|n|a|r|a|	আ|ন|জ|ু|ন|া|র|া|
a|n|j|u|r|a|	আ|ঞ:্|জ|ু|র|া|
a|n|j|u|r|a|n|i|	অ|ঞ:্|জ|ু|র|া|ন|ী|
a|n|j|u|s|h|r:e:e|	অ|ঞ:্|জ|ু|শ|্|র:ী|
a|n|k:a|n|	অ|ঙ:্|ক|ন|
a|n|k|a|r|a|	আ|ঙ:্|ক|া|র|া|
a|n|k:h:i|	আ|ঁ|খ:ি|
a|n|k|i|t|	অ|ঙ:্|ক|ি|ত|
a|n|k|l|e|s:h:w|a|r|	আ|ঙ:্|ক:ে|ল|ে|শ|্:ব|র|
a|n|k|o|l:a|	আ|ন|ক|ো|ল|
a|n|k|u|r|	অ|ঙ:্|ক|ু|র|
a|n|k|u|s:h|	অ|ঙ:্|ক|ু|শ|
a|n|n|	অ:্|য:া|ন|
a|n|n:a|	অ:্|য:া|ন|
a|n|n:a|b|a|l|a|	অ|ন:্|ন|ব|া|ল|া|
a|n|n|a|h|a|r|	আ|ন:্|ন|ে|হ|া|র|
a|n|n|a:p:u|r|n|a|	অ|ন:্|ন|প:ূ|র:্|ণ|া|
a|n|n|a|v|a|r:a|m|	আ|ন:্|ন|া|ভ|া|র|ম|
a|n|n|e|	এ|ন:্|ন|ে|
a|n|n|e|s|	আ|ন:্|ন|ে|স|
a|n|o|u|	অ:্|য:া|ন:া|ও|
a|n|o|y:a|r|a|k:h:a|t|u|n|	আ|ন|ো|য|া:র|া|খ:া|ত|ু|ন|
a|n|s|a|r|a|	আ|ন|স|া|র|া|
a|n|s|a|r|u|l|h:a|k|	আ|ন|স|া|র|ু|ল|হ|ক|
a|n|s|e:l:l|	অ:্|য:া|ন:স|ে:ল|
a|n|s:h|i|	আ|ন:্|স|ি|
a|n|s|o|n|	আ|ন|স|ো|ন|
a|n|s|u|	অ|ং|শ|ু|
a|n|s|u|d|d|i|n|	আ|ন|স|ু|দ:্|দ|ি|ন|
a|n|s|u|r|a|b|e|g:a|m|	আ|ন|স|ু|র|া|ব|ে|গ|ম|
a|n|t:a:h|	অ|ন|্:ত|
a|n|t|a|l|y|a|	আ|ন:্|ট|া|ল|ি|য়:া|
a|n|t:a|r|a|	অ|ন:্|ত|র|া|
a|n|t|a:r:c|t|i|c|a|	আ:র|্:ন|্:ট|া:ক|ট|ি|ক|া|
a|n|t:h|o|n|y|	আ|ন|থ|ো|ন|ি|
a|n|t|h|r|o|p:o|l|o:g:y|	অ:্|য:া|ন|থ|্:র|ো|প|ল|জ:ি|
a|n|t|i|e|t|a|m|	অ:্|য:া|ন:ট|ি|য়:ে|ট|া|ম|
a|n|t|i|m|	অ|ন:্|ত|ি|ম|
a|n|t|i|m|o:n:y|	অ:্|য:া|ন|ি|ম|ন:ি|
a|n|t|i|o|c:h|	অ:্|য:া|ন:্|ট:ি|য়:ো|চ|
a|n|t:o:i|n|e|t|t|e|	আ|ন:্|ত:ো|ন|ে|ত:্|ত|ি|
a|n|t|o|n|y|	অ:্|য:া|ন:্|ট|ন|ি|
a|n|t|r|i|w|a|l|e|	অ|ন:্|ত:্|র|ী|ও|য়:া|ল|ে|
a|n|u|b|a|l|	আ|ন|ু|ব|া|ল:া|
a|n|u|b:h:a|	অ|ন|ু|ভ:া|
a|n|u|b:h:a|r|a|n|i|	অ|ন|ু|ভ:া|র|া|ন|ী|
a|n|u|j|	অ|ন|ু|জ|
a|n|u|m:a|t|i|	অ|ন|ু|ম|ত|ি|
a|n|u|m|i|t|a|	অ|ন|ু|ম|ি|ত|া|
a|n|u|p:a|m|	অ|ন|ু|প|ম|
a|n|u|p|g|a:r:h|	অ|ন|ু|প|গ|ড়|
a|n|u|p|k|u|m|a|r|	অ|ন|ু|প|ক|ু|ম|া|র|
a|n|u|r:a|	আ|ন|ু|র|
a|n|u|r|a|d:h:a|	অ|ন|ু|র|া|ধ:া|
a|n|u|r|a|s|i|r|i|	অ|ন|ু|র|া|স|ি|র|ি|
a|n|u|r|u|p|a|	অ|ন|ু|র|ু|প|া|
a|n|u|s:h|r|i|	অ|ন|ু|শ|্:র|ী|
a|n|u|t|o|s:h|	অ|ন|ু|ত|ো|ষ|
a|n|w|a|r|	আ|ন|ো:য়|া|র|
a|n|w|e|s:h|a|	অ|ন|্:ব|ে|ষ|া|
a|n|z|a|r|a|	আ|ন|জ|া|র|া|
a|n|z|i|r|a|	আ|ন|জ|ি|র|া|
a|o|n|	অ:্|য:া|ও:ন|
a|o|n|l|a|	আ|ও|ন|ল|া|
a|o|p|a|	আ|ও|প|া|
a:o:u|l|a|k:h|	অ:ও|ল|া|খ|
a:o:u|r:a|n|g:a|j|e|b|	আ:ও|র|ঙ:্|গ|জ|ে|ব|
a|p|a|c:h:e|	অ:্|য:া|প:া|চ:ে|
a|p:a|l|a|	অ|প|ল|া|
a|p:a|r|e:s:h|	অ|প|র|ে:শ|
a|p:a|r|n|a|r|a|n|i|	অ|প|র:্|ণ|া|র|া|ণ|ী|
a|p:a|r|u|p|a|	অ|প|র|ূ|প|া|
a|p|o|l:l|o|	অ:্|য:া|প:ো|ল|ো|
a|p|p|a|l|a|c:h:i|a|	অ:্|য:া|প|া|ল|া|চ:ি|য়:া|
a|p|p|l:e|	অ:্|য:া|প:ে|ল|
a|p|p|l|e|b|e:e|	অ:্|য:া|প:ি|ল|ি|ব|ি|
a:p|p|l|i:e:d|	এ|প:্|ল:া|ই:ড|
a|p|p|l|i:n:g|	অ:্|য:া|প|ল|ি:ং|
a|p|r|a|a|	অ|প|র:্|র|া|
a|p|s:a|r|a|	অ|প:্|স|র|া|
a|p|s:a|r|i|	অ|প:্|স|র|ী|
a|p|t|e|	আ|প|ট|ে|
a|p|u|r|b:a|	অ|প|ূ|র:্|ব|
a|p|u|r|b:a|k|u|m|a|r|	অ|প|ু|র:্|ব|ক|ু|ম|া|র|
a|p|u|r|b:a|l|a|l|	অ|প|ূ|র:্|ব|ল|া|ল|
a|q|u|a:r:i|u|m|	অ:্|য:া|ক:ু|র:ি|য়:া|ম|
a|q|u|i|n|o|	অ:্|য:া|ক:ু|ই|ন|ো|
a|r|	অ|র|
a|r|a|	আ|র|া|
a|r:a|b|i|	আ|র|ব|ি|
a|r|a|b|i|a|n|	আ|র|া|ব|ি|য়:া|ন|
a|r:a|b|i|n|d:a|	অ|র|ব|ি|ন:্|দ|
a|r|a|f|u|r|a|	আ|র|া|ফ|ু|র|া|
a|r|a|k|o|n|i|	আ|র|া|ক|ো|ন|ি|
a|r|a|l|	আ|র|া|ল|
a|r|a|l|v|a:y|m|o|z:h:i|	আ|র|া|ল|ভ|ে|ম|ো|জ:ি|
a|r|a|r|i|a|	আ|র|া|র|ি|য়:া|
a|r|a|r|i:y:a|	আ|র|া|র:ী|য়:া|
a|r|a|s|u|r|	আ|র|া|স|ু|র|
a|r:a|t|i|	আ|র|ত|ি|
a|r|a:t:i|b|a|l|a|	আ|র|ত:ী|ব|া|ল|া|
a|r:a|t|i|d|e|v|i|	আ|র|ত|ি|দ|ে|ব|ী|
a|r:a|t|i|r|a|n|i|	আ|র|ত|ি|র|া|ন|ি|
a|r|a|v|a|l|l|i|	আ|র|া|ভ|া|ল:্|ল|ি|
a|r|a|v|a|n|k|a|d|u|	আ|র|া|ভ|া|ন|ক|া|দ|ু|
a|r|b:o|n|	আ|র:্|ব|ন|
a|r|c:a|d|i|s|	আ|র:্|ক|ড|ি|স|
a|r|c:h|	আ|র:্|চ|
a:r|c:h|a|n|a|	অ|চ|র:্|ন|া|
a|r|c:h:a|n|a|	অ|র:্|চ|ণ|া|
a|r|c:h:e|o|l|o|g|y|	আ|র|চ:ি|ও|ল|ো|জ|ি|
a|r|c:h:i|p|e|l|a|g|o|	আ|র:্|ক:ি|প|ে|ল|া|গ|ো|
a|r|c:h:i|t|a|	অ|র:্|চ:ি|ত|া|
a|r|c|o|l|a|b|	আ|র|ক|ো|ল:্|য:া|ব|
a|r|d:h:e|n|d|u|	অ|র:্|ধ:ে|ন:্|দ|ু|
a|r|e|n|a|	এ|র|ে|ন|া|
a|r:e|n|a|c|	আ|র|ন|া|ক|
a|r|e|v|a|	আ|র|ি|ভ|া|
a|r|f|a|b|i|b|i|	আ|র|ফ|া|ব|ি|ব|ি|
a|r|f:a|t|	আ|র|ফ|ত|
a|r|g|e|n|t|i|n|a|	আ|র:্|জ|ে|ন:্|ট|ি|ন|া|
a|r|g|e|n|t|i|n|i|a|n|	আ|র:্|জ|ে|ন:্|ট|ি|ন|ি|য়:া|ন|
a|r|g|o|n|i|a|	আ|র:্|গ|ো|ন|ি|য়:া|
a|r|i|a|d|n|a|h|	আ|র|ি|য়:া|দ|ন|া|হ:া|
a|r|i|f|	আ|র|ি|ফ|
a|r|i|n|d:a|m|	অ|র|ি|ন:্|দ|ম|
a|r|i|s|t|o|p:h:a|n:e:s|	অ:্|য:া|র:ি|স:্|ট|ো|ফ|ে:ন|
a|r|i|s|t:o|t|l:e|	অ:্|য:া|র:ি|স:্|ট|ট|ল|
a|r|i|t|r:a|	অ|র|ি|ত:্|র|
a|r|i|y|a|l|u|r|	আ|র|ি|য়|া|ল|ু|র|
a|r|j:a|n|s:a|r|	আ|র|জ|ে:ন|স|র|
a|r|j|e|b|a|n|u|	আ|র|জ|ে|ব|া|ন|ু|
a|r|j|i|n|a|	আ|র|জ|ি|ন|া|
a|r|j|u|n|	অ|র:্|জ|ু|ন|
a|r|k|	আ|র:্|ক|
a|r|k:a|	অ|র:্|ক|
a|r|k|a|n|s|a|s|	আ|র|ক|া|ন|স|া|স|
a|r|k|e|t|	অ|র:্|ক|ে|ট|
a|r|l|a|n|d:a|	এ:য়|া:র|ল:্|য:া|ন:্|ড|
a|r|l|i|n|g|t:o:n|	আ|র|ল|ি|ঙ:্|গ|ট:ন|
a|r|m|a|n|	আ|র|ম|া|ন|
a|r|m:a|n|d|	আ|র:্|ম|ন:্|ড|
a|r|m|e|n|i|a|n|	আ|র:্|ম|ে|ন|ি|য়:া|ন|
a|r|m|s|	আ|র:্|ম|স|
a|r|m|s|t|r|o:n:g|	আ|র:্|ম|স:্|ট:্|র|ং|
a|r|n:a:b|	অ|র:্|ণ:ব|
a|r|n|a|l|a|	আ|র:্|ন|া|ল|া|
a|r|n|e|t:h|a|	আ|র|ন|ে|থ|া|
a|r|n|h|e|m|	আ|র:্|ন|হ|ে|ম|
a:r|n|n|a:p:u|r|n|a|	অ|ন:্|ন|প:ূ|র:্|ন|া|
a|r|n:o:l|d|	আ|র:্|ন:ল|্:ড|
a|r|o|r|a|	আ|র|ো|র|া|
a|r|p:a|d|	আ|র:্|প|ড|
a|r|p:a|n|	অ|র:্|প|ন|
a|r|p|i|t|a|	অ|র:্|প|ি|ত|া|
a|r|s|e|n|i|c|	আ|র:্|স|ে|ন|ি|ক|
a|r|s:h:a|d|	অ|র|শ:য়|দ|
a|r|s|i|k|e|r:e|	আ|র|স|ি|ক|ি|র|
a:r:t|	আ:ট|
a|r|t|	আ|র:্|ট|
a|r|t:h:u|r|	আ|র:্|থ:া|র|
a|r|t|i|d|e|b|i|	অ|র|ত|ী|দ|ে|ব|ী|
a|r|t|i|s|t|i|c|	আ|র|ট|ি|স:্|ট|ি|ক|
a|r|t:s|	আ|র:্|ট|
a|r|u|n|	অ|র|ু|ণ|
a|r|u|n|	অ|র|ু|ন|
a|r|u|n:a|	অ|র|ু|ন|
a|r|u|n|a|b:h:a|	অ|র|ু|ন|া|ভ|
a|r|u|n|a|c:h:a|l|	অ|র|ু|ণ|া|চ|ল|
a|r|u|n|a|c:h:a|l|e|s:h:w|a|r|	অ|র|ু|ণ|া|চ|ল|ে|শ|্:ব|র|
a|r|u|n|a|d|e|v|i|	অ|র|ু|ণ|া|দ|ে|ব|ী|
a|r|u|n|a|r|a|n|i|	অ|র|ু|ন|া|র|া|ন|ী|
a|r|u|n|b|a|l|a|	অ|র|ু|ন:া|ব|া|ল|া|
a|r|u|n|d:h:u|t|i|	অ|র|ু|ন:্|ধ:ু|ত|ী|
a|r|u|n|i|m|a|	অ|র|ু|ন|ি|ম|া|
a|r|u|n|k|a|n|t|i|	অ|র|ু|ন|ক|া|ন:্|ত|ি|
a|r|u|n|k|r:i:s|h:a:n|	অ|র|ু|ন|ক|ৃ:ষ|্:ণ|
a|r|u|n|k|u|m|a|r|	অ|র|ু|ণ|ক|ু|ম|া|র|
a|r|v|i|	আ|র|ভ|ি|
a|r|v|i|n|d|	অ|র|ব|ি|ন:্|দ|
a|r|y|a|n|k|a|v:u|	আ|র|য়|া|ন|ক|া|ভ|
a|s|a|d|	আ|স|া|দ|
a|s:a|f|p|u|r|	আ|স|ফ|প|ু|র|
a|s|a|h|i|	আ|শ|া|হ|ি|
a|s|a|m|	আ|স|া|ম|
a|s|a|m|a|	আ|স|া|ম|া|
a|s:a|n|g:a|o|n|	আ|স|ন|গ|া|ঁ:ও|
a|s|a|t|t|a|r|	আ:ঃ|স|া|ত:্|ত|া|র|
a|s|a|u|d|d|i|n|	আ|স|া|উ|দ:্|দ|ি|ন|
a|s|e|d|	আ|স|ে|দ|
a|s|e|m|a|	আ|স|ে|ম|া|
a|s|g:a|r|	আ|স|গ|র|
a|s|g:a|r|a|l|i|	আ|স|গ|ড়|আ|ল|ি|
a|s|g:a|r|i|	আ|স|গ|র|ি|
a|s:h:a|	আ|শ:া|
a|s:h:a|b|a|l|a|	আ|শ:া|ব|া|ল|া|
a|s:h:a|d|e|b|i|	আ|শ:া|দ|ে|ব|ী|
a|s:h:a|k|u|m|a|r|i|	আ|শ:া|ক|ু|ম|া|র|ী|
a|s:h:a|n|t:h:a|	আ|শ:া|ন|্:থ|
a|s:h:a|p|u|r|n|a|	আ|শ:া|প|ূ|র:্|ণ|া|
a|s:h:a|r|a|n|i|	আ|শ:া|র|া|ণ|ী|
a|s|h:b:y|	আ|স|ব:ি|
a|s|h|c|r:o|f|t|	অ:্|য:া|শ|ক:্|র|ফ|ট|
a|s|h|f:a|q|	আ|স|্|ফ|ক|
a|s:h:i|m|a|	অ|স:ী|ম|া|
a|s:h:i|s:h|	আ|শ:ি|শ|
