h|e|t|f|i|e:l|d|	ה|י|ט|פ|י|ל|ד|
v|a|s:s|i|l|y|	ו|א|ס|י|ל|י|
d|i|c:k|s|o|n|	ד|י|ק|ס|ו|ן|
h:e|n|r|i|k|	ה|נ|ר|י|ק|
m|i|c:h|a|l|i|k|	מ|י|כ|א|ל|י|ק|
b|i|a|n|c|a|	ב|י|א|נ|ק|א|
e|l|i|z|a|	א|ל|י|ז|א|
c|o|r:r|a|d|o|	ק|ו|ר|א|ד|ו|
b|u:c|k|l:e|y|	ב|א|ק|ל|י|
g|a|n|d|h:i|	ג|א|נ|ד|י|
k|a|s|e:y|	ק|י:י|ס|י|
b|a|l|b|o|a|	ב|א|ל|ב|ו|א|
l:e|v|i|n|s|o|n|	ל|ו:ו|י|נ|ס|ו|ן|
p:e|r:e|t:z|	פ|ר|ץ|
a|l|b|a|y|r:a|k|	א|ל|ב|א|י|ר|ק|
f|r|a|s|c|o|	פ|ר|א|ס|ק|ו|
a|t:h|a:n|a|s|i|u|s|	א|ת|נ|א|ס|י|ו|ס|
r|i|z|a|l|	ר|י|ז|א|ל|
h|e|l:l|i:n|g|e:r|	ה|י|ל|נ|ג|ר|
c|o:o|k|	ק|ו|ק|
m|o|k|o|e|n|a|	מ|ו|ק|ו|י|נ|א|
s|t|e|l|m|a|c:h|	ס|ט|י|ל|מ:א|ט|ש|
f|r|i|s|k|	פ|ר|י|ס|ק|
a|g|u|i|l|a|r|	א|ג|ו|י|ל|א|ר|
y|a|g|u|c|h:i|	י|א|ג|ו|צ:'|י|
w|i|t:t|m|a|n:n|	ו|י|ט|מ|א|ן|
d|z|e|k|o|	ד|ז|י|ק|ו|
d|e:r|b|y|	ד|ר|ב|י|
m|c|n|a|b|	מ:א|ק|נ|א|ב|
j|a|s|e:m|	ג:'|א|ס|ם|
n|a|m|i|k|a|w|a|	נ|א|מ|י|ק|א|ו|א|
m|i:g|n|o|g:n|a|	מ|י|נ:י|ו|נ|א|
p|r|u|d|i|u|s|	פ|ר|ו|ד|י|ו|ס|
f|o|s:s|e:y|	פ|ו|ס|י|
w:e|l|t|e:r|	ו|ל|ט|ר|
t|w|a|l|	ט|ו|א|ל|
c|o|n|f|u|c:i|u|s|	ק|ו|נ|פ|י:ו|ש|ו|ס|
f|r|e|i|r:e|	פ|ר|י|י|ר|
m|e|r|c|o|s|u|r|	מ|י|ר|ק|ו|ס|ו|ר|
m:a|l|a|l|a|i|	מ|ל|א|ל|א|י|
g|i|l:l|a:r|s|	ג|י|ל|ר|ז|
c|a|d|i|l:l|a|c|	ק|א|ד|י|ל|א|ק|
m|i|t|a|n:n|i|	מ|י|ט|א|נ|י|
f|r:a|n|c|o|i:s|	פ|ר|נ|ס|ו|א|
e|l:e|a|n|o|r|	א|ל|א|נ|ו|ר|
a|n|d|r|e|a|	א|נ|ד|ר|י|א|
s:h|a:b|a:z|i|	ש|ב|ז|י|
n|i|k|l|a|s|	נ|י|ק|ל|א|ס|
z|h|u|k|	ז|ה|ו|ק|
r|a|v|e:r|	ר|י:י|ב|ר|
n|o|r|t:h|f|i|e:l|d|	נ|ו|ר|ת|פ|י|ל|ד|
t|a|t|l|i|n|	ט|א|ט|ל|י|ן|
m:a|s|e|r|a|t|i|	מ|ס|י|ר|א|ט|י|
s|t|o|i|c|h:k|o|v|	ס|ט|ו|י|צ:'|ק|ו|ב|
m|a|t|i|l|d|a|	מ|א|ט|י|ל|ד|א|
m|i|t|	מ|י|ט|
b|a:r|t:h|e:s|	ב|א|ר|ט|
w|a|s|i|l:e|w|s|k|i|	ו|א|ס|י|ל|ו|ס|ק|י|
b|i|t|	ב|י|ט|
g|o|l|d|i|n|g|	ג|ו|ל|ד|י|נ|ג|
t|h:a|l|e:r|	ט|א|ל|ר|
p|i|a|t:t|i|	פ|י|א|ט|י|
j|a|v|i|e|r|	ח|א|ב|י|י|ר|
p|e|t|r|o|n|i|o|	פ|י|ט|ר|ו|נ|י|ו|
s|p|a|i:n|	ס|פ|י:י|ן|
d|u|p|o|n|t|	ד|ו|פ|ו|נ|ט|
w:o|o|d|y|	ו|ו|ד|י|
f|a|n|t|e|n|i|	פ|א|נ|ט|י|נ|י|
d|i|s|c:o|v|e:r|y|	ד|י|ס|ק|ב|ר|י|
m|o|r|t|y|	מ|ו|ר|ט|י|
v|o|l|v|o|	ו|ו|ל|ב|ו|
k|a|r|k|a|r|	ק|א|ר|ק|א|ר|
n|a|s|e:r|	נ|א|ס|ר|
f|e|r:r|u:c|c|i|o|	פ|י|ר|ו|צ:'|י|ו|
h:e|n|r|i|k|s|e:n|	ה|נ|ר|י|ק|ס|ן|
c|e|r|n|a|n|	ס|י|ר|נ|א|ן|
m|o|r|t|e|	מ|ו|ר|ט|י|
s|m|i|t:h|	ס|מ|י|ת|
m|i|t|s|u|a|k|i|	מ|י|ט|ס|ו|א|ק|י|
c:h|a|i|m|	ח|י|י|ם|
v|y|a|z|m|a|	ו|י|א|ז|מ|א|
s|o|k:h|o|	ס|ו|כ|ו|
k|i|r|s:h|n|e:r|	ק|י|ר|ש|נ|ר|
t|a|r|i|q|	ט|א|ר|י|ק|
s|e|r|z|h|	ס|י|ר|ז|'|
k|i|n|s:h|a|s|a|	ק|י|נ|ש|א|ס|א|
m:e|s:h|i|r|	מ|ש|י|ר|
f:a|z|a:h|	פ|ז|ה|
m:e|h:a|n:n|a|	מ|ה|נ|א|
v|a|n|e|s:s|a|	ו|א|נ|י|ס|א|
p|o|p:p|e:r|	פ|ו|פ|ר|
l|a:h|h:a|m|	ל|ח|א|ם|
l|a|m|b|o|r|g:h|i|n|i|	ל|א|מ|ב|ו|ר|ג|י|נ|י|
m|u|n|a|r|o|n|	מ|ו|נ|א|ר|ו|ן|
t|a|r|i|n|	ט|א|ר|י|ן|
l|e|s:s|i|n|g|	ל|י|ס|י|נ|ג|
y|v|e:s|	א|י|ב|
h|a|r|d|i|n|	ה|א|ר|ד|י|ן|
t|a|r|i|k|	ט|א|ר|י|ק|
b|r|y|n|j|a|r|	ב|ר|י|נ|י|א|ר|
g|i|a|c|i|n|t|o|	ג|'|א|ס|י|נ|ט|ו|
s:a|r|i|t|	ש|ר|י|ת|
b|e|l|y|z|e:l|	ב|י|ל|י|ז|ל|
p|a|x|t|o:n|	פ|א|ק:ס|ט|ן|
h|e|n|m|a|n|	ה|י|נ|מ|א|ן|
t|i|e|	ט|א|י|
l|j|u|b|i|n|k|o|	ל|י|ו|ב|י|נ|ק|ו|
v|e:r|m|e|l|h|i|n|h:o|	ו|ר|מ|י|ל|ה|י|נ|ו|
p|a|t|a|g|o|n|i|a|	פ|א|ט|א|ג|ו|נ|י|א|
g|i|o|r|g|i|	ג|י|ו|ר|ג|י|
p:h|i|l|a|d:e|l|p:h|i|a|	פ|י|ל|א|ד|ל|פ|י|א|
l|i|e|	ל|א|י|
n|a|p|o|l|i|t|a|n|o|	נ|א|פ|ו|ל|י|ט|א|נ|ו|
h|m|a|m|	ח|מ|א|ם|
m|a|n|u|e|l|	מ|א|נ|ו|י|ל|
g|a|m|b|e|r|i|n|i|	ג|א|מ|ב|י|ר|י|נ|י|
s|a|r|i|n|	ס|א|ר|י|ן|
e|m|a|m|	א|מ|א|ם|
l|o|r|i|	ל|ו|ר|י|
m|o|r|i|	מ|ו|ר|י|
g|e|r|t|r|u|d:e|	ג|י|ר|ט|ר|ו|ד|
y|o|s:h|i|n|o|	י|ו|ש|י|נ|ו|
g|a|m|s|a|k:h|u|r|d|i|a|	ג|א|מ|ס|א|כ|ו|ר|ד|י|א|
c|a|s|e:y|	ק|י:י|ס|י|
m|i|r|o|s|l|a|v|	מ|י|ר|ו|ס|ל|א|ב|
a|d|o|r|n|o|	א|ד|ו|ר|נ|ו|
b|a|s|e:l|	ב|א|ס|ל|
v|a|n|h|a|n|e|n|	ו|א|נ|ה|א|נ|י|ן|
h|l|e|b|	ה|ל|י|ב|
r:a|s:h|i|d|i|	ר|ש|י|ד|י|
a|m:m|o|	ע|מ|ו|
i|r|a|k|l:e|i|o|	א:י|ר|א|ק|ל|י|ו|
c|i|d|	ס|י|ד|
k|o:u|c:h|n|e:r|	ק|ו|ש|נ|ר|
r|u|l|f|o|	ר|ו|ל|פ|ו|
n|o|c|e|r|i|n|o|	נ|ו|צ:'|י|ר|י|נ|ו|
a|l|e|l|a|	א|ל|י|ל|א|
v|a|r|g|a|	ו|א|ר|ג|א|
n:a|h:a|r|i|y:a|	נ|ה|ר|י|ה|
r|e|i|n|e:r|	ר|א|י|נ|ר|
k|a:u|f|m|a|n:n|	ק|ו|פ|מ|א|ן|
f|r|a|n|s|m|a|n|	פ|ר|א|נ|ס|מ|א|ן|
h|a|r|i|s|	ח|א|ר|י|ס|
m|a|l|f|o|y|	מ|א|ל|פ|ו|י|
k|a|n|e|p|i|	ק|א|נ|י|פ|י|
v|a|l|d|e|r:r|a|m|a|	ו|א|ל|ד|י|ר|א|מ|א|
b|l|a|n|c|	ב|ל|א|נ|ק|
l|a|z|a|r|o|	ל|א|ז|א|ר|ו|
h|o|l|g|u|i|n|	ה|ו|ל|ג|ו|י|ן|
j|o|s|t|e|i|n|	ג:'|ו|ס|ט|א|י|ן|
m|e|g|a|l|o|d|o|n|	מ|י|ג|א|ל|ו|ד|ו|ן|
s|t|e|p:h|o:n|	ס|ט|י|פ|ן|
k|a|r|a|b|o:u|e|	ק|א|ר|א|ב|ו|י:ה|
n|o|r|t:e|	נ|ו|ר|ט|
s:a|l|v|a|d|o|r|	ס|ל|ב|א|ד|ו|ר|
g|r|e|n|a|d|a|	ג|ר|י|נ|א|ד|א|
d|o|n|i|z|e|t:t|i|	ד|ו|נ|י|ז|י|ט|י|
n|o|r|d|i|n|	נ|ו|ר|ד|י|ן|
n|o|j|i|m|a|	נ|ו|ג:'|י|מ|א|
v|u|j|o|v|i|c|	ב|ו|י|ו|ב|י|ט:ש|
t:h|y|s|	ת|י|ס|
v|a|l|o|n|	ו|א|ל|ו|ן|
h|j|a|l|m|a|r|	ה|י|א|ל|מ|א|ר|
a|l|a|n|d|	א|ל|א|נ|ד|
e|r|n:e|s|t|o|	א|ר|נ|ס|ט|ו|
t:a|s:s|a|d|i|t|	ט|ס|ע|ד|י|ט|
v|e|r|k:h|o|y|a|n|s|k|	ו|י|ר|כ|ו|י|א|נ|ס|ק|
h:e|b|r|o|n|	ח|ב|ר|ו|ן|
d|i|a|b|l|o|	ד|י|א|ב|ל|ו|
t|o:u|m|a|n|i|	ט|ו|מ|א|נ|י|
b|a|r:r|o|s|o|	ב|א|ר|ו|ס|ו|
o|s|b|o|r|n|	א:ו|ס|ב|ו|ר|ן|
p|a|p:h|o|s|	פ|א|פ|ו|ס|
d|o|n|s|k|o|y|	ד|ו|נ|ס|ק|ו|י|
c|a|p|e|l:l|o|	ק|א|פ|י|ל|ו|
n|i|z|a|m|	נ|י|ז|א|ם|
k|a|t|a|n|e|c|	ק|א|ט|א|נ|י|ט:ש|
c|a|s:s|a|n|o|	ק|א|ס|א|נ|ו|
n|i|z|a|r|	נ|י|ז|א|ר|
f|u|k|u|i|	פ|ו|ק|ו|י|
a|l|z|h|e|i|m|e:r|	א|ל|ז|ה|א|י|מ|ר|
h|u|e|r|t|a|	ה|ו|א|ר|ט|א|
d|u|n|s|t|a|p|l:e|	ד|א|נ|ס|ט|א|פ|ל|
k|e:n|d|o|	ק|נ|ד|ו|
t|s|k:h|i|n|v|a|l|i|	ט|ס|כ|י|נ|ב|א|ל|י|
b:e|n|j|a|m|i|n|	ב|נ|ג:'|א|מ|י|ן|
m:e|t:z|g|e:r|	מ|צ|ג|ר|
m|a|r|v|i|n|	מ|א|ר|ו|י|ן|
b|u:s|t|e:r|	ב|א|ס:ט|ר|
d|a|s:s|a:u|l|t|	ד|א|ס|ו|ל|ט|
m|i|l|t|o|n|	מ|י|ל|ט|ו|ן|
d|o|p:p|l|e:r|	ד|ו|פ|ל|ר|
m:a|p|a|i|	מ|פ|א|י|
p|a|i|r|e|t:t|o|	פ|א|י|ר|י|ט|ו|
h|i:s|s:e|n:e|	ח|י|ס|ן|
o|k|u|m|a|	א:ו|ק|ו|מ|א|
z|a|n|g|w|i|l:l|	ז|א|נ|ג|ו|י|ל|
w:e|i|n|e:r|	ו|י|נ|ר|
a|l|c|n|t|a|r|a|	א|ל|ק|נ|ט|א|ר|א|
m|a|r|i|o|	מ|א|ר|י|ו|
m|a|r|i|n|	מ|א|ר|י|ן|
m|c:c|a|l:l|a|n|y|	מ|ק|א|ל|א|נ|י|
m|a|r|i:e|	מ|א|ר|י|
t|s|a|b:e|t|	ט|ס|א|ב|ט|
b:a|e|k|e:l|a|n|d|	ב|י|ק|ל|א|נ|ד|
s|o|p:h|o|c|l|e|s|	ס|ו|פ|ו|ק|ל|י|ז|
m|a|r|i|a|	מ|א|ר|י|א|
g|r|o|m|y|k|o|	ג|ר|ו|מ|י|ק|ו|
y|a|k|u|b|u|	י|א|ק|ו|ב|ו|
r|a|m|s|a|y|	ר|א|מ|ס|י|י|
f|o:g|g|i|a|	פ|ו|ג:'|י|א|
p|a:n|c|o|a:s|t|	פ|נ|ק|ו|ס|ט|
m:a|k:a|a|y|	מ|ק|א|י|
n:a|v:e|h|	נ|ו|ה|
s:h|i|k|m|a|	ש|י|ק|מ|א|
a|n|t|a:r|	ע|נ|ט|ר|
e|l|i|a|h|u|	א|ל|י|א|ה|ו|
c|l|a|r:e|n|c:e|	ק|ל|א|ר|נ|ס|
p|r|o:u|s|t|	פ|ר|ו|ס|ט|
h|a|i|b|i|n|	ה|א|י|ב|י|ן|
b:e|i|l|i|n|	ב|י|ל|י|ן|
k:a|r|i|m|	ק|ר|י|ם|
k|a|r|i|n|	ק|א|ר|י|ן|
c|r|i|s|t|e|a|	ק|ר|י|ס|ט|י|א|
l|e|b|r|o|n|	ל|י|ב|ר|ו|ן|
b|e|n|e|d:e|t:t|o|	ב|י|נ|י|ד|ט|ו|
f:a|l:l|a|j|	פ|ל|א|ג:'|
m:a|r|z|o|u:q|	מ|ר|ז|ו|ק|
b:a|l|h|o:u|s|	ב|ל|ח|ו|ס|
p|o|l|i|t|i|c:a|l|	פ|ו|ל|י|ט|י|ק|ל|
a|s|i|k|	א|ס|י|ק|
a|k:k|a|d|	ע|ק|א|ד|
m|i|s|k|i|t|o|	מ|י|ס|ק|י|ט|ו|
f|o|r|s:s|m|a|n:n|	פ|ו|ר|ס|מ|א|ן|
s:h|e:h|z|a|d|	ש|ה|ז|א|ד|
j:a|b|l:e|h|	ג|ב|ל|ה|
a|n|g|	א|נ|ג|
g|u|g|i|n|o|	ג|ו|ג|י|נ|ו|
m|a|d|o|n|o|	מ|א|ד|ו|נ|ו|
t|o|r|o|	ט|ו|ר|ו|
l|u|k|a|c:s|	ל|ו|ק|א|ש|
g|r|e|g|o|r|y|	ג|ר|י|ג|ו|ר|י|
c|h:a|l|m|e|	צ:'|א|ל|מ|י|
s:e|t:h|r|i|d|a|	ס|ת|ר|י|ד|א|
s|t|r|a|n|z|l|	ס|ט|ר|א|נ|ז|ל|
f|l|o|h:e|	פ|ל|ו|ה|
c|o|l|u|m|b|i|a|	ק|ו|ל|ו|מ|ב|י|א|
b|o|r|g|n|i|n:e|	ב|ו|ר|ג|נ|י|ן|
p|l|a|t|i|n|i|	פ|ל|א|ט|י|נ|י|
r|o|s|a|r|i|o|	ר|ו|ז|א|ר|י|ו|
c:h|e|r|y|l|	ש|י|ר|י|ל|
t|i|t|o|v|	ט|י|ט|ו|ב|
t|i|c|l|e|a|n|u|	ט|י|ק|ל|י|א|נ|ו|
f|o|r|t|a|l|e|z|a|	פ|ו|ר|ט|א|ל|י|ז|א|
h|o:o|k:e|	ה|ו|ק|
k|a|r|l|s|r|u|h:e|	ק|א|ר|ל|ס|ר|ו|ה|
l|o|d|e|t:t|i|	ל|ו|ד|י|ט|י|
w:h|e|l|a|n|	ו|י|ל|א|ן|
d|a|n|u|b:e|	ד|א|נ|ו|ב|
p|a|u|l|i|n|o|	פ|א|ו|ל|י|נ|ו|
p|a:l|m:a|c:h|i|m|	פ|ל|מ|ח|י|ם|
d|i|d|i|e:r|	ד|י|ד|י:י|ה|
k|a|i|m|b|i|	ק|א|י|מ|ב|י|
p|o|l|g|a|r|	פ|ו|ל|ג|א|ר|
h|a|r|s|a|n|y:i|	ה|א|ר|ס|א|נ|י|
b|a|n|g|a|l|o|r:e|	ב|א|נ|ג|א|ל|ו|ר|
n|i|k|o|l|a|	נ|י|ק|ו|ל|א|
m|c:c|a|r|t|n:e|y|	מ|ק|א|ר|ט|נ|י|
b|i|s:s|a|u|	ב|י|ס|א|ו|
k|i|r|k|i|l|a|s|	ק|י|ר|ק|י|ל|א|ס|
t|e|o|f|i|l|o|	ט|י|ו|פ|י|ל|ו|
d|j|i|t|e|	ד|ג:'|י|ט|י|
e|t:h|e|l|	א:י|ת|י|ל|
t|a|s:s|o|	ט|א|ס|ו|
m|a|i|e:r|	מ|א|י|ר|
b|u|i|g:u|e|s|	ב|ו|י|ג|י|ס|
i|b|t|i|s|a|m|	א:י|ב|ט|י|ס|א|ם|
n|a|v|e|e:n|	נ|א|ב|י|ן|
s:h|k|l|o|v|s|k|y|	ש|ק|ל|ו|ב|ס|ק|י|
h:a|m|s|u|n|	ה|מ|ס|ו|ן|
b|a|r|d|o|n|	ב|א|ר|ד|ו|ן|
s|a|d|a|t|	ס|א|ד|א|ת|
d|o|k:h|i|	ד|ו|כ|י|
a|l|f|a|	א|ל|פ|א|
g|a|v|r|i|l|o|v|	ג|א|ב|ר|י|ל|ו|ב|
s|t|o|l|t:z|	ס|ט|ו|ל|ץ|
a|s|t|u|r|i|a|s|	א|ס|ט|ו|ר|י|א|ס|
n|k|r|u|m|a:h|	נ|ק|ר|ו|מ|א|
t|a|j|i|k:i|s|t|a|n|	ט|א|ג:'|י|ק|ס|ט|א|ן|
v|i|e|t|n|a|m|	ו|י|י|ט|נ|א|ם|
z|h|a|o|	ז|'|א|ו|
o|j|e|i|l|i|	ע:ו|ג:'|י|י|ל|י|
g|u|n:n|a|r|	ג|ו|נ|א|ר|
d|e|l|e|d:d|a|	ד|י|ל|י|ד|א|
s:h|a|o|	ש|א|ו|
c|o|l|e:t|t:e|	ק|ו|ל|י|ט|
d|l|o:u|h|y|	ד|ל|ו|ה|י|
m|e|l|c:h|i|o|t|	מ|י|ל|ש|י|ו|ט|
n|a|r|o|n|g|c|h:a|i|	נ|א|ר|ו|נ|ג|צ:'|א|י|
v|i|d|u|k|a|	ו|י|ד|ו|ק|א|
t:h|o|r|s|t|	ת|ו|ר|ס|ט|
e|n|d|l|e|s:s|	א|נ|ד|ל|י|ס|
h:a|n|a|o:u|i|	ח|נ|א|ו|י|
a|l|f|r|e|d|o|	א|ל|פ|ר|י|ד|ו|
h:a|m|d|a|n|i|	ח|מ|ד|א|נ|י|
s|l|a|v|k|o|	ס|ל|א|ב|ק|ו|
m|a|s:s|a|w|a|	מ|א|ס|א|ו|ע|
b|r|o|z|	ב|ר|ו|ז|
l|e|w|a|n|d|o|w|s|k|i|	ל|י|ב|א|נ|ד|ו|ב|ס|ק|י|
s|a|f|i|n|	ס|א|פ|י|ן|
d|a|r|i|o|	ד|א|ר|י|ו|
b|a|b|a|c|a:r|	ב|א|ב|א|ק|ר|
h|o|r|i|z|o|n|t|e|	ה|ו|ר|י|ז|ו|נ|ט|י|
i|r|i|t|	א:י|ר|י|ת|
g|a|t:e|s|h|e|a:d|	ג|י:י|ט|ס|ה|י|ד|
b|a|y|o:u|m|i|	ב|א|י|ו|מ|י|
d|o|m|i|n|i|k|a|	ד|ו|מ|י|נ|י|ק|א|
m|i|d:d|e:n|d|o|r|f|	מ|י|ד|נ|ד|ו|ר|ף|
h|a|n|s:s|o|n|	ה|א|נ|ס|ו|ן|
t|a|y:e|	ט|א|י|
k|o|l:l|o|n|t|a|i|	ק|ו|ל|ו|נ|ט|א|י|
s|a|p|u|n|a|r|u|	ס|א|פ|ו|נ|א|ר|ו|
r|e|v:e|i|l:l|e|r:e|	ר|י|ב|י|ל|י|ר|
k:a|y|e|	ק|י|י|
b|a|c:h|e|l|e:t|	ב|א|ש|י|ל|ה|
y|o|s:s|e:f|	י|ו|ס|ף|
a|l:e|k|s:a|n|d|r|	א|ל|ק|ס|נ|ד|ר|
b:e|k|	ב|ק|
b:e|t:h|	ב|ת|
m|a|r|i|n|a|	מ|א|ר|י|נ|א|
f:a|y|e|	פ|י|י|
s|o|r:r|e:n|t|i|n|o|	ס|ו|ר|נ|ט|י|נ|ו|
s|a|l:e|s|	ס|י:י|ל|ז|
g|o|t:t|l|o|b|	ג|ו|ט|ל|ו|ב|
w|i|n|o|g|r|a|d|	ו|י|נ|ו|ג|ר|א|ד|
h:a|d|a:r|	ה|ד|ר|
b|e|r|g:g|r|e|n|	ב|י|ר|ג|ר|י|ן|
h|a:s|s:e|	ה|א|ס|
i|s:s|y|k|	א:י|ס|י|ק|
v:e|s|n|i|n|	ו|ס|נ|י|ן|
h|a|y|a|b|u|s|a|	ה|א|י|א|ב|ו|ס|א|
b|a|r|i|c|	ב|א|ר|י|ט:ש|
k|e|r:r|i|g|a|n|	ק|י|ר|י|ג|א|ן|
h|a|f:i|z|	ח|א|פ|ז|
m|o|r:r|i|s|o|n|	מ|ו|ר|י|ס|ו|ן|
t|r|a|o|r|e|	ט|ר|א|ו|ר|י|
a|l:l|e:n|b|y|	א|ל|נ|ב|י|
v|i|t|o|r|	ו|י|ט|ו|ר|
h:a|d|a|d|	ח|ד|א|ד|
l|u|c|i|l|i|o|	ל|ו|ס|י|ל|י|ו|
h|a|r|t|m|a|n|	ה|א|ר|ט|מ|א|ן|
z|a|k|o|p|a|n|e|	ז|א|ק|ו|פ|א|נ|א|
g:n|o|m:e|	נ|ו|ם|
h|a|m:m|o|n|d|	ה|א|מ|ו|נ|ד|
r|i|g|o|b|e|r|t|a|	ר|י|ג|ו|ב|י|ר|ט|א|
m|o|n|f|i:l|s|	מ|ו|נ|פ|י|ס|
z:e|k|i|	ז|ק|י|
n|a|o|k|i|	נ|א|ו|ק|י|
t|o|p|i|	ט|ו|פ|י|
j|a|m:e|l|	ג:'|א|מ|ל|
h:a|f|i|d|	ח|פ|י|ד|
v|i|n|c:e|n|t:e|	ו|י|נ|ס|י:נ|ט|
n|a|o|k|o|	נ|א|ו|ק|ו|
p|o|t:t|e:r|	פ|ו|ט|ר|
s:c|h:m|i|d|	ש|מ|י|ד|
g|i|s:h|	ג|י|ש|
l:o|w:e|	ל|ו|
b|r:e|u|e|r|	ב|ר|ו|י|ר|
p|i|s|i|n|	פ|י|ס|י|ן|
a|l|m|a|i|m:a|n|i|	א|ל|מ|א|י|מ|נ|י|
m|o|n|z|a|	מ|ו|נ|ז|א|
t|i|o|m|k|i|n|	ט|י|ו|מ|ק|י|ן|
a|n|s|e|l|m|	א|נ|ס|י|ל|ם|
m|e:r|i|d|o|r|	מ|ר|י|ד|ו|ר|
m|i|k|a|e|l|	מ|י|ק|א|י|ל|
l|o|f|t|h|o:u|s:e|	ל|א|פ|ט|ה:א|ו|ס|
k|a:h|v|e|c|i|	ק|ה|ו|ו|ג:'|י|
b|a|t|i|s|t|u|t|a|	ב|א|ט|י|ס|ט|ו|ט|א|
h|a|r|o|l|d|	ה|א|ר|ו|ל|ד|
s|a|l|p|i|g|i|d|i|s|	ס|א|ל|פ|י|ג|י|ד|י|ס|
h|u|s|a|y|n|	ח|ו|ס|י|י|ן|
f|u|k|u|y|a|m|a|	פ|ו|ק|ו|י|א|מ|א|
b|u|s:c|e|m|i|	ב|ו|ש|י|מ|י|
h|o|s:h|i|n|o|	ה|ו|ש|י|נ|ו|
t|a|h|i|r|	ט|א|ה|י|ר|
m|a|s:s|a|	מ|א|ס|א|
p|o|t|o|m|a|c|	פ|ו|ט|ו|מ|א|ק|
a|r|u|t:z|	ע|ר|ו|ץ|
r|o|s|e:n|b|a|u|m|	ר|ו|ז|נ|ב|א|ו|ם|
k:h|u|s|a|i:n|o|v|	ח|ו|ס|י:י|נ|ו|ב|
l|e|a:h|	ל|י|ה|
t|i|m|u|r|	ט|י|מ|ו|ר|
e|l|s|o:n|b|a|t|y|	א|ל|ס|נ|ב|א|ט|י|
d|o|n|a|t|o|	ד|ו|נ|א|ט|ו|
b|e|r|n|d|	ב|י|ר|נ|ד|
b|e:r|n:e|	ב|ר|ן|
d:a|g:u|e:r|r:e|	ד|א|ג|ר|
g|a|r|b|a|r:e|k|	ג|א|ר|ב|א|ר|ק|
b|e|r|n|i|	ב|י|ר|נ|י|
l:e|i|l|a|	ל|י|ל|א|
n|a|k|a|m|u|r|a|	נ|א|ק|א|מ|ו|ר|א|
f:a|r|i|d|	פ|ר|י|ד|
s|a|h|i|n|	ס|א|ה|י|ן|
c:h|a|r|i|s|t|e|a|s|	ח|א|ר|י|ס|ט|י|א|ס|
r:e|d|h:a|	ר|ד|א|
f|a|r|i|s|	פ|א|ר|י|ס|
g|l:e|i|c:k|	ג|ל|י|ק|
k|a|d|a|r|	ק|א|ד|א|ר|
k|e:a|t|o|n|	ק|י|ט|ו|ן|
l|a|x|n:e|s:s|	ל|א|ק:ס|נ|ס|
b|o|n|a|n|o|	ב|ו|נ|א|נ|ו|
c|h|a:l|a:b|i|	צ|'|ל|ב|י|
r|o|s|i|	ר|ו|ס|י|
d|a|n|i|n|o|s|	ד|א|נ|י|נ|ו|ס|
m|i|z|u|k|i|	מ|י|ז|ו|ק|י|
k|i|r|i|l|	ק|י|ר|י|ל|
y|u|k|a|r|i|	י|ו|ק|א|ר|י|
h|a|t|a|	ה|א|ט|א|
h|a|s:h|i|m|o|t|o|	ה|א|ש|י|מ|ו|ט|ו|
e|d|u|a|r|d|o|	א|ד|ו|א|ר|ד|ו|
h|m|e|d|e|	ח|מ|י|ד|ה|
w|a|l|t|o|n|	ו|א|ל|ט|ו|ן|
f|r:a|n|c|i|s|c|a:n|	פ|ר|נ|ס|י|ס|ק|ן|
r|i|c|h:a|r|d|	ר|י|צ:'|א|ר|ד|
c|a|d|h|e|r|i|n|	ק|א|ד|ה|י|ר|י|ן|
m|e|n|s|a|h|	מ|י|נ|ס|א|ה|
r|i:j|s|b|e|r|g|e:n|	ר|י|ס|ב|י|ר|ג|ן|
s|k|i|l:e|s|	ס|ק|א:י|ל|ז|
m|e|z|z|o|g:i|o|r|n|o|	מ|י|ד|ז|ו|ג|ו|ר|נ|ו|
m|o|l|n|a|r|	מ|ו|ל|נ|א|ר|
h|a|r|a|d|a|	ה|א|ר|א|ד|א|
p|a|m|u|n|g|k|a|s|	פ|א|מ|ו|נ|ג|ק|א|ס|
y|o|s:h|i|o|	י|ו|ש|י|ו|
m|e|i|n|	מ|י|י|ן|
n|e|i|n|	נ|א|י|ן|
c|l|a|r|k|s|o|n|	ק|ל|א|ר|ק|ס|ו|ן|
w|i|l:l|	ו|י|ל|
h|i|l:l|	ה|י|ל|
a|s:h|o:u|r|	ע:א|ש|ו|ר|
y|u|s|a|	י|ו|ס|א|
b:e|h|c|e:t|	ב|ה|ק|ט|
b|i|l:l|	ב|י|ל|
k|e|i|	ק|י|י|
z|a|k|i|r|	ז|א|ק|י|ר|
f|o|n|t:a|i|n:e|	פ|ו|נ|ט|י:י|ן|
l|i|s|t|o|n|	ל|י|ס|ט|ו|ן|
y|a|s:u|n|o|r|i|	י|א|ס|נ|ו|ר|י|
p|a|r|k|	פ|א|ר|ק|
j|u|l|i|e:t|t:e|	ג:'|ו|ל|י|א|ט|
s|a|r|k|	ס|א|ר|ק|
m|u|s|a|	מ|ו|ס|א|
m|a|j|o|r|	מ|י:י|ג|ו|':ר|
l|o:w|	ל|ו|
m|a|r|k|	מ|א|ר|ק|
m|o|t:t|a|	מ|ו|ט|א|
