G|i|b|r|a|l|t|á|r:i|	G|i|b|r|a|l|t|a|r|
X|e|n|i|a|d|é|s:z|	X|e|n|i|a|d|e|s|
H|e|g|e|l|i|a|n|i|z:m|u:s|	H|e|g|e|l|i|a|n|i|s|m|
D|é|v|a|i|	D|é|v|a|y|
M|a|u|r|i|t|á|n|i|a|	M|a|u|r|i|t|a|n|i|a|
C|i|r|k|u|m|p|o|l|á:r|i:s|	C|i|r|c|u|m|p|o|l|a|r|
S|á|n|t|a|r|a|k|s|i|t|a|	Ś|ā|n|t|a|r|a|k|ṣ|i|t|a|
V|a|s|t|a|g|	V|a|ș|t|a|g|
D|v|o|r|i|s|t|e|	D|v|o|r|i|š|t|e|
K|u|l|i|k|o|v|ó:i|	K|u|l|i|k|o|v|o|
K|ó|b|e|	K|o|b|e|
p|r|a|z|e|o|d|í|m|i|u|m|	p|r|a|s|e|o|d|y|m|i|u|m|
A|j|k|a:i|	A|j|k|a|
G|e|o|m|e|t|r|i:a|	G|e|o|m|e|t|r|y|
R|u|t|t|k|a|i|	R|u|t|t|k|a|y|
T|l|a|l|o|k|	T|l|a|l|o|c|
A|n|g|m|a|r:i|	A|n|g|m|a|r|
M|a|s:s|a|m|a|g|r|e|l|l|	M|a|s|a|m|a|g|r|e|l|l|
p|r|e|c|e|s|s:z|i|ó|	p|r|e|c|e|s|s|i|o:n|
V|á|g|a|r:i|	V|á|g|a|r|
E|n|g|h|i|e|n:i|	E|n|g|h|i|e|n|
L|a|v|r|e|n|t:y|i|j|	L|a|v|r|e|n|t|i|y|
n|i|k|k|e|l|	n|i|c|k|e|l|
H|a|r|k|a|	H|o|r|k|a|
T|r|u|r|ó:i|	T|r|u|r|o|
A|b|h|i|s:z|a|m|a|j|á|l|a|n|k|á|r|a|	A|b|h|i|s|a|m|a|y|a|l|a|n|k|a|r|a|
D|a|l|m|a|t|i|k:a|	D|a|l|m|a|t|i|c|
P|ö|l|ö|s|k|e|y|	P|ö|l|ö|s|k|e|i|
c|o|l|o|r|a|d|ó:i|	C|o|l|o|r|a|d|o|
A|m|h|a|r|á:k|	A|m|h|a|r|a|
C|ă|l|i|m|ă|n|e|ş|t|i|	C|ă|l|i|m|ă|n|e|ș|t|i|
w|a|l|k|ü|r|	W|a|l|k|ü|r:e|
L|j|u|b|l|j|a|n|a|–|Z|á|g|r|á|b|	L|j|u|b|l|j|a|n|a|–|Z|a|g|r|e|b|
K|a|r|a|i|t|a|	K|a|r|a|i|t|e|
B|e|n|z|o|f|u|r|á|n|	B|e|n|z|o|f|u|r|a|n|
P|i|l|l|n|i|t|z:i|	P|i|l|l|n|i|t|z|
Z|o|e|t|r|ó|p|	Z|o|e|t|r|o|p:e|
P|á|l|	P|a|l|
o|r|o|g|é|n|	o|r|o|g|e|n:y|
I|m|á|n|	I|m|a|n|
A|l|t|h|a|i|a|	A|l|t|h|a|e|a|
S|a|m|a|l|a|y|u|c|a:i|	S|a|m|a|l|a|y|u|c|a|
B|o|b|a|l|i|n|k|	B|o|b|o|l|i|n|k|
L|e|z|h|a|	L|e|z|h|ë|
T|ó|d|ó|	T|ō|d|ō|
G|a|l|á|p|a|g|o|s:i|	G|a|l|a|p|a|g|o|s|
S|p|á|n|i|e|l|	S|p|a|n|i|e|l|
N|o|ë|	N|o|é|
R|o|b|o|r|o|v|s|z:k|i:j|	R|o|b|o|r|o|v|s|k|i|
C|i|m|i|ş|l|i|a|	C|i|m|i|ș|l|i|a|
M|u|h|a|m|m|a|d|	M|o|h|a|m|m|a|d|
S|t|r|a|u|s:s|e|n|b|u|r|g|	S|t|r|a|u|ß|e|n|b|u|r|g|
K|n|y|á|z|	K|n|y|a|z|
o|r|i|e|n|t|a|l|i|s|t:a|	o|r|i|e|n|t|a|l|i|s|t|
A|m|u|l|e|t:t|	A|m|u|l|e|t|
C|a|t|h|o|l|i|c:a|	C|a|t|h|o|l|i|c|
M|e|d|v|e|d|c|e|v|a|	M|e|d|v|e|d|t:s|e|v|a|
D|e|m|o|k|r|a|t:a|	D|e|m|o|c|r|a|t|
B|a|n|e|b|d|z:s|e|d|e|t|	B|a|n|e|b|d|j|e|d|e|t|
p|o|r|t|u|g|á|l|	P|o|r|t|u|g|a|l|
t|ó|h|o|k|u:i|	T|ō|h|o|k|u|
M|a|g|n|e|t|i|t|	M|a|g|n|e|t|i|t:e|
a|r|t|i|c|u|l|a:r|i:s|	A|r|t|i|c|u|l|a|r|
S|á|n|d|o|r|	S|a|n|d|o|r:f|
C|a|r|n|o|t|i|t|	C|a|r|n|o|t|i|t:e|
T|o|g|ó:i|	T|o|g|o|
P|o|m|e|r|á|n|i|a:i|	P|o|m|e|r|a|n|i|a|
V|o|t|k|i|n|s|z:k|	V|o|t|k|i|n|s|k|
A|t|t|i|k|a|	A|t|t|i|c|a|
A|l|f|r|e|d|	A|l|f|r|é|d|
A|n|t|é|n|ó|r|	A|n|t|e|n|o|r|
A|l|i|z|a|p|r|i|d|	A|l|i|z|a|p|r|i|d:e|
B|a|h|á|	B|a|h|a:'|
M|a|l|p|i|g|h|i|	M|a|l|p|i|g|h:i|a:n|
é|n|e|r|g|i|e|s|	E|n|e|r|g|i|e|s|
g|r|i|s|w|o|l|d|i|	G|r|i|s|w|o|l|d|':s|
B|ó|k|a|y|	B|ó|k|a|i|
t|r|a|k|t|o|r|	T|r|a|c|t|o|r|
L|u|l|e:i|	L|u|l|e|
A|n|d|a|m|á|n|	A|n|d|a|m|a|n|
R|ü|t|i|m|e|y|e|r|	R|u:e|t|i|m|e|y|e|r|
M|á|d|a|b|a|	M|a|d|a|b|a|
d|i|f|l|u|o|r|i|d|	d|i|f|l|u|o|r|i|d:e|
A|l|g|i|m|i|a|	A|l|g|í|m|i|a|
B|i|n|g|e|n:i|	B|i|n|g|e|n|
H|a|r|p|a|l|o:s|z|	H|a|r|p|a|l|u|s|
A|m|r|í|t|	A|m|r|i|t|
V|e|k|t|o|r|	v|e|c|t|o|r|
Á|v|r|á|m|	A|v|r|a|m|
T|ó|k|a|i|d|ó|	T|ō|k|a|i|d|ō|
A|m|p|l|i|t|ú|d|ó|	A|m|p|l|i|t|u|d|e|
A|r|t|e|m|i|s:z|i|a|	A|r|t|e|m|i|s|i|a|
D|o|x|a|z|o|z|i|n|	D|o|x|a|z|o|s|i|n|
F|l|u|o|r|ó|n|i:u|m:i|o:n|	F|l|u|o|r|o|n|i|u|m|
M|a|m|b|ó|	M|a|m|b|o|
B|ó|g|u|	B|ō|g|u|
k|e|n|d|a|l:i|	K|e|n|d|a|l|
F|e|l|s|ő|t|á|r|k|á|n|y:i|	F|e|l|s|ő|t|á|r|k|á|n|y|
M|o|l|l|w|e|i|d|e|	M|o|l|l|w|e|i|d:e|':s|
B|é|r|	B|e|r|
N|o|f|e|r|n|o|f|e|r|u|a|t|o|n|	N|e|f|e|r|n|e|f|e|r|u|a|t|e|n|
T|r|o|m|p|o:s|	T|r|o|m|p|o|
B|a|l|á|z|s|	B|a|l|a|z|s|
A|t|h|é|n|i|s:z|	A|t|h|e|n|i|s|
M|e|l|i|s|e|n|d|a|	M|e|l|i|s|e|n|d|e|
P|o|n|t|i|a|c|	P|o|n|t|i|a:c|':s|
A|r|e|o|l|a|	A|r|e|o|l|e|
A|l|t|e|r|i|t|á:s|	A|l|t|e|r|i|t|y|
N|o|n|v|e|r|b|á:l|i:s|	N|o|n|v|e|r|b|a|l|
N|e|p|á|l|	N|e|p|a|l|
B|e|n|z|o|t|r|i|k|l|o|r|i|d|	B|e|n|z|o|t|r|i|c:h|l|o|r|i|d:e|
K|a|m|e|r|a|	C|a|m|é|r|a|
P|é|c|s:i|	P|é|c|s|
G|u|a|d|a|s|e|q|u|i|e|s|	G|u|a|d|a|s:s|é|q|u|i|e|s|
P|o|l|i|k|o|z|a|n|o|l|	P|o|l|i|c|o|s|a|n|o|l|
R|e|u|v|é|n|	R|e|u|v|e|n|
P|r|o|g|r|a|m|j|a|	P|r|o|g|r|a|m|m|e|
I|n|d|i|a|n|a|p|o|l|i|s:i|	I|n|d|i|a|n|a|p|o|l|i|s|
P|r|i|m|o|r|i|á:l|i:s|	P|r|i|m|o|r|i|a|l|
M|a|r|t:a|i|n|v|i|l|l|e|	M|a|r|t|i|n|v|i|l|l|e|
A|l|g|a|	A|l|g|a:e|
M|á|t|r|i|x|	m|a|t|r|i|x|
m|i|n|a|r|e:t|j:e|	M|i|n|a|r|e|t|
H|é|r|a|i|o|n|	H|e|r|a|i|o|n|
E|l|c|h|e:i|	E|l|c|h|e|
C|i|l|l:e|i|	C|i|l|l|i|
d|é|v|í|	D|e|v|i|
b|a|n|k|á|r|	b|a|n|k|e|r|
R|a|b|á|h|	R|a|b|a|h|
I|n|s|t|i|t|u|t|	I|n|s|t|i|t|u|t:e|
K|o|n|s|t|a|n|c|a|	C|o|n|s|t|a|n|ț|a|
K|a|r|o|l|i|n|a|	K|a|r|o|l|i|n|e|
I|m|p|e|d|a|n|c|i:a|	i|m|p|e|d|a|n|c|e|
P|o|l|l|u|c|i|t|	P|o|l|l|u|c|i|t:e|
A|m|b|r|o|n|e:s|e:k|	A|m|b|r|o|n|e|s|
Á|v|i|l|a|	A|v|i|l|a|
C|o|r|n|e|l|i|s|	C|o|r|n|e|l|i|u:s|
N|i|t|r|a|m|i|n|	N|i|t|r:o|a|m|i|n:e|
S|a|l|v|a|t|o|r:e|	S|a|l|v|a|d|o|r|
K|u|ç|o|v|a|	K|u|ç|o|v|ë|
K|é|v|i|n|	K|e|v|i|n|
P|a|l|i|m|p|s:z|e|s|z:t|	P|a|l|i|m|p|s|e|s|t|
T|r|ü|p|h|ó|n|	T|r|y|p|h|o|n|
F|o|r|m|a|m|i|d|	F|o|r|m|a|m|i|d:e|
R|o|n|d|ó|	R|o|n|d|o|
A|p|r|i|n|d|i|n|	A|p|r|i|n|d|i|n:e|
A|t|a|m|b|a|j|e|v|	A|t|a|m|b|a|y|e|v|
m|a|n|g|á|b|é|	m|a|n|g|a|b|e:y|
l|i|b|e|r|a|l|i|z|á|c|i|ó|	l|i|b|e|r|a|l|i|z|a|t|i|o:n|
B|é|b|é|	B|e|b|é|
P|r|é|v|e|z|a|	P|r|e|v|e|z|a|
K|o|n|v|e|n|t|	C|o|n|v|e|n|t|
L|e|p|a|n|t|ó:i|	L|e|p|a|n|t|o|
Z|e|b|u|l|o|n|	Z|e|b|u|l|u|n|
C|i|c|e|r|ó|	C|i|c|e|r|o|
A|u|s|t|e|r|l|i|t|z:i|	A|u|s|t|e|r|l|i|t|z|
K|i|r|o|v:i|	K|i|r|o|v|
G|o|r|o|d|o|v|i|k|o|v|s|z:k|	G|o|r|o|d|o|v|i|k|o|v|s|k|
N|a|m|í|b|i|a:i|	N|a|m|i|b|i|a|
T|e|h|o|n|g|d|a|n|	T:a|e|h|o|n|g|d|a|n|
G|ă|l|ă|n|e|ș|t|i|	G|ă|l|ă|n|e|ş|t|i|
b|i|k|a|r|b|o|n|á|t|	b|i|c|a|r|b|o|n|a|t:e|
B|o|l|í|v|i|a:i|	B|o|l|i|v|i|a|
E|p|r|a|z|i|n|o|n|	E|p|r|a|z|i|n|o|n:e|
a|c|e|t|i|l|	A|c|e|t|y|l|
G|á|b|r|i|e|l|	G|a|b|r|i|e|l|
D|e|s|t|r|u|k|t|o|r|	D|e|s|t|r|u|c|t|o|r|
A|u|t|o|i|m|m|u|n|	A|u|t|o|i|m|m|u|n:e|
B|e|r|t|y|	B|e|r|t|i|
Z|i|á|n|i|	Z|i|a|n|i|
l|i|b|e|r|t|a|r|i|a|n|i|z:m|u:s|	l|i|b|e|r|t|a|r|i|a|n|i|s|m|
F|l|a|v|i|a|	F|l|á|v|i|a|
G|a|z|á|l|a|	G:h|a|z|a|l|a|
H|o|t|t|e|n|t|o:t|t:a|	H|o|t|t|e|n|t|o|t|
T|a|m:i|r|a|t|	T|a|m|r|a|t|
z|e|r|b|s|t:i|	Z|e|r|b|s|t|
K|a|r|n|á|t|a|k|a|	K|a|r|n|a|t|a|k|a|
T|r|a|n|s|l|a|t|e|w|i|k|i|	T|r|a|n|s|l|a|t|e|w:i|k:i|.:n|e:t|
A|g|a|m|e|m|n|ó|n|	A|g|a|m|e|m|n|o|n|
P|a|r|a|x|i|á:l|i:s|	P|a|r|a|x|i|a|l|
B|i|a|n|k|a|	B|i|a|n|c|a|
D|h|a|m|m|a|c|s:a|k|k|a|p|p|a|v|a|t|t|a|n|a|	D|h|a|m|m|a|c|a|k|k|a|p|p|a|v|a|t|t|a|n|a|
K|o|r|i|k|o:s|z:i|	K|o|r|i|k|o|s|
B|e|r|z|a|v|a|	B|â|r|z|a|v|a|
N|g|ô|	N|g|o|
D|i|o|m|a|n|d|e|	D|i|o|m|a|n|d|é|
"|D|i|g|g|e|r|"|	\:"|D|i|g|g|e|r|\:"|
T|o|p|o|l|ó|g|i|á:k|	t|o|p|o|l|o|g|i:e|s|
L|á|t|k|a|	L|á|t|k|y|
i|n|i|c|i|a|l|i|z|á|c|i|ó|	i|n|i|t|i|a|l|i|z|a|t|i|o:n|
e|t|r|u|r|i|a:i|	E|t|r|u|r|i|a|
T|a|r|g|o|v|i|s|t|e|	T|a|r|g|o|v|i|s:h|t|e|
K|u|r|n|a|	Q|u|r|n|a|
L|a|u|s|s|e|l:i|	L|a|u|s|s|e|l|
K|i|r|o|v|o|h|r|a|d:i|	K|i|r|o|v|o|h|r|a|d|
M|a|h|r|a|	M|a|h|r|a:h|
A|a|l|b|o|r|g:i|	A|a|l|b|o|r|g|
J|a|r|o|s|i|t|	J|a|r|o|s|i|t:e|
N|o|o|t|k|a|t|o|n|	N|o|o|t|k|a|t|o|n:e|
P|a|l|m|e|t|t|a|	P|a|l|m|e|t|t|e|
B|e|a|t|l|e|s|	B|e|a|t|l|e|s:!|
K|i|t|t|e|n:'|	K|i|t|t|e|n|
K|á|m|a|	K|a|m|a|
v|á|m|p|í|r|	V|a|m|p|y|r|
H|ä|n|d|e|l|	H|a|n|d|e|l|
A|j|o|é|n|	A|j|o|e|n:e|
H|e|r|v|a|r|t|ó|	H|e|r|v|a|r|t|o:v|
I|b|u|p|r|o|f|é|n|	I|b|u|p|r|o|f|e|n|
M|a|r|t|i|a|	M|a|r|c|i|a|
J|u|n|i|p|e|r|	J|u|n|í|p|e|r:o|
R|e|g|g|a|e|t|ó|n|	R|e|g|g|a|e|t|o|n|
L|a|b|a|r|n:a|s:z|	L|a|b|a|r|n|a|
H|o|l|o|c|é|n|	H|o|l|o|c|e|n:e|
N|o|r|b|o|r|n|a|d|i|é|n|	N|o|r|b|o|r|n|a|d|i|e|n:e|
R|á|k|o|s|	R|a|k|o|s|
P|a|v|e|s|e|	P|a|v|i|s|e|
C|s|á|n|g|ó|k|	C|s|a|n|g|o|s|
t|e|c|h|n|o|l|ó|g|i:a|	t|e|c|h|n|o|l|o|g|y|
m|a|g|i|c:a|	M|a|g|i|c|
F|o|x|t|r|o|t:t|	F|o|x|t|r|o|t|
h|e|p|t|a|n|o|n|	H|e|p|t|a|n|o|n:e|
N|a|m|u|r:i|	N|a|m|u|r|
A|d|e|l|a|i|d|a|	A|d|é|l|a|ï|d|e|
A|n|g|r|b|o|d|a|	A|n|g|r|b|o|ð|a|
D|é|i|d|a|m|e:i|a|	D|e|i|d|a|m|i|a|
P|e|r|i|d|o|t|i|t|	P|e|r|i|d|o|t|i|t:e|
A|e|r|o|p|é|	A|e|r|o|p|e|
C|h|a|b|a|z|i|t|	C|h|a|b|a|z|i|t:e|
A|z|a|p|e|t|i|n|	A|z|a|p|e|t|i|n:e|
s|e|v|e|r|n:i|	S|e|v|e|r|n|
M|o|n|t|e|n|o|t|t|e:i|	M|o|n|t|e|n|o|t|t|e|
Á|g|o|t|a|	A|g|o|t|a|
R|h|é|t|o|r|i|o:s|z|	R|h|e|t|o|r|i|u|s|
E|d|u|á|r|d|	E|d|u|a|r|d|
L|u|d|w|i|g|s|f|e|l|d|e:i|	L|u|d|w|i|g|s|f|e|l|d|e|
L|i|m|o|n|é|n|	L|i|m|o|n|e|n:e|
N|a|p|ó|l|e|o|n|i|	N|a|p|o|l|e|o|n|i:c|
V|a|l|e|n|c|i|a|i|	V|a|l|e|n|c|i|a|n|
S|a|l|p|e|t|r|i|e|r|e|	S|a|l|p|ê|t|r|i|è|r|e|
J|o|s|i|p|o|v|i|c:h|	J|o|s|i|p|o|v|i|ć|
X|i|r|o|p|o|t|á|m|u|	X|e|r|o|p|o|t|a|m|o:u|
B|i|o|d|í|z|e|l|	B|i|o|d|i:e|s|e|l|
E|m|í|l|i|a|	E|m|i|l|i|a|
P|ü|l|ó|n|	P|y|l|o|n|
M|o|r|v|a|	M|o|r:a|v|a|
B|o|r|ġ|	B|o|r|g|
P|o|z|i|t|r|o|n|	P|o|s|i|t|r|o|n|
Z|o|r|r|ó|	Z|o|r|r|o|
m|u|t|a|g|e|n|e|z|i|s|	m|u|t|a|g|e|n|e|s|i|s|
L|e|o|n|í|d|a|s:z|	L|e|o|n|i|d|a|s|
G|r|ü|n|w|a|l|d:i|	G|r|u|n|w|a|l|d|
C|a|t|t|a|r|ó:i|	C|a|t|t|a|r|o|
K|i|s|k|u|n|s|á|g:i|	K|i|s|k|u|n|s|á|g|
A|i|r|l|i|n|e:s|	a|i|r|l|i|n|e|
O|n|g|u|d|a|j|	O|n|g|u|d|a|y|
B|o|h|u|s|l|a|u:s|	B|o|h|u|s|l|a|v|
K|u|n|d|a|l|i|	K|u|ṇ|ḍ|a|l|i|
ó|z|o|n|	o|z|o|n:e|
K|á|r|o|l:y|	K|a|r|o|l|
H|a|n|n|i|b|á|l|	H|a|n|n|i|b|a|l|
T|a|t|á|r|	T|a|t|a|r|
H|a|n:n|o|v|e|r|–|M|i|n|d|e|n|	H|a|n|o|v|e|r|–|M|i|n|d|e|n|
C|ă|l|ă|r|a|ş|i|	C|ă|l|ă|r|a|ș|i|
S|u|d|b|u|r|y:i|	S|u|d|b|u|r|y|
C|i|p|e|r|m|e|t|r|i|n|	C|y|p|e|r|m|e|t:h|r|i|n|
S|a|v|i|n|j:s|k:a|	S|a|v|i|n|j|a|
A|n|g|e|l|i|k|a|	A|n|g|e|l|i|c|a|
m|u|s|t|á|r|	m|u|s|t|a|r:d|
I|n|t|e|r|n|a|c|i|o|n|á|l:é|	I|n|t|e|r|n|a|t|i|o|n|a|l|
K|a|l|a|m|a|r|i|á|	K|a|l|a|m|a|r|i|a|
L|u|x|e|m|b|u|r|g:i|	L|u|x|e|m|b|o:u|r|g|
A|d|r|a|s|z:t|e|i|a|	A|d|r|a|s|t|e|i|a|
S|c|h|y|r|l|a:e|u|s|	S|c|h|y|r|l|e|u|s|
M|o|n|ó|v|a|r|	M|o|n|ò|v|e|r|
v|a|l|e|n|c|i|a|i|	V|a|l|e|n|c|i|a|n|
V|a|r|v|	V|a|r|v:e|
Á|r|i|a|	A|r|i|a|
H|e|r|m|o|t|i|m|o:s|z|	H|e|r|m|o|t|i|m|u|s|
j|a|v|a|n:a|	J|a|v|a|n|
c|o|n|t|a|i|n|e:r|e:k|	c|o|n|t|a|i|n|e|r|
S|p|i|n|t|r|o|n|i|k|a|	S|p|i|n|t|r|o|n|i|c|s|
M|a|m|ú|n|	M|a:'|m|u|n|
R|e|p|l|i|k|á|t|o|r|	R|e|p|l|i|c|a|t|o|r|
P|r|o|t|a|k|t|í|n|i|u|m|	P|r|o|t|a|c|t|i|n|i|u|m|
V|i|v|i|á|n|a|	V|i|v|i|a|n|a|
A|m|a|d|e|o|	A|m|e|d|e|o|
K|a|n|é|p|h|o|r|o|s:z|	K|a|n|e|p|h|o|r|o|s|
T|u|r|á|n|	T|u|r|a|n|
M|u|r|u|r|o|a|	M|o|r|u|r|o|a|
R|o|t|o|k|a|s:z|	R|o|t|o|k|a|s|
K|l|i|n|o|p|t|i|l|o|l|i|t|	C|l|i|n|o|p|t|i|l|o|l|i|t:e|
L|a|k|i|h|e|g|y:i|	L|a|k|i|h|e|g|y|
R|u|h|o|l|l|á|h|	R|u|h|o|l|l|a|h|
H|e|l|l|ó|	H|e|l|l|o:!|
F|l|a|g|e|o|l|e|t:t|	F|l|a|g|e|o|l|e|t|
K|u|r|r|a|	Q|u|r|r|a|
S|c|h|ö|n|a|u:i|	S|c|h|ö|n|a|u|
T|e|m|p|ó|	T|e|m|p|o|
B|a|b|i|l|o|n|	B|a|b|y|l|o|n|
A|z|á|l|e|a|	A|z|a|l|e|a|
A|r|g|e|n|t|i|n|	A|r|g|e|n|t|i|n:a|
A|r|g|e|n|t|i|n|	A|r|g|e|n|t|i|n:e|
A|r|g|e|n|t|i|n|	A|r|g|e|n|t|i|n:o|
D|a|n|t|r|o|l|é|n|	D|a|n|t|r|o|l|e|n:e|
N|a|z|á|r|i|	N|a|z|a|r|i|
m|a|f:f|i|a|	M|a|f|i|a|
A|p|o|l|l|o|d|ó|r|o:s|z|	A|p|o|l|l|o|d|o|r|u|s|
M|a|n|c|h|e|s|t|e|r:i|	M|a|n|c|h|e|s|t|e|r|
R|o|z|g|o|n|y:i|	R|o|z|g|o|n|y|
E|d|y|t|a|	E|d|i|t|a|
A|t|h|é|n|é|	A|t|h|e|n|a|
B|e|t|a|z|o|l|	B|e|t|a|z|o|l:e|
H|e|r|m|a|p|h|r|o|d|i|t|o:s|z|	H|e|r|m|a|p|h|r|o|d|i|t|u|s|
N|a|g|y|t|é|t|é|n|y:i|	N|a|g|y|t|é|t|é|n|y|
R|a|s|t|a|t|t:i|	R|a|s|t|a|t|t|
J|ú|d|a|i|	J|u|d|a|h|
E|m|i|l|i|e|	É|m|i|l|i|e|
V|e|n|e|z|u|e|l|a|	V|e|n|e|z|u|e|l|a:n|
A|r|m|a|d|i|l|l|ó|	A|r|m|a|d|i|l|l|o|
A|z|á|n|i|a|	A|z|a|n|i|a|
T|o|n|i|k|	T|o|n|i|c|
T|o|f|i|z|o|p|á|m|	T|o|f|i|s|o|p|a|m|
M|a|k|i|n:i|	M|a|k|i|n|
E|u|r|ó|p|i|u|m|	E|u|r|o|p|i|u|m|
F|o|t|ó|b|l|o|g|	P:h|o|t|o|b|l|o|g|
V|á|r|n|a:i|	V|a|r|n|a|
A|b|r|a|k|a|d|a|b|r|a|	A|b|r|a|c|a|d|a|b|r|a|
G|a|d|o|l|í|n|i|u|m|	G|a|d|o|l|i|n|i|u|m|
K|u|r|g|á|n|	K|u|r|g|a|n|
G|a|l|i|l|e|a|	G|a|l|i|l|e|e|
i|n|t|e|r|f|e|r|o|m|é|t|e|r|	i|n|t|e|r|f|e|r|o|m|e|t|e|r|
M|a|n|n|h|e|i|m|–|K|a|r|l|s|r|u|h|e|–|B|á|z|e|l|	M|a|n|n|h|e|i|m|–|K|a|r|l|s|r|u|h|e|–|B|a|s|e|l|
R|u|d|n|o|k|	R|u|d|n|í|k|
M|e|b|e|n|d|a|z|o|l|	M|e|b|e|n|d|a|z|o|l:e|
o|x|a|l|á|t|	o|x|a|l|a|t:e|
L|e|ó|n:i|	L|e|ó|n|
I|l|i|e|v|s|z:k|i|	I|l|i|e|v|s|k|i|
D|a|í|d|	D|a|i|d|
v|e|r|t|e|b|r|a|e|	v|e|r|t|e|b|r|a|l|
B|i|a|k:i|	B|i|a|k|
O|b|e|l|i|s|z:k|	O|b|e|l|i|s|k|
K|a|r|a|g|a|n|d|i|	K|a|r|a|g|a|n|d|y|
N|a|m|e|	N|a|m|e:?|
M|i|k|o|n|a|z|o|l|	M|i|c|o|n|a|z|o|l:e|
O|r|d|z:s|o|n|i|k|i|d|z|e|	O|r|d|z|h:o|n|i|k|i|d|z|e|
E|r|d|é|l|y:i|	E|r|d|é|l|y|
K|o|l|i|m|a|	K|o|l|y|m|a|
r|e|g|r|e|s|s:z|i|ó|	r|e|g|r|e|s|s|i|o:n|
H|o|t|e|p|h|e|r|e|s:z|	H|e|t|e|p|h|e|r|e|s|
K|a|r|a|g|a|n|d|i|	K|a|r|a|g|a|n|d|a|
D|a|i|g|o|r|ó|	D|a|i|g|o|r|o|
G|o|l|d|b|a|c|h|	G|o|l|d|b|a|c:h|':s|
H|e|l|g|o|l|a|n|d|	H|e|l:i|g|o|l|a|n|d|
T|e|x|c|o|c|ó:i|	T|e|x|c|o|c|o|
n|o|r|m|a|n:n|	N|o|r|m|a|n|
H|e|t|t|a|n|g|i|	H|e|t|t|a|n|g:i|a:n|
N|e|h|m|e|t|a|u|i|	N|e|h|m|e|t|a|w|y|
E|n|g|e|l|m|a|n|n|	e|n|g|e|l|m|a:n|n|i:i|
A|m|a|n|o|h|a|s|i|d|a|t|e|	A|m|a|n|o|h|a|s:h|i|d|a|t|e|
K|a|s|a|i|	K|a|s|a|ï|
V|i|b|o|r|g|	V|y|b|o|r|g|
C|s|í|k|s|z|e|n|t|m|i|h|á|l|y|i|	C|s|i|k|s|z|e|n|t|m|i|h|a|l|y|i|
E|r|a|k|o|v|i|ć|	E|r|a|k|o|v|i|c|
M|u:h|a|m|m|a|d|q|o|d|i|r|	M:a|h|a|m|m|a|t|k|o|d|i|r|
N|i|l|g|a|u|	N|i|l|g|a|i|
b|a|y|r|e|u|t|h:i|	B|a|y|r|e|u|t|h|
Z|e|l|d|o|v|i|c|s|	Z|e|l:'|d|o|v|i|c|h|
r|u|b|í|d|i|u|m|	r|u|b|i|d|i|u|m|
U|r|u|g|u|a|y|i|	U|r|u|g|u|a|y|a:n|
A|r|é|t|á|s:z|	A|r|e|t|a|s|
K|o|l|m|o|g|o|r|o|v|–|S:z|m|i|r|n|o|v|	K|o|l|m|o|g|o|r|o|v|–|S|m|i|r|n|o|v|
M|a|n|u|e|l|	M|a|n|o|e|l|
O|u|t|!:'|	O|u|t|!|
S|ö|r|b|e|t|	S|o|r|b|e|t|
T|u|r|k|u:i|	T|u|r|k|u|
k:o|r|o|n|a|	k|r|o|n|a|
L|o|p|e|r|a|m|i|d|	L|o|p|e|r|a|m|i|d:e|
N|a|z|a|r|b|a|j|e|v|a|	N|a|z|a|r|b|a|y|e|v|a|
T|i|t|h|ó|n|o:s|z|	T|i|t|h|o|n|u|s|
B|á|r|c|a|	B|a|r|c|a|
B|e|r|i|l|l|i|d|	B|e|r|y|l|l|i|d:e|
a|g|á|v|é|	A|g|a|v|e|
O|b|j|e|k|t|	O|b|j|e|c|t|
s|t|r|u|k|t|ú|r|a|	S|t|r|u|c|t|u|r|e|
N|e|u|t|r|í|n|ó|	n|e|u|t|r|i|n|o|
T|i|a|n|e|p|t|i|n|	T|i|a|n|e|p|t|i|n:e|
N|o|f|e|r|m|a|a|t|	N|e|f|e|r|m|a|a|t|
b|a|n|á|n|	B|a|n|a|n:a|
P|l|a|t|ó|n|	P|l|a|t|o|n|
K|r|a|m|n:y|i|k|	K|r|a|m|n|i|k|
L|á|z|	L|a|z|
U|r|á|n|i|a|	U|r|a|n|i|a|
K|á|r|m|e|n|	C|a|r|m|e|n|
B|r|e|i|t|e|n|f|e|l|d:i|	B|r|e|i|t|e|n|f|e|l|d|
S|i|d|	Š|i|d|
H|u|m|o|r|	H|u|m|o:u|r|
P|i|r|i|m|i|d|i|n|	P|y|r|i|m|i|d|i|n:e|
k|a|b|k|a|b|i|	k|a|b|k|a|b|u|
W|i|t|h|e|r|i|t|	W|i|t|h|e|r|i|t:e|
K|e|m|o|t|a|x|i|s|	C:h|e|m|o|t|a|x|i|s|
A|r|i|o|b|a|r|z|a|n|é|s:z|	A|r|i|o|b|a|r|z|a|n|e|s|
I|n|k|o|n|t|i|n|e|n|c|i:a|	I|n|c|o|n|t|i|n|e|n|c|e|
G|o|i|t|ó:i|	G|o|i|t|o|
B|u|p|i|v|a|k|a|i|n|	B|u|p|i|v|a|c|a|i|n:e|
R|é|u|n|i|o|n:i|	R|é|u|n|i|o|n|
