द|	t:h:e|
ई|ट|ा|	I|T|A|
ज:ै|क|	J:a:c|k|
ज|ग|न|	J:a|g|a:n|
ज|त|न|	J|a:t|a:n|
ज|त|ि|	J|a:t|i|
ज|य|ा|	J|a:y|a|
ज|े|ट|	J|e|t:t|
झ|ल|क|	J:h|a:l|a:k|
झ|ो|र|	J:h|o|r|
ज|ि|ल|	J|i|l:l|
ज|ो|श|	J|o|s:h|
ज|ॉ|य|	j|o|y|
ज|ू|न|	J|u|n:e|
क|ा|श|	K:a|a|s:h|
क|फ|न|	K:a|f|a:n|
क:ै|ल|	K:a:i|l|
क|ल|ा|	K:a|l|a|
क|म|ल|	K:a|m|a:l|
क|न|क|	K|a:n|a:k|
क|स|म|	K:a|s|a:m|
क|ट|क|	K:a|t|a:k|
क|े:ट|	K|a:t:e|
क|थ|ा|	K:a|t:h|a|
क|व|ि|	K:a|v|i|
क|ा|ज़|	K|a|z|
क|ी|न|	K|e:e|n:e|
ख|र|े|	K:h|a:r|e|
ख:ो|ज|	K:H:O|J|
ख|ो|त|	K:h|o|t|
क|ु|श|	K|u|s:h|
ल|ग|न|	L:a|g|a:n|
ल|ई|क|	L:a|i|q|
ल|इ|थ|	L:a|i|t:h|
ल|े:क|	L|a:k:e|
ल|ल|न|	L|a:l|a:n|
ल|ल|ी|	L|a:l|i|
ल|त|ा|	L|a:t|a|
ल|त|ा|	l|a:t|a:a|
ल:ी|न|	L:e:A|n:n|
ल|े|ल|	L|E|L|
ल|े|न|	L|e|n|
ल|ि|ओ|	L|e|o|
ल|े|उ|	L|E|U|
ल|े|व|	L|e|v|
ल|ि|व|	L|i|v|
ल|ि|ज़|	L|i|z|
ल|ा|ऊ|	L|o|u|
ल|ु:ई|	L:o|u:i:e|
ल|ु|त|	L|U|T|
म|ा|ड़|	m|a|a:d|
म|द|न|	M:a|d|a:n|
म|ध|ु|	M:a|d:h|u|
म|ग|ी|	M:a|g|e:e|
म|ह|ा|	M:a|h|a|
म|ह|ड|	M:a|h:a|d|
म|ह|क|	M:a|h|a:k|
म|ह|ल|	M:a|h|a:l|
म|े:न|	M:a|i:n:e|
म|ल|य|	M:a|l|a:y|
म|ण|ि|	M|a:n|i|
म|ा|न|	M|a|n:n|
म|न|ु|	M:a|n|u|
म|ि|च|	M|i|t:c:h|
म|ो|न|	m|o|a:n|
न|ा|च|	N:a|a|c:h|
न|ा|ज़|	N:a|a|z|
न|भ|न|	N:a|b:h|a:n|
न|ब|ी|	N:a|b|i|
न|द|ी|	N:a|d|e:e|
न|ा|इ|	N|a|i|
न:ै|ब|	N:a:i|b|
न|ख|त|	N:a|k:h|a:t|
न|म|न|	n|a:m|a:n|
न|ं:द|	N|A:N:D|
न|ा|व|	N|A|O|
न|व|ल|	N:a|w|a:l|
न|व|र|	N:a|w|a:r|
न|य|न|	N|a:y|a:n|
न:ी|ल|	N:e:i|l|
न|े:ल|	N|e:l:l|
न|ि:क|	N|i:c:k|
न|ू|र|	N|o:o|r|
ओ|ज|स|	O|j:a|s|
ओ|न|ा|	o|n|a|
ओ|र|े|	o|r|e|
ओ|स|ी|	O|s:s|i:e|
ओ|ट|ो|	O|t:t|o|
ओ|व|ा|	o|v|a|
प|ा|म|	P|a|m|
प|र|म|	p|a:r|a:m|
प|र|ी|	P|a:r|e:e|
प|ौ:म|	P|A:U:M|
प|व|न|	P:a|w|a:n|
प:ी|स|	p:e:a|c:e|
फ:ि|ल|	P:h:i|l|
प|ी|र|	P|I|R|
प|ि|ट|	P|i|t:t|
क:म|र|	Q:a:m|a:r|
क़:म|र|	Q:a:m|a:r|
क:त|र|	Q:a:t|a:r|
र|ा|ज|	R:a|a|j|
र:ा|न|	R:A:A|N|
र|े:स|	r|a:c:e|
र|ै:फ|	R|a:f:e|
र|ई|स|	r|a:i|s|
र|ा|ज|	R|a|j|
र|ज|ा|	R:a|j|a|
र|ज|त|	R:a|j|a:t|
ऋ:त|ु|	R:a:t|u|
र|ऊ:फ|	R|a:u:f|
र:ौ|ह|	R:a:w|h|
र|ी:ड|	r|e:a:d|
ऋ|च|ा|	R:i|c:h|a|
र|ि|क|	R|i|k|
ऋ|त|ु|	R:i|t|u|
र|ॉ|ड|	r|o|d|
र|ॉ:ल|	r|o:l:l|
र|ॉ:स|	R|o:s:s|
र|ॉ|य|	R|o|y|
र|फ|स|	R:u|f|u:s|
स|ई:द|	S:a|':i:d|
स|ई:म|	S:a|':i:m|
स:ऊ|द|	S:a:'|o:o:d|
स|ा|ड|	S:a|a|d|
स|ा|ज़|	S:a|a|z|
स|ब|क|	S:a|b|a:k|
स|ब|र|	S:a|b|a:r|
स|फ|ा|	S:a|f|a|
स|फ|र|	S:a|f|a:r|
स|ग|न|	S:a|g|a:n|
स|ह|र|	S:a|h|a:r|
स|ह|स|	S:a|h:a|s|
स:ै|ब|	S:a:i|b|
स|ज|न|	S:a|j|a:n|
स|म|झ|	s|a:m|a:j:h|
स|म|र|	S:a|m|a:r|
स|न|त|	S:a|n|a:t|
स|ं:त|	S|a:n:t|
स|र|ल|	S:a|r|a:l|
स|र|स|	S:a|r|a:s|
स|ई:द|	S:a|y:i:d|
स|ा|ज़|	S|a|z|
स|े|न|	S|e|n|
स|े|न|	S|e|n:e|
श|च|ी|	S:h:a|c:h|e:e|
श|च|ि|	S:h:a|c:h|i|
श|ा|द|	s:h|a|d|
श:ै|ग|	s:h:a|g|
श|ल|भ|	S:h:a|l|a:b:h|
श|म|ा|	S:h:a|m|a:a|
श|ा|न|	S:h|a|n|
श|प|थ|	S:h:a|p:a|t:h|
श|र|द|	S:h:a|r|a:d|
श|र|ण|	S:h:a|r|a:n|
श|श|ी|	S:h:a|s:h|e:e|
श|त|ी|	S:h:a|t|e:e|
श|ॉ|म|	s:h:a|w|m|
श|ॉ|न|	S:h:a|w|n|
श|ी|प|	s:h|e:e|p|
श|ी|श|	S:h|e:e|s:h|
श|ो|र|	S:h|o|r|
श|ु:आ|	S:h|u:':a|
श|ु|आ|	S:h|u|':a:a|
श|ु|क|	S:h|u|k|
श|े:क|	s:n|a:k:e|
स|ो|म|	s|o|m|
स|म|र|	s:u:m|m|e:r|
त|ा|न|	T:a|a|n|
ट|ै|ड|	t|a|d|
त|ल|त|	T:a|l|a:t|
त|म|ी|	T:a|m|e:e|
त|न|ु|	T:a|n|u|
त|प|न|	T:a|p|a:n|
त|र|ु|	T:a|r|u|
ट|े:स|	T|e:s:s|
थ|ा|र|	T:h|a|r|
ट|ि|म|	T|i|m|
ट|ि|न|	t|i|n|
ट|ौ|म|	T|o|m|
ट|क|र|	T|u:c:k|e:r|
उ|द|य|	U|d|a:y|
उ|र|ा|	U|R|A|
व|ा|ड|	V:a|a|d|
व|च|न|	V:a|c:h|a:n|
व|द|न|	v|a:d|a:n|
व|ै|र|	v|a:i|r|
व|झ|े|	V:a|j:h|e|
व|र|ज|	V|a:r|a:j|
व|स|ु|	V:a|s|u|
व|े|द|	v|e|d|
व|ि|ज|	V|i|j|
व|ि|न|	V|i|n|
व|े:ड|	W|a:d:e|
व|फ|ा|	W:a|f|a|
व|ह|म|	W:a|h|e:m|
व|ै:ट|	W:a|i:t:e|
व|स|न|	W:a|s|a:n|
व|े|न|	W|a:y|n:e|
व:े|न|	W:e:i|n|
व|ॉ|न|	w|o|n|
व:ि|थ|	W:y:e|t:h|
य|द|ु|	Y:a|d|u|
य|ज|ु|	Y:a|j|u|
य|म|न|	Y:a|m|a:n|
य|त|ी|	Y:a|t|e:e|
य|े|न|	y|e|n|
व:े|स|	Y:v:e|s|
ज़:ै|ब|	Z:a:y|b|
ज़|ो|ए|	Z|o|e|
र|ि:प|र|	R|i:p:p|e:r|
ए|	E|
ई:र:ा|न|	I:r|a:n|
म|ि|स|र|	M|i|s|a:r|
ग:्:र|े|ट|	g:r|e|a:t|
न|ा|म|	N:a|a|m|
न|ि|श|ा|न|	N|i|s:h|a|a:n|
ब|ै|प|ट|ि|स:्:ट|	B|a|p|t|i|s:t|
ड|ा|क|	D|a|k|
क|प|	c:u|p|
म|ा:य|	m|y|
र|े|ड|	r|e|d|
श:े|न|	S:h:a|n:e|
ल|ी|	L|e:e|
म|ै|न|	m|a|n|
ई:य|र|	y:e:a|r|
आ:ज|ा|	A:A:J|A|
ल:ा|य|न|	l|i|o:n|
फ|ि|न|ल|ै|ं|ड|	F|i|n|l|a|n|d|
ऑ|फ़|	o|f|
स|्:व:ॉ|र:्:ड|	s|w:o|r:d|
थ|्:र|ी|	t:h|r|e:e|
स:्:ट|ा|र|्:स|	s:t|a|r|s|
न|े:श|न|ल|	N|a:t:i|o:n|a:l|
क|ो|ट|	c|o|a:t|
आ:र:्|म|्:‍:स|	a:r|m|s|
व|ा|र|	w|a|r|
स|े|क|ं:ड|	s|e|c|o:n:d|
क:ॉ|ल:ि|श:न|	c:o:a|l:i:t|i:o:n|
क:्|र:ा:उ|न|	c|r:o|w:n|
फ|ै|ल:्|क|न|	F|a|l|c|o:n|
ग|ो|ल:्:ड|न|	g|o|l:d|e:n|
फ|्:ल|ी|स|	f|l|e:e|c:e|
ग|्:र:ै|ं|ड|	G|r:a|n|d|
अ|ल|ा:ए|ं:स|	A|l|l:i:a|n:c:e|
ए|ल|ि|फ|े|ं|ट|	e|l|e|p:h|a|n|t|
ड|ै:न|ब|्:र:ो|ग|	D:a|n:n:e|b|r:o|g|
प:्:र|ी|श|ि|य:स|	p:r|e|c|i|o:u:s|
ब|े|व|े|र|ि|य|न|	B|a|v|a|r|i|a|n|
स|क:्|स:े|श:न|	s|u:c:c|e:s:s|i:o:n|
र|ी|य:ू|न|ि:य|ं:स|	r|e|u|n|i|o:n:s|
ब|ड़|े|	b|a:d|e|
ऐ:स|ी|	A:I:S|I|
भ|ा|ई|	B:h|a|i|
ऐ:स|ा|	A:s:i|a|
च|ो|र|न|ी|	c:h|o|r|n|i|
प|र|	p|a:r|
क:़:ु|र|्:ब|ा|न|	Q:u|a:r|b|a|n|
आ|ग|े|	A:a|g|e|
स|ो|च|	s|o|c:h|
आ|ँ|ख|	A|n|k:h|
न|श|ा|	N:a|s:h|a|
ब|ह|ा|	B:a|h|a|
द|ी|न|	d|i|n|
प|ा|प|	P:a|a|p|
अ|ं:त|	A|N:T:H|
क|ी|	K|e|
ख|ु|ल|	K:h|u|l|
स|ि|म|	S|I|M|
क|भ|ी|	K:a|b:h|i|
न|े|	n|e|
क|ि|य|ा|	K|i|y|a|
इ|स|ी|	I|S|I|
ब|ी|न|	b|e:e|n|
ज|ा|द|ू|	J|a|d|u|
क|ो|ठ|ी|	K|o|t:h|i|
ई:म:ा|न|	I:m|a:n|
द|ा|द|ा|	D|a|d|a|
र|ा|न|ी|	R|a|n|i|
द|ू|ज|	D|o:o|j|
च|ा:ँ:द|	C:h:a|n:d|
स|फ|ा|ई|	S:a|f|a|i|
क|ी|म|त|	k|e:e|m|a:t|
आ|ँ:च|ल|	A|n:c:h|a:l|
म|म|त|ा|	M:a|m|t|a|
ए|व|ि|ज़|	A|v|i|z|
क|र|े:ज|	c:o:u|r|a:g:e|
क|म|ा|ई|	K:a|m|a|i|
र|ा|ह|ी|	R|a|h|i|
ग|ं|ग|ा|	G|a:n|g|a|
श|ह|र|	S:h:a|h|a:r|
श|े|र|	S:h|e|r|
प:ं|ज|ा|	P:u:n|j|a|
ऐ:स|ा|	A:I:S|A|
त|े|र|ा|	T|e|r|a|
त|े|र|े|	T|e|r|e|
स|ा|थ|ी|	S|a|t:h|i|
म|े|र|ा|	M|e|r|a|
ह|ू:ँ|	H|o:o:n|
स|त|ह|	S:a|t:a|h|
उ|ठ|त|ा|	U|t:h|a:t|a|
आ|द|म|ी|	A|d|a:m|i|
ई|ं|ट|	e:e|n|t|
ज|व|ा|ब|	j:a|w|a|b|
प|त|्:थ|र|	P|a:t|t:h:a|r|
ज:ॉ|र:्|ज|	G:e:o|r|g:e|
ख|ो|ल|	K:h|o|l|
द|े|	d|e|
ज:़|ु|ब|ा|न|	Z|u|b|a|n|
आ|द|त|	A|a:d|a:t|
म|ज|ब|ू|र|	M:a|j|b|o:o|r|
ध|र|म|	D:h:a|r|a:m|
क|ा|न|ू|न|	K|a|n|o:o|n|
ब|स:्:त|ी|	B:a|s:t|i|
र|ा|ह|े|ं|	R|a|h|e|n|
द|ू|ध|	d|o:o|d:h|
क|र|्:ज:़|	K:a|r|z|
ट|क|्:क|र|	T|a:k|k|a:r|
ल|ह|ू|	L:a|h|u|
आ|व|ा|ज:़|	A|w|a|z|
स:ौ|ग|ं|ध|	S:a:u|g|a:n|d:h|
म|ौ:त|	m|a:u:t|
श|ि|क|ा|र|	S:h|i|k|a|r|
क|ु|व|ै:त|	K|u|w|a:i:t|
ज़|ू|क|ो|व|	Z:h:o|u|k|o|v|
प|ु|ण:्|य|	p|u|n|y:a|
म|ी|ट|	m|e:e|t|
ग:्:र|ी|ट|	g:r|e:e|t|
प:्:र|ि|ं|स|ि|प|े|ल|ि|ट|ी|	P:r|i|n|c|i|p|a|l|i|t|y|
ल|ी|क|ट|े|ं|स:्:ट|ी:न|	L|i:e|c:h|t|e|n|s:t|e:i:n|
फ|ॉ|र|	f|o|r|
फ|ा|द|र|ल|ै|ं|ड|	f|a|t:h:e|r|l|a|n|d|
म|ि|ल|	m|i|l|
ग|ई|	G:a|i|
म|ं|ज|ि|ल|	M:a|n|z|i|l|
म|ु|झ|े|	m|u|j:h|e|
स|ि|व|ि|ल|	c|i|v|i|l|
स|ि|क|्:य:ो|र|ि|ट|ी|	s|e|c|u|r|i|t|y|
ए|स:्:ट|ै|ब|ल|ि|श|म|े|ं|ट|	e|s:t|a|b|l|i|s:h|m|e|n|t|
स:ौ|द|ा|ग|र|	S:a:u|d|a|g|a:r|
स|ि|त|ा|र|ा|	S|i|t|a|r|a|
प|र|ि|ं|द|ा|	P|a:r|i|n|d|a|
ग|ा|ए|	g|u|y|
ड|े|	d|e|
ए:ल:्|व|ि|स|	A:l|w|i|s|
म|ा|न|	M:a|a|n|
ग|ए|	G:a|y:e|
न|ख|ी|म|ो|व|	N:a|k:h|i|m|o|v|
व|ि|ल|ि:य|म|	W|i|l|l:i:a|m|
र|े:ल|	r|a:i:l|
ड|ि|ब|्:ब|ा|	D|i|b|b|a|
व|त|न|	W|a:t|a:n|
र|ख|व|ा|ल|े|	r:a|k:h|w|a|l|e|
प:ब|्:ल|ि|क|	p:u:b|l|i|c|
स|र:्:व|ि|स|े|स|	s:e|r:v|i|c|e|s|
ड|ी|प|	d|e:e|p|
ड:ा:इ|व|ि|ं|ग|	d:i|v|i|n|g|
म|ो:म|	M|o:m:e|
ग|ु|ड:़|ि:य:ा|	G|u|d|i:a|
स|ु|व|ो|र|ो|व|	S|u|v|o|r|o|v|
र|ा|ख|	r|a|k:h|
च:ि|ं|ग|ा|र|ी|	C:h:i|n|g|a|r|i|
र|ो:ड|	r|o:a:d|
ट|ू|	t|o|
स|ि|क|्:क|ि|म|	S|i|k|k|i|m|
अ|ज|ी|	A|j|e:e|
ब|स|	b|u:s|
श|ु|क|्:र|ि|य|ा|	S:h|u|k|r|i|y|a|
क|्|र|ा:इ:स|्:ट|	C|h|r|i:s|t|
स|ि|क|ा|ट|ु|न|ा|	S|i|k|a|t|u|n|a|
म|ै|र|ी|ट:ा:इ|म|	m|a|r|i|t:i|m:e|
म|ि|ल|ि|ट:्|र|ी|	m|i|l|i|t|a:r|y|
प|ो|ल|ो|न|ि:य:ा|	P|o|l|o|n|i:a|
र|े|स:्:ट|ी|ट|्:य:ू|ट|ा|	R|e|s:t|i|t|u|t|a|
ल:ि:य|ो|प|ो|ल:्:ड|	L:e|o|p|o|l:d|
ब|े|न|े|फ|ि|स|े|ं:स|	b|e|n|e|f|i|c|e|n:c:e|
ड|ि|व|ॉ|ल|्:य:ू|श:न|	d|e|v|o|l|u:t|i:o:n|
स|्:प|ो|र|्:ट|्:‍:स|	s|p|o|r|t|s|
ऑ|स:्:ट|्:र:े|ल|ि:य:ा|	A:u|s:t|r:a|l|i:a|
इ|ं|ड|स|्:ट|्:र|ि|य|ल|	i|n|d|u:s|t|r|i|a|l|
ए|ग:्:र|ि|क|ल:्|च|र|ल|	A|g:r|i|c:u|l|t|u:r|a:l|
क|म|र|्:श|ि|य|ल|	c:o:m|m|e:r|c|i|a|l|
ऑ|र|	o|r|
इ|ं|ड|स|्:ट|्:र|ी|य|ल|	i|n|d|u:s|t|r|i|a|l|
य|ु|ग|	Y|u|g|
अ|भ|ी|	A|b:h|i|
आ|ब|ु|	A|b|u|
ए|ड|म|	A|d|a:m|
ड|े:ल|	D|a:l:e|
आ:द|स|	A:D:A|S|
ऐ:ल|न|	A:l:a|n|
न|ॉ:ट|	K:n|o:t:t|
अ|म|र|	A|m|a:r|
द|ी|प|	d|e:e|p|
आ|ज़|म|	A|z|a:m|
ख|ा|न|	K:h|a|n|
ब|ड़|ा|	B|a:d|a|
ब|ड़|ी|	B|a:d|i|
ब|ट|ु|	B:a|t|u|
ड|ै|म|	d|a|m|
ब|ह|न|	B:a|h|e:n|
भ|े|द|	B:h|e|d|
भ:ा|व|	B:H:A|V|
ब|ि|ग|	b|i|g|
ए:प|ल|	A:p:p|l:e|
ब|ि|ल|	b|i|l:l|
ए|थ|े|	A|t:h|e:y|
ब|ॉ|ब|	B|o|b|
ह|ो|प|	h|o|p:e|
ब|न|ी|	b:u|n|n:y|
ह|ॉ|प|	h|o|p|
क|े|प|	C|a|p:e|
क|ॉ|ड|	c|o|d|
क:ल|र|	c:o:l|o:u:r|
क:ै|म|	C:h:e|m|
व|ी|र|	v|e:e|r|
ग|ो|प|	G|O|P|
ज|ा|म|	j|a|m|
ग|ु|ल|	G|u|l|
ब|द|न|	b|a:d|a:n|
ह|ा|र|	H|a|a:r|
ज|ी|त|	J|e:e|t|
ह|व|ा|	H:a|w|a|
इ|आ|न|	I|a|n|
ज|ा|ल|	J|a|a:l|
ज|न|म|	J|a:n|a:m|
प|े|न|	P|e|n:n|
ट|ॅ|श|	T|a|s:h|
क|ु|छ|	K|u|c:h:h|
ल|व|र|	l|o:v:e|r|
ब|ॉ|य|	b|o|y|
ल|ा|ल|	L|a|l|
म|ा|ई|	M|a|i|
न|ा:ग|	N|A:A:G|
ल|ो|क|	L|o|k|
न|ॅ|म|	N|a|m|
न|ॉ|न|	n|o|n|
क|द|म|	K:a|d|a:m|
न|ी|ल|	N|e:e|l|
म|ण|ी|	M|a:n|i|
ऊ:ँ|च|	O:o:n|c:h|
न|ी|च|	N|e:e|c:h|
प|ल|े|	P:a|l|e:y|
ख|ा:ँ|	K:h:a|n|
र|त|न|	R|a:t|a:n|
ल|ख|न|	L:a|k:h|a:n|
र|ं|ग|	r|a:n|g|
र|ो:ज़|	r|o:s:e|
श|ॉ:न|	S:h|a:u:n|
ट|ै|ट|	T|a:i|t|
उ|द|ल|	U|d|a:l|
श|े|ख|	S:h|e|i:k:h|
स|ई|द|	s|a:i|d|
श|ि|व|	S:h|i|v|
च|र|ण|	C:h:a|r|a:n|
त|ा|ज|	T|a|j|
य|ा|र|	y:a|a|r|
ज:़|ा|	Z|s:a|
अ|ग|र|	a|g|a:r|
ह|ो|त|े|	h|o|t|e|
म|ु|ड़|	m|u|d|
द|े|ख|	d|e|k:h|
त|ु|झ|	T|u|j:h|
क|ो|	K|O|
द|ि|य|ा|	D|i|y|a|
फ|े|र|े|	p:h|e|r|e|
ब|ी|व|ी|	B|i|w|i|
द|ू|र|	d|o:o|r|
छ|ा:ँ|व|	C:h:h|a|o:n|
प|ै|र|	p|a:i|r|
ज|ू|त|ी|	J|o|t|i|
ब|च|्:च|े|	B:h:a|c|h:c:h|e:y|
आ|थ|र|	A|t:h|a:r|
ब|ी|स|	b|e:e|s|
व:ह|ी|	W:o:h|i|
आ|ध|ा|	a:a|d:h|a|
प|ा|स|	P:a|a|S|
ध|ू|प|	d:h|o:o|p|
श|े|क|	S:h|e|k|
ल|े|ई|	L|e|i|
प|ु|ई|	P|u|i|
र|ि|ज़|र|व|ा|य|र|	r|e|s|e:r|v|o|i|r|
द|ा|ल|	d|a|a:l|
क|ा|ल|ा|	K|a|l|a|
ड|ि:क|	D|i:c:k|
व|ै|न|	v|a|n|
ड:ा|इ|क|	D|y|k:e|
म|ि|स|	m|i|s:s|
ग|ु:ड|	g|o:o:d|
न|ा:इ|ट|	n|i:g:h|t|
ब|ह|ा|	B|H|A|
ब|द|ल|ा|	b|a:d|l|a|
ल|ू:ँ|ग|ा|	l|o:o:n|g|a|
आ|य|ा|	A|y|a|
ल|े|ं|ग|े|	l|e|n|g|e|
ह|े:ल|	h|e:l:l|
ग|े:ट|	g|a:t:e|
र|े:ल|र|ो:ड|	r|a:i:l|r|o:a:d|
ह|ि|प|	h|i|p|
ह|ु|र|्:र|े|	H|u|r|r|e:y|
अ|ल|ा|द|ी|न|	A|l:l|a|d|i|n|
ज|ा|द|ू|ग|र|	j|a|d|u|g|a:r|
ब|न|े|	b|a:n|e|
अ|ं|ग|ा|र|े|	a|n|g|a|r|e:y|
इ|ट|ो|	I|t|o|
स|े|इ|	S|E|I|
ल|ि|ट:्|र|े|च:र|	l|i|t|e:r|a:t|u:r:e|
म|र:्:ज|ी|न|ा|	M:a|r:j|i|n|a|
व|ॉ|न|	v|o|n|
न|्|य:ु|म:े|न|	N|e|u|m:a:n|n|
थ|्|य:ो|र|ी|	t:h|e|o|r|y|
ज|ि|न|	J|i|n|
म|ा|ओ|	M|a|o|
ब|ि|ल:्:ड|ि|ं|ग|	b:u|i|l:d|i|n|g|
र|ॉ:क|	r|o:c:k|
ए|थ|न|	E|t:h|a:n|
ऐ:ल|न|	A:l:l|e:n|
ह|ो:म|स:्:ट|े:ड|	h|o:m:e|s:t|e:a:d|
द|ै|ई|	D|a|i|
इ|च|ी|	I|c:h|i|
म|्:य:ु|च:्:य|ु|अ|ल|	m|u|t|u|a|l|
ल:ा:इ|फ|़|	l:i|f|e|
इ|ं|श:्:य|ो:र:े|ं:स|	i|n|s:u|r:a|n:c:e|
ब|ढ|़|ो|	B:a|d|h|o|
ऐ:ड|म|	A:d:a|m|
ब|ै|च|र|	B|a|c:h|e:r|
आ|ग|े|	a|g|e|
ब|ु|च|र|	b|u|t:c:h|e:r|
ड|ॉ|स|न|	D:a|w|s|o:n|
श|ह|ी|द|	S:h:a|h|e:e|d|
आ:श|ी|	A:s:a|h:i|
क|स|े|ई|	K:a|s|e|i|
ब|े|ट|ी|	B|e|t|i|
भ|इ:य|ा|	B:h|a:i:y|a|
ब|े|ग|म|	B|e|g|u:m|
ब|ा|ल|	B|a|l|
य|ो|ग|ी|	Y|o|g|i|
स|ा|ह|ब|	S|a:h|e|b|
अ|र|ु|ण|	A|r|u|n|
ल|ॉ|र|ी|	L:a|w|r|y|
ट|े|ल|र|	T|a:y|l|o:r|
क|ॉ:ल|	c|a:l:l|
ग|र|्:ल|	g|i:r|l|
च:ु|क|	C:h:u|c:k|
ब|े:र:ी|	B:a:r|r:y|
ब|ा|ब|ू|	B|a|b|u|
ड|ै|न|	D|a|n|
क|ू|ल|न|	C|u|l:l:e|n|
द|े|व|	d|e|v|
ग|ा|य|क|	g|a|a:y|a:k|
ध|ु|ल|	D:h|u|l|
फ|ि|क|र|	F|i|q|a:r|
ह|र|ी|	H|a:r|i|
भ|ू|म|ि|	B:h|o:o|m|i|
ब|ि|श|प|	B|i|s|h:o:p|
ब|ो|थ|म|	B|o|t:h|a:m|
ब|े|न|ी|	B|e|n|n:y|
ह|े|र|न|	H|e|r|o:n|
ज|े|फ|	J|e|f:f|
क:्:र|ौ|	C:r|o:w:e|
क:ॅ|र|ी|	c:a:r|r|y|
ल|ै|न|न|	L|a|n:e|n|
र|े|न|ी|	R|e|n|n:i:e|
ज|ॉ|न|	J|o|n|
क|े|ं|ट|	K|e|n|t|
ख|ु|श|	K:h|u|s:h|
ब|ख|्:त|	B:a|k:h|t|
ल|क|ी|	l|u:c:k|y|
म|ा|र|	M:a|a|r|
म|े|म|	m|e|m|
द|ी|द|ी|	D|i|d|i|
म|ा|ल|ा|	M|a|l|a|
म|े:र:ी|	M:a|r:y|
च|ं|प|ा|	C:h:a|m|p|a|
न|ई|म|	N:a|e:e|m|
अ|ह|म|द|	A|h|m|e:d|
न|म|क|	N:a|m|a:k|
ह|र|ा|म|	H|a:r|a|m|
प|ै|स|ा|	p|a:i|s|a|
ज|ह|ा:ँ|	J:a|h:a|n|
ओ|प|न|ट:ी|व:ी|	O|p|e:n|t|v|
प|ा|क|	P|a|k|
द|ा|म|न|	D|a|m|a:n|
प|त|ि|	P|a:t|i|
प|ा|व|न|	P|a|w|a:n|
प:ॉ|ल|	P:a:u|l|
ए|ल|ॉ:ट|	A|l:l|o:t:t|
श|ी|ह|न|	S:h|e|a:h|a:n|
त|ि|ल|क|	T|i|l|a:k|
ल|ी|ल|ा|	L|e:e|l|a|
र|ा|व|	R|a|o|
र|ू|प|	R|o:o|p|
ब|स|ं:त|	B:a|s|a:n:t|
स|व|ा|ल|	S:a|w|a|l|
स|ब|ा|	S:a|b|a|
क|र|ी|म|	K:a|r|i|m|
स|ई|द|	S:a|e:e|d|
आ|ज़|ा|द|	A|z|a|d|
स|ै:न|	S:a|n|
स|ा|ब|ा|	S|a|b|a|
क|ब|ी|र|	K:a|b|i|r|
स:स|र|	S:A:S|A:R|
न|ै:य|ा|	N|a:i:y|a|
स|त|ी|	S|a:t|i|
स|ी|त|ा|	S|e:e|t|a|
स:ॉ|ल|	S:a:u|l|
ब|े:ल|ो|	B|e:l:l|o|
स|ु|र|	s|u|r|
त|े|ल|	T|e|l|
अ|व|ि|व|	A|v|i|v|
क|ॅ|र|ी|	C|a|r|y|
ट|ॉ|म|	T|o|m|
ह|ॉ|ग|न|	H|o|g|a:n|
र|ि|ज:़|	R|i|z|
म|ो|ड|़|	m|o|d|e|
म|े|र|े|	m|e|r|e|
आ|ं:ग|	A|u:n:g|
स|ा:ं:ग|	S:a|n|
स|ू|	S|u|
ह|र|े|	H|a:r|e|
क|ा|ँ:च|	K|a|n:c:h|
च:ु|ड़:ि|य:ा:ँ|	C:h:u|r:i:y|a:n|
म|च|ा|ए|	M:a|c:h|a|y:e|
द|म|न|	D|a:m|a:n|
द|ी|व|	D|e:e|v|
न|े|ट|	N|a|t|
क|ि|ं|ग|	K|i|n|g|
क|ो|ल|	C|o|l:e|
प|ी|च|	p|e|a:c:h|
ट:्:र|ी|	t:r|e:e|
स|न|म|	S:a|n|a:m|
स|ा|व|न|	S|a|w|a:n|
झ|ू|म|	J:h|o:o|m|
ह|ा|र|ा|	H|a|a:r|a|
य:ह|ी|	Y:e:h|i|
ख|ि|ल|े|	K:h|i|l|e|
ग|ु|ल|श|न|	G|u|l|s:h|a:n|
र|ा|म|ा|	R|a|m|a|
क़:ृ|ष|्:ण:ा|	K:r:i|s:h|n:a|
द|े|क|े|	D|e|k|e|
द|े|ख|ो|	d|e|k:h|o|
क|ो|क|ा|	c|o|c|a|
क|ो|ल|ा|	C|o|l|a|
श|ा|द|ी|	S:h|a|d|i|
क|र|न|े|	k|a:r|n|e|
च|ल|ा|	C:h:a|l|a|
त|ख|त|	T:a|k:h|a:t|
श|्:र|ी|	S:h|r|i|
अ|क|ा|ल|	A|k|a|l|
स|ा|ह|ि|ब|	S|a|h|i|b|
अ|म|ृ:त|स|र|	A|m|r:i:t|s|a:r|
प:ं|ज|ा|ब|	p:u:n|j|a|b|
प|ै|द|ा|	p|a:i|d|a|
भ|क:्:त|	b:h:a|k:t|
ब|ा|ब|ा|	B|a|b|a|
ब|ा|ल|क|	B|a|l|a:k|
न|ा|थ|	N|a|t:h|
स|ि|ं:ह|	S|i|n:g:h|
र|ा|ठ|ौ|ड़|	R|a|t:h|o|d|
