ה|י:ט:פ|י|ל|ד|	H|e:t:f:i|e|l|d|
ו:א:ס|י|ל|י|	V:a:s:s|i|l|y|
ד|י|ק:ס|ו|ן|	D|i|c:k:s|o|n|
ה:נ:ר|י|ק|	H:e:n:r|i|k|
מ:י:כ|א|ל|י|ק|	M:i:c:h|a|l|i|k|
ב|י|א|נ|ק|א|	B|i|a|n|c|a|
א|ל|י|ז|א|	E|l|i|z|a|
ק:ו:ר|א|ד|ו|	C:o:r:r|a|d|o|
ב:א:ק|ל|י|	B:u:c:k|l:e|y|
ג|א|נ:ד:י|	G|a|n:d:h:i|
ק:י|י:ס:י|	K|a:s:e:y|
ב|א|ל|ב|ו|א|	B|a|l|b|o|a|
ל|ו:ו:י|נ|ס|ו|ן|	L:e|v:i|n|s|o|n|
פ|ר:ץ|	P|e:r:e:t:z|
א|ל|ב|א|י:ר:ק|	A|l|b|a|y:r:a:k|
פ|ר|א|ס|ק|ו|	F|r|a|s|c|o|
א:ת:נ|א|ס|י|ו|ס|	A:t:h:a:n|a|s|i|u|s|
ר|י|ז|א|ל|	R|i|z|a|l|
ה:י:ל|נ|ג|ר|	H:e:l:l:i|n|g|e:r|
ק:ו:ק|	C:o:o:k|
מ|ו|ק|ו|י|נ|א|	M|o|k|o|e|n|a|
ס|ט|י|ל|מ|א:ט|ש|	S|t|e|l|m|a|c:h|
פ|ר|י|ס|ק|	F|r|i|s|k|
א|ג|ו|י|ל|א|ר|	A|g|u|i|l|a|r|
י|א|ג|ו|צ:'|י|	Y|a|g|u|c|h:i|
ו|י|ט|מ:א:ן|	W|i|t:t|m:a:n:n|
ד|ז|י|ק|ו|	D|z|e|k|o|
ד|ר|ב|י|	D|e:r|b|y|
מ:א:ק|נ|א|ב|	M:c|n|a|b|
ג:'|א:ס:ם|	J|a:s:e:m|
נ|א|מ|י|ק|א|ו|א|	N|a|m|i|k|a|w|a|
מ|י|נ:י:ו|נ|א|	M|i|g:n:o:g|n|a|
פ|ר|ו|ד|י|ו|ס|	P|r|u|d|i|u|s|
פ:ו:ס|י|	F:o:s:s:e|y|
ו|ל|ט|ר|	W|e:l|t|e:r|
ט|ו|א|ל|	T|w|a|l|
ק|ו|נ|פ|י:ו|ש|ו|ס|	C|o|n|f|u|c:i|u|s|
פ|ר|י|י|ר|	F|r|e|i|r:e|
מ|י|ר|ק|ו|ס|ו|ר|	M|e|r|c|o|s|u|r|
מ|ל|א|ל|א|י|	M:a|l|a|l|a|i|
ג|י|ל|ר:ז|	G|i|l|l:a:r:s|
ק|א|ד|י|ל|א|ק|	C|a|d|i|l:l|a|c|
מ|י|ט|א:נ:י|	M|i|t|a:n:n:i|
פ:ר|נ|ס|ו:א|	F:r:a|n|c|o:i:s|
א|ל|א|נ|ו|ר|	E|l:e|a|n|o|r|
א|נ|ד|ר|י|א|	A|n|d|r|e|a|
ש|ב:ז:י|	S:h|a:b:a:z:i|
נ|י|ק|ל|א|ס|	N|i|k|l|a|s|
ז|ה|ו|ק|	Z|h|u|k|
ר:י:י|ב:ר|	R:a|v:e:r|
נ|ו|ר|ת:פ|י|ל|ד|	N|o|r|t:h:f:i|e|l|d|
ט|א|ט|ל|י|ן|	T|a|t|l|i|n|
מ|ס|י|ר|א|ט|י|	M:a|s|e|r|a|t|i|
ס|ט|ו|י:צ:'|ק:ו:ב|	S|t|o|i:c|h:k:o:v|
מ|א|ט|י|ל|ד|א|	M|a|t|i|l|d|a|
מ|י|ט|	M|i|t|
ב|א|ר:ט|	B|a|r:t:h:e:s|
ו|א|ס|י:ל:ו|ס|ק|י|	W|a|s|i:l:e:w|s|k|i|
ב|י|ט|	B|i|t|
ג|ו|ל|ד|י|נ|ג|	G|o|l|d|i|n|g|
ט:א:ל|ר|	T:h:a:l:e|r|
פ|י|א|ט|י|	P|i|a|t:t|i|
ח:א:ב|י:י:ר|	J:a:v:i:e|r|
פ|י|ט|ר|ו|נ|י|ו|	P|e|t|r|o|n|i|o|
ס|פ|י:י|ן|	S|p|a|i:n|
ד|ו|פ|ו|נ|ט|	D|u|p|o|n|t|
ו:ו:ד|י|	W:o:o:d|y|
פ|א|נ|ט|י|נ|י|	F|a|n|t|e|n|i|
ד|י|ס:ק:ב|ר|י|	D|i|s:c:o:v:e|r|y|
מ|ו|ר|ט|י|	M|o|r|t|y|
ו|ו|ל|ב|ו|	V|o|l|v|o|
ק|א|ר|ק|א|ר|	K|a|r|k|a|r|
נ|א|ס|ר|	N|a|s|e:r|
פ:י:ר|ו|צ:':י|ו|	F:e:r:r|u:c|c:i|o|
ה:נ:ר|י|ק|ס:ן|	H:e:n:r|i|k|s:e:n|
ס|י|ר|נ|א|ן|	C|e|r|n|a|n|
מ|ו|ר|ט|י|	M|o|r|t|e|
ס|מ:י:ת|	S|m:i:t:h|
מ|י|ט|ס|ו|א|ק|י|	M|i|t|s|u|a|k|i|
ח:י|י|ם|	C:h:a|i|m|
ו|י|א|ז|מ|א|	V|y|a|z|m|a|
ס:ו:כ|ו|	S:o:k:h|o|
ק|י|ר|ש|נ|ר|	K|i|r|s:h|n|e:r|
ט|א|ר|י|ק|	T|a|r|i|q|
ס:י|ר:ז:'|	S|e:r:z:h|
ק|י|נ|ש|א|ס|א|	K|i|n|s:h|a|s|a|
מ:ש|י|ר|	M:e:s:h|i|r|
פ:ז:ה|	F:a:z:a:h|
מ:ה|נ|א|	M:e:h:a:n|n|a|
ו|א|נ|י:ס:א|	V|a|n|e:s:s:a|
פ:ו:פ|ר|	P:o:p:p:e|r|
ל:ח|א|ם|	L:a:h:h|a|m|
ל|א|מ|ב|ו|ר|ג:י:נ|י|	L|a|m|b|o|r|g:h:i:n|i|
מ|ו|נ|א|ר|ו|ן|	M|u|n|a|r|o|n|
ט|א|ר|י|ן|	T|a|r|i|n|
ל:י:ס|י|נ|ג|	L:e:s:s|i|n|g|
א:י:ב|	Y:v:e:s|
ה|א|ר|ד|י|ן|	H|a|r|d|i|n|
ט|א|ר|י|ק|	T|a|r|i|k|
ב|ר|י|נ|י|א|ר|	B|r|y|n|j|a|r|
ג|'|א|ס|י|נ|ט|ו|	G|i|a|c|i|n|t|o|
ש|ר|י|ת|	S:a|r|i|t|
ב|י|ל|י|ז|ל|	B|e|l|y|z|e:l|
פ|א|ק:ס|ט|ן|	P|a|x|t|o:n|
ה|י|נ|מ|א|ן|	H|e|n|m|a|n|
ט|א|י|	T|i|e|
ל|י|ו|ב|י|נ|ק|ו|	L|j|u|b|i|n|k|o|
ו:ר:מ|י:ל:ה|י:נ:ו|	V:e:r:m:e|l:h:i:n:h|o|
פ|א|ט|א|ג|ו|נ|י|א|	P|a|t|a|g|o|n|i|a|
ג|י|ו|ר|ג|י|	G|i|o|r|g|i|
פ:י:ל|א|ד|ל:פ:י|א|	P:h:i:l|a|d|e:l:p:h:i|a|
ל:א|י|	L|i:e|
נ|א|פ|ו|ל|י|ט|א|נ|ו|	N|a|p|o|l|i|t|a|n|o|
ח|מ|א|ם|	H|m|a|m|
מ|א|נ|ו|י|ל|	M|a|n|u|e|l|
ג|א|מ|ב|י|ר|י|נ|י|	G|a|m|b|e|r|i|n|i|
ס|א|ר|י|ן|	S|a|r|i|n|
א|מ|א|ם|	E|m|a|m|
ל|ו|ר|י|	L|o|r|i|
מ|ו|ר|י|	M|o|r|i|
ג|י|ר|ט|ר|ו|ד|	G|e|r|t|r|u|d:e|
י|ו|ש|י|נ|ו|	Y|o|s:h|i|n|o|
ג|א|מ|ס:א:כ|ו|ר|ד|י|א|	G|a|m|s:a:k:h|u|r|d|i|a|
ק:י|י:ס:י|	C|a:s:e:y|
מ|י|ר|ו|ס|ל|א|ב|	M|i|r|o|s|l|a|v|
א|ד|ו|ר|נ|ו|	A|d|o|r|n|o|
ב|א|ס|ל|	B|a|s|e:l|
ו|א|נ|ה|א|נ|י|ן|	V|a|n|h|a|n|e|n|
ה|ל|י|ב|	H|l|e|b|
ר|ש|י|ד|י|	R:a|s:h|i|d|i|
ע:מ:ו|	A:m:m:o|
א:י|ר|א|ק|ל|י|ו|	I|r|a|k|l:e|i|o|
ס|י|ד|	C|i|d|
ק:ו:ש|נ|ר|	K:o:u:c:h|n|e:r|
ר|ו|ל|פ|ו|	R|u|l|f|o|
נ|ו|צ:':י|ר|י|נ|ו|	N|o|c:e|r|i|n|o|
א|ל|י|ל|א|	A|l|e|l|a|
ו|א|ר|ג|א|	V|a|r|g|a|
נ|ה|ר:י:ה|	N:a|h|a:r:i:y:a|
ר|א|י|נ|ר|	R|e|i|n|e:r|
ק:ו:פ|מ:א:ן|	K:a:u:f|m:a:n:n|
פ|ר|א|נ|ס|מ|א|ן|	F|r|a|n|s|m|a|n|
ח|א|ר|י|ס|	H|a|r|i|s|
מ|א|ל|פ|ו|י|	M|a|l|f|o|y|
ק|א|נ|י|פ|י|	K|a|n|e|p|i|
ו|א|ל|ד:י:ר|א|מ|א|	V|a|l|d:e:r:r|a|m|a|
ב|ל|א|נ|ק|	B|l|a|n|c|
ל|א|ז|א|ר|ו|	L|a|z|a|r|o|
ה|ו|ל|ג|ו|י|ן|	H|o|l|g|u|i|n|
ג:'|ו|ס|ט|א:י|ן|	J|o|s|t:e|i|n|
מ|י|ג|א|ל|ו|ד|ו|ן|	M|e|g|a|l|o|d|o|n|
ס|ט|י|פ:ן|	S|t|e|p:h:o:n|
ק|א|ר|א|ב|ו|י|ה|	K|a|r|a|b|o|u|e|
נ|ו|ר|ט|	N|o|r|t:e|
ס:ל|ב|א|ד|ו|ר|	S:a:l|v|a|d|o|r|
ג|ר|י|נ|א|ד|א|	G|r|e|n|a|d|a|
ד|ו|נ|י|ז|י|ט|י|	D|o|n|i|z|e|t:t|i|
נ|ו|ר|ד|י|ן|	N|o|r|d|i|n|
נ|ו|ג:'|י|מ|א|	N|o|j|i|m|a|
ב|ו|י|ו|ב|י:ט:ש|	V|u|j|o|v|i:c|
ת:י:ס|	T:h:y:s|
ו|א|ל|ו|ן|	V|a|l|o|n|
ה|י|א|ל|מ|א|ר|	H|j|a|l|m|a|r|
א|ל|א|נ|ד|	A|l|a|n|d|
א:ר:נ|ס|ט|ו|	E:r:n:e|s|t|o|
ט:ס:ע|ד|י|ט|	T:a:s:s:a|d|i|t|
ו|י|ר|כ:ו:י|א|נ|ס|ק|	V|e|r|k:h:o:y|a|n|s|k|
ח:ב:ר|ו|ן|	H:e:b:r|o|n|
ד|י|א|ב|ל|ו|	D|i|a|b|l|o|
ט:ו:מ|א|נ|י|	T:o:u:m|a|n|i|
ב:א:ר|ו|ס|ו|	B:a:r:r|o|s|o|
א:ו:ס|ב|ו|ר|ן|	O:s|b|o|r|n|
פ|א|פ:ו:ס|	P|a|p:h:o:s|
ד|ו|נ|ס|ק|ו|י|	D|o|n|s|k|o|y|
ק|א|פ|י|ל|ו|	C|a|p|e|l:l|o|
נ|י|ז|א|ם|	N|i|z|a|m|
ק|א|ט|א|נ|י|ט:ש|	K|a|t|a|n|e|c|
ק:א:ס|א|נ|ו|	C:a:s:s|a|n|o|
נ|י|ז|א|ר|	N|i|z|a|r|
פ|ו|ק|ו|י|	F|u|k|u|i|
א|ל|ז|ה|א:י|מ:ר|	A|l|z|h:e|i|m:e:r|
ה|ו|א|ר|ט|א|	H|u|e|r|t|a|
ד|א|נ|ס|ט|א|פ|ל|	D|u|n|s|t|a|p|l:e|
ק:נ|ד|ו|	K:e:n|d|o|
ט:ס:כ|י|נ|ב|א|ל|י|	T:s:k:h|i|n|v|a|l|i|
ב:נ|ג:'|א|מ|י|ן|	B:e:n|j|a|m|i|n|
מ:צ|ג|ר|	M:e:t:z|g|e:r|
מ|א|ר|ו|י|ן|	M|a|r|v|i|n|
ב|א|ס|ט|ר|	B|u|s|t|e:r|
ד:א:ס|ו:ל:ט|	D:a:s:s|a:u:l:t|
מ|י|ל|ט|ו|ן|	M|i|l|t|o|n|
ד:ו:פ|ל|ר|	D:o:p:p|l|e:r|
מ|פ|א|י|	M:a|p|a|i|
פ|א|י|ר|י|ט|ו|	P|a|i|r|e|t:t|o|
ח:י:ס|ן|	H:i:s:s:e|n:e|
א:ו:ק|ו|מ|א|	O:k|u|m|a|
ז|א|נ|ג|ו:י:ל|	Z|a|n|g|w:i:l:l|
ו:י|נ|ר|	W:e:i|n|e:r|
א|ל|ק|נ|ט|א|ר|א|	A|l|c|n|t|a|r|a|
מ|א|ר|י|ו|	M|a|r|i|o|
מ|א|ר|י|ן|	M|a|r|i|n|
מ:ק:א|ל|א|נ|י|	M:c:c:a:l|l|a|n|y|
מ|א|ר:י|	M|a|r:i:e|
ט|ס|א|ב:ט|	T|s|a|b:e:t|
ב:י:ק|ל|א|נ|ד|	B:a:e:k:e|l|a|n|d|
ס:ו:פ|ו|ק|ל|י|ז|	S:o:p:h|o|c|l|e|s|
מ|א|ר|י|א|	M|a|r|i|a|
ג|ר|ו|מ|י|ק|ו|	G|r|o|m|y|k|o|
י|א|ק|ו|ב|ו|	Y|a|k|u|b|u|
ר|א|מ|ס|י|י|	R|a|m|s|a|y|
פ:ו:ג|':י:א|	F:o:g:g|i:a|
פ:נ:ק|ו:ס:ט|	P:a:n:c|o:a:s:t|
מ:ק:א|י|	M:a:k:a:a|y|
נ:ו:ה|	N:a:v:e:h|
ש|י|ק|מ|א|	S:h|i|k|m|a|
ז:'|ק|	J:a:c:q:u|e:s|
ע:נ:ט|ר|	A:n:t:a|r|
א|ל|י|א|ה|ו|	E|l|i|a|h|u|
ק|ל|א|ר|נ:ס|	C|l|a|r:e|n:c:e|
פ:ר:ו|ס|ט|	P:r:o:u|s|t|
ה|א|י|ב|י|ן|	H|a|i|b|i|n|
ב:י|ל|י|ן|	B:e:i|l|i|n|
ק:ר:י|ם|	K:a:r:i|m|
ק|א|ר|י|ן|	K|a|r|i|n|
ק|ר|י|ס|ט|י|א|	C|r|i|s|t|e|a|
ל|י|ב|ר|ו|ן|	L|e|b|r|o|n|
ב|י|נ|י|ד|ט|ו|	B|e|n|e|d:e|t:t|o|
פ|ל|א|ג:'|	F:a|l:l|a|j|
מ|ר|ז:ו:ק|	M:a|r|z:o:u:q|
ב:ל:ח|ו|ס|	B:a:l:h:o|u|s|
פ|ו|ל|י|ט|י:ק:ל|	P|o|l|i|t|i:c:a:l|
א|ס|י|ק|	A|s|i|k|
ע:ק:א|ד|	A:k:k:a|d|
מ|י|ס|ק|י|ט|ו|	M|i|s|k|i|t|o|
פ:ו:ר|ס|מ:א:ן|	F:o:r:s|s|m:a:n:n|
ש:ה:ז|א|ד|	S:h:e:h:z|a|d|
ג:ב:ל|ה|	J:a:b:l:e|h|
א|נ|ג|	A|n|g|
ג|ו|ג|י|נ|ו|	G|u|g|i|n|o|
מ|א|ד|ו|נ|ו|	M|a|d|o|n|o|
ט|ו|ר|ו|	T|o|r|o|
ל|ו|ק:א:ש|	L|u|k:a:c:s|
ג|ר|י|ג|ו|ר|י|	G|r|e|g|o|r|y|
צ:':א|ל|מ|י|	C:h|a:l|m|e|
ס:ת:ר|י|ד|א|	S:e:t:h:r|i|d|a|
ס|ט|ר|א|נ|ז|ל|	S|t|r|a|n|z|l|
פ|ל|ו|ה|	F|l|o|h:e|
ק|ו|ל|ו|מ|ב|י|א|	C|o|l|u|m|b|i|a|
ב|ו|ר|ג|נ|י|ן|	B|o|r|g|n|i|n:e|
פ|ל|א|ט|י|נ|י|	P|l|a|t|i|n|i|
ר|ו|ז|א|ר|י|ו|	R|o|s|a|r|i|o|
ש|י|ר|י|ל|	C:h|e|r|y|l|
ט|י|ט|ו|ב|	T|i|t|o|v|
ט|י|ק|ל|י|א|נ|ו|	T|i|c|l|e|a|n|u|
פ|ו|ר|ט|א|ל|י|ז|א|	F|o|r|t|a|l|e|z|a|
ה:ו:ק|	H:o:o:k:e|
ק|א|ר|ל|ס|ר|ו|ה|	K|a|r|l|s|r|u|h:e|
ל|ו|ד|י|ט|י|	L|o|d|e|t:t|i|
ו|י|ל|א|ן|	W:h|e|l|a|n|
ד|א|נ|ו:ב|	D|a|n|u:b:e|
פ|א|ו|ל|י|נ|ו|	P|a|u|l|i|n|o|
פ:ל:מ|ח:י:ם|	P:a:l:m|a:c:h:i:m|
ד|י|ד|י|י|ה|	D|i|d|i|e|r|
ק|א|י|מ|ב|י|	K|a|i|m|b|i|
פ|ו|ל|ג|א|ר|	P|o|l|g|a|r|
ה|א|ר|ס|א:נ:י|	H|a|r|s|a:n:y:i|
ב|א|נ|ג|א|ל|ו|ר|	B|a|n|g|a|l|o|r:e|
נ|י|ק|ו|ל|א|	N|i|k|o|l|a|
מ:ק:א|ר|ט|נ:י|	M:c:c:a|r|t|n:e:y|
ב|י|ס:א:ו|	B|i|s:s:a:u|
ק|י|ר|ק|י|ל|א|ס|	K|i|r|k|i|l|a|s|
ט|י|ו|פ|י|ל|ו|	T|e|o|f|i|l|o|
ד|ג:'|י|ט|י|	D|j|i|t|e|
א:י:ת|י:ל|	E:t:h:e|l|
ט:א:ס|ו|	T:a:s:s|o|
מ|א|י|ר|	M|a|i|e:r|
ב|ו|י|ג:י:ס|	B|u|i|g:u:e:s|
א:י|ב|ט|י|ס|א|ם|	I|b|t|i|s|a|m|
נ|א|ב:י:ן|	N|a|v:e:e:n|
ש|ק|ל|ו|ב|ס|ק|י|	S:h|k|l|o|v|s|k|y|
ה|מ|ס|ו|ן|	H:a|m|s|u|n|
ב|א|ר|ד|ו|ן|	B|a|r|d|o|n|
ס|א|ד|א|ת|	S|a|d|a|t|
ד:ו:כ|י|	D:o:k:h|i|
א|ל|פ|א|	A|l|f|a|
ג|א|ב|ר|י|ל|ו|ב|	G|a|v|r|i|l|o|v|
ס|ט|ו|ל|ץ|	S|t|o|l|t:z|
א|ס|ט|ו|ר|י|א|ס|	A|s|t|u|r|i|a|s|
נ|ק|ר|ו:מ:א|	N|k|r|u:m:a:h|
ט|א|ג:'|י|ק:ס:ט|א|ן|	T|a|j|i|k:i:s:t|a|n|
ו|י|י|ט|נ|א|ם|	V|i|e|t|n|a|m|
ז|'|א|ו|	Z|h|a|o|
ע:ו|ג:':י|י:ל|י|	O:j:e|i|l|i|
ג:ו:נ|א|ר|	G:u:n:n|a|r|
ד|י|ל|י:ד:א|	D|e|l|e:d:d:a|
ש|א|ו|	S:h|a|o|
ק|ו|ל:י:ט|	C|o|l:e:t:t:e|
ד|ל:ו|ה|י|	D|l:o:u|h|y|
מ|י|ל|ש:י:ו|ט|	M|e|l|c:h:i:o|t|
נ|א|ר|ו|נ:ג:צ|':א:י|	N|a|r|o|n:g:c:h|a:i|
ו|י|ד|ו|ק|א|	V|i|d|u|k|a|
ת:ו|ר|ס|ט|	T:h:o|r|s|t|
א|נ|ד|ל:י:ס|	E|n|d|l:e:s:s|
ח|נ|א:ו:י|	H:a|n|a:o:u:i|
א|ל|פ|ר|י|ד|ו|	A|l|f|r|e|d|o|
ח:מ|ד|א|נ|י|	H:a:m|d|a|n|i|
ס|ל|א|ב|ק|ו|	S|l|a|v|k|o|
מ|א|ס|א:ו:ע|	M|a|s|s:a:w:a|
ב|ר|ו|ז|	B|r|o|z|
ל|י|ב|א|נ|ד|ו|ב|ס|ק|י|	L|e|w|a|n|d|o|w|s|k|i|
ס|א|פ|י|ן|	S|a|f|i|n|
ד|א|ר|י|ו|	D|a|r|i|o|
ב|א|ב|א:ק:ר|	B|a|b|a:c:a:r|
ה|ו|ר|י|ז|ו|נ|ט|י|	H|o|r|i|z|o|n|t|e|
א:י|ר|י|ת|	I|r|i|t|
ג:י|י:ט:ס|ה:י:ד|	G|a:t:e:s|h:e:a:d|
ב:א:י|ו|מ|י|	B:a:y:o|u|m|i|
ד|ו|מ|י|נ|י|ק|א|	D|o|m|i|n|i|k|a|
מ|י:ד|נ|ד|ו|ר|ף|	M|i:d:d:e|n|d|o|r|f|
ה|א|נ|ס:ו:ן|	H|a|n|s:s:o:n|
ט:א:י|	T:a:y:e|
ק|ו|ל|ו|נ|ט|א|י|	K|o|l:l|o|n|t|a|i|
ס|א|פ|ו|נ|א|ר|ו|	S|a|p|u|n|a|r|u|
ר:י:ב|י|ל|י|ר|	R:e:v:e|i|l:l|e|r:e|
ק:י:י|	K:a:y:e|
ב|א|ש|י:ל|ה|	B|a|c:h:e|l|e:t|
י:ו:ס|ף|	Y:o:s:s:e|f|
א:ל:ק|ס|נ:ד|ר|	A:l:e:k|s|a:n:d|r|
ב:ק|	B:e:k|
ב:ת|	B:e:t:h|
מ|א|ר|י|נ|א|	M|a|r|i|n|a|
פ|י|י|	F:a|y|e|
ס:ו:ר|נ|ט|י|נ|ו|	S:o:r:r:e|n|t|i|n|o|
ס:י|י:ל:ז|	S|a:l:e:s|
ג|ו|ט|ל|ו|ב|	G|o|t:t|l|o|b|
ו|י|נ|ו|ג|ר|א|ד|	W|i|n|o|g|r|a|d|
ה:ד:ר|	H:a:d:a:r|
ב|י|ר|ג:ר:י|ן|	B|e|r|g:g:r:e|n|
ה:א:ס|	H:a:s:s:e|
א:י|ס:י:ק|	I|s:s:y:k|
ו:ס:נ|י|ן|	V:e:s:n|i|n|
ה|א|י|א|ב|ו|ס|א|	H|a|y|a|b|u|s|a|
ב|א|ר|י:ט:ש|	B|a|r|i:c|
ק:י:ר|י|ג|א|ן|	K:e:r:r|i|g|a|n|
ח:א:פ|ז|	H:a:f:i|z|
מ:ו:ר|י|ס|ו|ן|	M:o:r:r|i|s|o|n|
ט|ר|א|ו|ר|י|	T|r|a|o|r|e|
א:ל|נ:ב|י|	A:l:l|e:n:b|y|
ו|י|ט|ו|ר|	V|i|t|o|r|
ח|ד|א|ד|	H:a|d|a|d|
ל|ו|ס|י|ל|י|ו|	L|u|c|i|l|i|o|
ה|א|ר|ט|מ|א|ן|	H|a|r|t|m|a|n|
ז|א|ק|ו|פ|א|נ|א|	Z|a|k|o|p|a|n|e|
נ:ו:ם|	G:n:o:m:e|
ה|א|מ|ו:נ:ד|	H|a|m|m:o:n:d|
ר|י|ג|ו|ב|י|ר|ט|א|	R|i|g|o|b|e|r|t|a|
מ|ו|נ|פ:י:ס|	M|o|n|f:i:l:s|
ז:ק:י|	Z:e:k:i|
נ|א|ו|ק|י|	N|a|o|k|i|
ט|ו|פ|י|	T|o|p|i|
ג:'|א|מ|ל|	J|a|m|e:l|
ח:פ:י|ד|	H:a:f:i|d|
ו|י|נ|ס|י|נ|ט|	V|i|n|c|e|n|t:e|
נ|א|ו|ק|ו|	N|a|o|k|o|
פ|ו|ט|ר|	P|o|t:t|e:r|
ש:מ|י|ד|	S:c:h:m|i|d|
ג|י|ש|	G|i|s:h|
ל:ו|	L:o:w:e|
ב|ר|ו|י|ר|	B|r:e|u|e|r|
פ|י|ס|י|ן|	P|i|s|i|n|
א|ל|מ|א:י:מ|נ|י|	A|l|m|a:i:m:a|n|i|
מ|ו|נ|ז|א|	M|o|n|z|a|
ט|י|ו|מ|ק|י|ן|	T|i|o|m|k|i|n|
א:נ:ס|י:ל|ם|	A:n:s:e|l|m|
מ|ר|י|ד|ו|ר|	M|e:r|i|d|o|r|
מ|י|ק|א|י|ל|	M|i|k|a|e|l|
ל:א|פ:ט:ה|א:ו:ס|	L|o:f:t:h|o:u:s:e|
ק|ה:ו:ו|ג:':י|	K|a:h:v:e:c|i|
ב|א|ט|י|ס|ט|ו|ט|א|	B|a|t|i|s|t|u|t|a|
ה|א|ר|ו|ל|ד|	H|a|r|o|l|d|
ס|א|ל|פ|י|ג|י|ד|י|ס|	S|a|l|p|i|g|i|d|i|s|
ח|ו|ס|י|י|ן|	H|u|s|a|y|n|
פ|ו|ק|ו|י|א|מ|א|	F|u|k|u|y|a|m|a|
ב:ו:ש|י|מ|י|	B:u:s:c|e|m|i|
ה|ו|ש|י|נ|ו|	H|o|s:h|i|n|o|
ט|א|ה|י|ר|	T|a|h|i|r|
מ:א:ס|א|	M:a:s:s|a|
פ|ו|ט|ו|מ|א|ק|	P|o|t|o|m|a|c|
ע|ר|ו|ץ|	A|r|u|t:z|
ר|ו|ז:נ:ב|א|ו|ם|	R|o|s:e:n:b|a|u|m|
ח:ו:ס|י:י|נ|ו|ב|	K:h:u:s:a|i|n|o|v|
ל:י:ה|	L:e:a:h|
ט|י|מ|ו|ר|	T|i|m|u|r|
א|ל|ס:נ:ב|א:ט:י|	E|l|s:o:n:b:a|t:y|
ד|ו|נ|א|ט|ו|	D|o|n|a|t|o|
ב|י|ר|נ|ד|	B|e|r|n|d|
ב|ר|ן|	B|e:r|n:e|
ד|א|ג|ר|	D|a|g|u:e:r:r:e|
ג|א|ר|ב|א|ר|ק|	G|a|r|b|a|r:e|k|
ב|י|ר|נ|י|	B|e|r|n|i|
ל:י:ל|א|	L:e:i:l|a|
נ|א|ק|א|מ|ו|ר|א|	N|a|k|a|m|u|r|a|
פ|ר|י|ד|	F:a|r|i|d|
ס|א|ה|י|ן|	S|a|h|i|n|
ח:א:ר|י|ס|ט|י|א|ס|	C:h:a:r|i|s|t|e|a|s|
ר:ד:א|	R:e:d:h:a|
פ|א|ר|י|ס|	F|a|r|i|s|
ג:ל:י|ק|	G:l:e:i:c|k|
ק|א|ד|א|ר|	K|a|d|a|r|
ק|י|ט|ו|ן|	K|e|a:t|o|n|
ל:א:ק|ס:נ:ס|	L:a|x:n:e:s:s|
ב|ו|נ|א|נ|ו|	B|o|n|a|n|o|
צ:':ל|ב|י|	C:h:a:l:a|b|i|
ר|ו|ס|י|	R|o|s|i|
ד|א|נ|י|נ|ו|ס|	D|a|n|i|n|o|s|
מ|י|ז|ו|ק|י|	M|i|z|u|k|i|
ק|י|ר|י|ל|	K|i|r|i|l|
י|ו|ק|א|ר|י|	Y|u|k|a|r|i|
ה|א|ט|א|	H|a|t|a|
ה|א|ש|י|מ|ו|ט|ו|	H|a|s:h|i|m|o|t|o|
א|ד|ו|א|ר|ד|ו|	E|d|u|a|r|d|o|
ח|מ|י|ד|ה|	H|m|e|d|e|
ו|א|ל|ט|ו|ן|	W|a|l|t|o|n|
פ:ר|נ|ס|י|ס:ק:ן|	F:r:a|n|c|i|s:c:a:n|
ר:י:צ|'|א|ר|ד|	R:i|c:h|a|r|d|
ק|א|ד|ה|י|ר|י|ן|	C|a|d|h|e|r|i|n|
מ|י|נ|ס|א|ה|	M|e|n|s|a|h|
ר|י|ס:ב:י|ר:ג:ן|	R|i|j:s:b:e|r:g:e:n|
ס:ק:א|י|ל:ז|	S:k|i|l:e:s|
מ:י:ד|ז:ו:ג|ו|ר|נ|ו|	M:e|z:z:o:g:i|o|r|n|o|
מ|ו|ל|נ|א|ר|	M|o|l|n|a|r|
ה|א|ר|א|ד|א|	H|a|r|a|d|a|
פ|א|מ|ו|נ|ג|ק|א|ס|	P|a|m|u|n|g|k|a|s|
י|ו|ש|י|ו|	Y|o|s:h|i|o|
מ|י|י|ן|	M|e|i|n|
נ|א|י|ן|	N|e|i|n|
ק|ל|א|ר|ק|ס|ו|ן|	C|l|a|r|k|s|o|n|
ו|י|ל|	W|i|l:l|
ה|י|ל|	H|i|l:l|
ע:א:ש|ו|ר|	A:s:h:o|u|r|
י|ו|ס|א|	Y|u|s|a|
ב:ה:ק|ט|	B:e:h:c:e|t|
ב|י|ל|	B|i|l:l|
ק|י|י|	K|e|i|
ז|א|ק|י|ר|	Z|a|k|i|r|
פ|ו|נ|ט|י:י:ן|	F|o|n|t|a:i:n:e|
ל|י|ס|ט|ו|ן|	L|i|s|t|o|n|
י:א:ס|נ|ו|ר|י|	Y:a:s:u|n|o|r|i|
פ|א|ר|ק|	P|a|r|k|
ג:'|ו|ל|י:א:ט|	J|u|l|i:e:t:t:e|
ס|א|ר|ק|	S|a|r|k|
מ|ו|ס|א|	M|u|s|a|
מ|י:י|ג|ו|':ר|	M|a|j|o|r|
ל:ו|	L:o:w|
